cod,nome,plan,legis,saude,meioamb,polgen,pop,ida
231250,SAO JOAO DO JAGUARIBE,12,-9,3,-1,-11,7829,-6
231260,SAO LUIS DO CURU,-1,-3,3,0,-5,12663,-6
231270,SENADOR POMPEU,14,-1,9,-4,-4,26656,14
231280,SENADOR SA,-2,-6,5,-6,-6,7210,-15
231290,SOBRAL,12,12,5,20,-8,197663,41
231300,SOLONOPOLE,-1,-5,5,-1,-6,18025,-8
231310,TABULEIRO DO NORTE,-2,-2,3,4,-1,30018,2
231320,TAMBORIL,12,-5,7,5,9,25675,28
231325,TARRAFAS,-2,-3,1,-2,-8,8949,-14
231330,TAUA,12,1,9,8,-12,57246,18
231335,TEJUCUOCA,10,-1,7,7,-6,18083,17
231340,TIANGUA,6,6,1,-3,-6,72110,4
231350,TRAIRI,-2,6,1,7,-8,53561,4
231355,TURURU,-1,-1,-1,-8,-8,15224,-19
231360,UBAJARA,-2,-2,9,2,-4,33205,3
231370,UMARI,-2,-9,7,-6,-4,7660,-14
231375,UMIRIM,14,1,7,-3,-6,19349,13
231380,URUBURETAMA,12,-3,3,4,-34,20768,-18
231390,URUOCA,1,-5,7,-3,-6,13348,-6
231395,VARJOTA,10,-4,5,-1,-6,18024,4
231400,VARZEA ALEGRE,8,-3,7,15,-6,39651,21
231410,VICOSA DO CEARA,14,12,7,6,-18,57719,21
240010,ACARI,-1,-3,7,-4,-10,11355,-11
240020,ACU,6,4,7,0,-8,56354,9
240030,AFONSO BEZERRA,0,-7,7,-4,-8,11191,-12
240040,AGUA NOVA,-1,-3,7,-5,-6,3156,-8
240050,ALEXANDRIA,-2,-7,7,-1,-6,13878,-9
240060,ALMINO AFONSO,-2,-9,3,-8,-8,4945,-24
240070,ALTO DO RODRIGUES,12,-3,9,-2,-8,13440,8
240080,ANGICOS,-2,-9,1,-6,-27,11905,-43
240090,ANTONIO MARTINS,-2,-9,7,-8,-8,7172,-20
240100,APODI,14,4,9,-3,-5,36049,19
240110,AREIA BRANCA,14,6,9,10,8,26868,47
240120,ARES,-2,8,3,-2,-19,13764,-12
240130,AUGUSTO SEVERO,8,-7,9,-6,-8,9660,-4
240140,BAIA FORMOSA,6,12,3,-3,-6,9048,12
240145,BARAUNA,10,6,7,-1,-14,26347,8
240150,BARCELONA,-2,-7,3,-7,-8,4067,-21
240160,BENTO FERNANDES,-2,-9,3,-5,-8,5385,-21
240165,BODO,8,-3,1,9,-2,2412,13
240170,BOM JESUS,4,-9,1,-10,-11,9965,-25
240180,BREJINHO,-2,-7,-1,0,-6,12286,-16
240185,CAICARA DO NORTE,-1,-3,5,-7,-6,6257,-12
240190,CAICARA DO RIO DO VENTO,8,-9,7,-7,-6,3531,-7
240200,CAICO,4,2,7,-2,2,66246,13
240210,CAMPO REDONDO,0,-7,1,-7,-19,10879,-32
240220,CANGUARETAMA,1,10,3,-5,-6,32945,3
240230,CARAUBAS,1,-7,7,6,-4,20414,3
240240,CARNAUBA DOS DANTAS,-2,-3,7,-1,-14,7896,-13
240250,CARNAUBAIS,-2,-9,1,1,-21,10491,-30
240260,CEARA-MIRIM,2,12,3,0,-6,71856,11
240270,CERRO CORA,4,-7,1,6,-5,11292,-1
240280,CORONEL EZEQUIEL,-2,-9,5,0,-6,5580,-12
240290,CORONEL JOAO PESSOA,-2,-9,7,-7,-6,4946,-17
240300,CRUZETA,-2,-7,9,-6,-10,8182,-16
240310,CURRAIS NOVOS,14,8,9,-8,-4,44528,19
240320,DOUTOR SEVERIANO,-2,-9,5,-5,-14,7178,-25
240325,PARNAMIRIM,12,12,3,-6,14,229414,35
240330,ENCANTO,-2,-9,3,-6,-6,5515,-20
240340,EQUADOR,10,-7,1,-4,-4,6054,-4
240350,ESPIRITO SANTO,6,-9,3,-1,-25,10753,-26
240360,EXTREMOZ,12,10,7,-1,-4,26677,24
240370,FELIPE GUERRA,8,-7,5,-6,-6,5973,-6
240375,FERNANDO PEDROZA,-2,-9,3,-1,-12,3000,-21
240380,FLORANIA,4,-5,9,-5,-7,9245,-4
240390,FRANCISCO DANTAS,-2,-9,7,-2,-6,2929,-12
240400,FRUTUOSO GOMES,-2,-9,7,0,-8,4280,-12
240410,GALINHOS,8,-7,9,-6,-8,2446,-4
240420,GOIANINHA,-2,-3,1,-8,-8,24476,-20
240430,GOVERNADOR DIX-SEPT ROSADO,10,-7,9,2,1,12934,15
240440,GROSSOS,14,-7,3,4,-10,9998,4
240450,GUAMARE,8,2,9,-1,-8,13922,10
240460,IELMO MARINHO,12,-5,7,4,-14,13070,4
240470,IPANGUACU,8,-7,7,-6,-14,14814,-12
240480,IPUEIRA,-1,-9,1,6,-21,2190,-24
240485,ITAJA,-2,-1,3,-3,-19,7336,-22
240490,ITAU,12,-7,1,-6,10,5822,10
240500,JACANA,-2,-9,3,-7,-6,8573,-21
240510,JANDAIRA,8,-9,9,-2,-8,7086,-2
240520,JANDUIS,12,-7,7,-4,-4,5453,4
240530,JANUARIO CICCO,-2,-9,7,-7,-11,9651,-22
240540,JAPI,-2,-9,7,-5,-17,5490,-26
240550,JARDIM DE ANGICOS,-2,-9,3,-3,-6,2676,-17
240560,JARDIM DE PIRANHAS,-2,-3,7,2,-3,14342,1
240570,JARDIM DO SERIDO,-1,-7,3,-6,-1,12526,-12
240580,JOAO CAMARA,-2,-2,7,-7,-1,34057,-5
240590,JOAO DIAS,-2,-9,7,-5,-8,2687,-17
240600,JOSE DA PENHA,-2,-9,7,5,-8,6049,-7
240610,JUCURUTU,2,8,7,-5,-8,18366,4
240615,JUNDIA,-2,-7,3,-7,-12,3790,-25
240620,LAGOA D'ANTA,-2,-9,3,-4,-6,6587,-18
240630,LAGOA DE PEDRAS,4,-3,3,-9,-6,7372,-11
240640,LAGOA DE VELHOS,1,-9,3,-8,-6,2759,-19
240650,LAGOA NOVA,-1,-1,5,-6,-8,14942,-11
240660,LAGOA SALGADA,-2,-1,5,6,-6,8009,2
240670,LAJES,8,-5,9,-4,-8,10977,0
240680,LAJES PINTADAS,2,-9,3,2,-12,4784,-14
240690,LUCRECIA,-2,-9,7,2,-6,3860,-8
240700,LUIS GOMES,-2,-9,7,-4,-6,10042,-14
240710,MACAIBA,14,8,3,5,-7,75548,23
240720,MACAU,6,4,7,-2,-8,30749,7
240725,MAJOR SALES,-2,-9,7,0,-8,3805,-12
240730,MARCELINO VIEIRA,-2,-9,7,-7,-8,8506,-19
240740,MARTINS,-2,-9,7,4,-8,8615,-8
240750,MAXARANGUAPE,12,4,7,-4,-6,11419,13
240760,MESSIAS TARGINO,-1,-7,3,3,-10,4448,-12
240770,MONTANHAS,8,-9,7,-6,-6,11644,-6
240780,MONTE ALEGRE,-2,10,5,-5,-10,21833,-2
240790,MONTE DAS GAMELEIRAS,-2,-9,1,8,-6,2261,-8
240800,MOSSORO,-1,12,9,10,19,280314,49
240810,NATAL,2,10,5,2,21,853929,40
240820,NISIA FLORESTA,14,12,7,1,-12,25800,22
240830,NOVA CRUZ,-2,6,7,5,-4,37079,12
240840,OLHO-D'AGUA DO BORGES,12,-3,9,-5,12,4391,25
240850,OURO BRANCO,-2,-7,-1,-7,-8,4860,-25
240860,PARANA,-2,-7,5,-3,-6,4165,-13
240870,PARAU,2,-9,7,-7,-8,3924,-15
240880,PARAZINHO,2,-9,1,3,-4,5139,-7
240890,PARELHAS,6,1,7,-1,-14,21288,-1
240895,RIO DO FOGO,-2,-5,3,1,-9,10607,-12
240910,PASSA E FICA,-1,-9,3,-6,-6,12188,-19
240920,PASSAGEM,-2,-7,1,-2,-8,3040,-18
240930,PATU,4,-3,7,-2,-4,12561,2
240933,SANTA MARIA,-2,-9,5,-4,-6,5174,-16
240940,PAU DOS FERROS,14,-5,7,-3,-6,29430,7
240950,PEDRA GRANDE,-4,12,5,-6,-8,3505,-1
240960,PEDRA PRETA,-1,-7,7,-3,-6,2607,-10
240970,PEDRO AVELINO,8,-5,7,4,-8,7186,6
240980,PEDRO VELHO,-2,-3,1,-8,-6,14729,-18
240990,PENDENCIAS,4,-5,9,-5,-12,14402,-9
241000,PILOES,-2,-9,7,1,-8,3683,-11
241010,POCO BRANCO,4,-7,5,3,-10,14845,-5
241020,PORTALEGRE,-2,-9,7,-2,-13,7708,-19
241025,PORTO DO MANGUE,8,4,9,-2,-8,5689,11
241030,PRESIDENTE JUSCELINO,0,-5,3,-5,-12,9515,-19
241040,PUREZA,-2,-9,3,-7,-8,9081,-23
241050,RAFAEL FERNANDES,-1,-3,5,-3,-6,4961,-8
241060,RAFAEL GODEIRO,-2,-9,7,-6,-8,3191,-18
241070,RIACHO DA CRUZ,-1,-9,7,-7,-6,3399,-16
241080,RIACHO DE SANTANA,-2,-7,7,1,-6,4280,-7
241090,RIACHUELO,6,-9,3,-2,-8,7640,-10
241100,RODOLFO FERNANDES,14,-7,5,-5,-27,4549,-20
241105,TIBAU,2,-5,7,-7,-2,3935,-5
241110,RUY BARBOSA,-2,-9,3,-7,-6,3689,-21
241120,SANTA CRUZ,0,12,9,-6,-17,38142,-2
241140,SANTANA DO MATOS,2,-3,9,-4,-6,13688,-2
241142,SANTANA DO SERIDO,-2,-9,7,-4,-7,2647,-15
241150,SANTO ANTONIO,-8,6,9,-6,-10,23492,-9
241160,SAO BENTO DO NORTE,10,-7,1,-3,-8,2967,-7
241170,SAO BENTO DO TRAIRI,4,-9,5,-2,-6,4205,-8
241180,SAO FERNANDO,4,-7,5,-5,-6,3556,-9
241190,SAO FRANCISCO DO OESTE,-1,-9,7,-1,-8,4103,-12
241200,SAO GONCALO DO AMARANTE,12,10,7,-4,3,95218,28
241210,SAO JOAO DO SABUGI,14,1,9,-8,-14,6174,2
241220,SAO JOSE DE MIPIBU,14,2,9,-7,-8,42345,10
241230,SAO JOSE DO CAMPESTRE,-2,-9,5,-6,-6,12856,-18
241240,SAO JOSE DO SERIDO,-2,-9,7,-5,-6,4488,-15
241250,SAO MIGUEL,-2,0,7,-2,-6,22921,-3
241255,SAO MIGUEL DO GOSTOSO,-2,12,5,-6,-6,9237,3
241260,SAO PAULO DO POTENGI,10,-4,5,-6,-7,16888,-2
241270,SAO PEDRO,-2,-9,1,-7,-6,6296,-23
241280,SAO RAFAEL,-2,-7,9,1,-23,8351,-22
241290,SAO TOME,-2,-9,5,-4,-6,11187,-16
241300,SAO VICENTE,-2,-7,3,-7,-12,6328,-25
241310,SENADOR ELOI DE SOUZA,-2,-9,9,-6,-6,5980,-14
241320,SENADOR GEORGINO AVELINO,4,12,3,-7,-6,4215,6
241330,SERRA DE SAO BENTO,-2,5,3,2,-31,5896,-23
241335,SERRA DO MEL,12,-5,5,-5,-19,11159,-12
241340,SERRA NEGRA DO NORTE,14,-9,5,-4,-6,8083,0
241350,SERRINHA,12,-9,7,-7,-31,6620,-28
241355,SERRINHA DOS PINTOS,-2,-3,7,-4,-8,4752,-10
241360,SEVERIANO MELO,14,-6,5,-5,-8,4674,0
241370,SITIO NOVO,8,-7,3,-3,-19,5333,-18
241380,TABOLEIRO GRANDE,-1,-9,7,5,-8,2468,-6
241390,TAIPU,6,-9,7,-5,-4,12301,-5
241400,TANGARA,-2,-7,7,-5,-6,15175,-13
241410,TENENTE ANANIAS,-2,-3,7,-6,-6,10468,-10
241415,TENENTE LAURENTINO CRUZ,0,-9,7,-4,-12,5843,-18
241420,TIBAU DO SUL,-2,-2,3,6,-6,12708,-1
241430,TIMBAUBA DOS BATISTAS,10,-9,7,-7,-6,2398,-5
241440,TOUROS,-1,10,7,-7,-6,32942,3
241445,TRIUNFO POTIGUAR,10,-1,9,-6,-8,3406,4
241450,UMARIZAL,14,-9,7,-2,-6,10893,4
241460,UPANEMA,12,-7,5,-4,-10,13939,-4
241470,VARZEA,-2,-9,3,-7,-8,5467,-23
241475,VENHA-VER,-2,-9,7,-8,-8,4050,-20
241480,VERA CRUZ,8,-3,5,-7,-14,11644,-11
241490,VICOSA,-2,-3,7,0,-6,1696,-4
241500,VILA FLOR,-1,-9,3,-7,-8,3056,-22
250010,AGUA BRANCA,-2,-9,7,-5,-6,9893,-15
250020,AGUIAR,-1,-9,7,-3,-8,5586,-14
250030,ALAGOA GRANDE,10,12,7,7,-6,28733,30
250040,ALAGOA NOVA,-1,-4,7,2,-6,20294,-2
250050,ALAGOINHA,-2,-3,3,-5,-21,14088,-28
250053,ALCANTIL,-1,-9,1,-4,-12,5398,-25
250057,ALGODAO DE JANDAIRA,0,-7,7,-4,-6,2446,-10
250060,ALHANDRA,14,-5,5,-2,-6,18868,6
250070,SAO JOAO DO RIO DO PEIXE,12,-3,7,-1,-8,17917,7
250073,AMPARO,12,-9,5,4,-14,2176,-2
250077,APARECIDA,8,-5,7,-5,-23,8081,-18
250080,ARACAGI,-2,-3,3,-4,-6,17252,-12
250090,ARARA,-2,-9,7,-8,-6,13157,-18
250100,ARARUNA,14,-7,7,-4,-6,19653,4
250110,AREIA,-2,0,3,-7,-6,23472,-12
250115,AREIA DE BARAUNAS,-2,-3,7,-2,-23,1908,-23
250120,AREIAL,-1,-3,-1,-4,-6,6819,-15
250130,AROEIRAS,-2,-7,1,-4,-11,19259,-23
250135,ASSUNCAO,-1,-9,9,4,-10,3732,-7
250140,BAIA DA TRAICAO,-2,-2,5,1,-6,8561,-4
250150,BANANEIRAS,10,4,1,-6,-8,22012,1
250153,BARAUNA,-2,-3,9,-7,-6,4577,-9
250157,BARRA DE SANTANA,-2,-9,7,-7,2,8305,-9
250160,BARRA DE SANTA ROSA,14,-9,7,-5,-8,14847,-1
250170,BARRA DE SAO MIGUEL,-1,-1,7,-2,1,5824,4
250180,BAYEUX,2,4,9,-8,-23,102789,-16
250190,BELEM,14,-9,5,-8,-1,17495,1
250200,BELEM DO BREJO DO CRUZ,-1,-9,3,-7,-6,7291,-20
250205,BERNARDINO BATISTA,-2,-7,5,-4,-14,3266,-22
250210,BOA VENTURA,-1,-7,7,-7,-8,5608,-16
250215,BOA VISTA,-1,-7,7,-5,-6,6669,-12
250220,BOM JESUS,8,-9,7,-7,-8,2495,-9
250230,BOM SUCESSO,-1,-9,7,2,-8,5044,-9
250240,BONITO DE SANTA FE,12,-9,3,-4,-8,11409,-6
250250,BOQUEIRAO,10,-7,5,-7,5,17434,6
250260,IGARACY,-1,-9,3,-8,-8,6210,-23
250270,BORBOREMA,-2,-1,7,-7,-6,5297,-9
250280,BREJO DO CRUZ,-1,-9,7,1,-6,13676,-8
250290,BREJO DOS SANTOS,-2,-3,3,-6,-6,6364,-14
250300,CAAPORA,8,-7,7,4,-6,21212,6
250310,CABACEIRAS,1,-2,5,-6,-8,5319,-10
250320,CABEDELO,-1,4,3,-2,-12,63035,-8
250330,CACHOEIRA DOS INDIOS,-2,-7,3,-7,5,9950,-8
250340,CACIMBA DE AREIA,-2,-3,7,-6,-6,3673,-10
250350,CACIMBA DE DENTRO,12,-3,1,-8,-6,17141,-4
250355,CACIMBAS,0,-1,5,0,-8,7035,-4
250360,CAICARA,-2,0,5,-5,-12,7304,-14
250370,CAJAZEIRAS,1,4,1,-7,16,60612,15
250375,CAJAZEIRINHAS,-1,-9,7,-2,-6,3131,-11
250380,CALDAS BRANDAO,-1,-3,7,8,-8,5859,3
250390,CAMALAU,-6,4,1,-7,-6,5917,-14
250400,CAMPINA GRANDE,12,6,7,-6,31,400002,50
250403,CAPIM,-1,-1,1,0,-21,6082,-22
250407,CARAUBAS,-1,2,5,-5,-12,4054,-11
250410,CARRAPATEIRA,-2,-1,7,-4,-8,2529,-8
250415,CASSERENGUE,-2,-3,7,-7,-8,7304,-13
250420,CATINGUEIRA,6,-3,9,-5,-15,4905,-8
250430,CATOLE DO ROCHA,-2,-4,7,-5,-6,29794,-10
250435,CATURITE,10,-9,7,-4,-12,4714,-8
250440,CONCEICAO,-1,-9,3,-5,-8,18769,-20
250450,CONDADO,-2,-9,7,-4,-8,6711,-16
250460,CONDE,8,-2,7,-4,-5,23115,4
250470,CONGO,14,-2,7,-7,-8,4770,4
250480,COREMAS,-2,-3,3,-3,-6,15391,-11
250485,COXIXOLA,12,-5,3,-4,-6,1856,0
250490,CRUZ DO ESPIRITO SANTO,-2,4,7,-4,-6,16836,-1
250500,CUBATI,-1,-3,5,-7,-6,7106,-12
250510,CUITE,-2,-7,9,-7,-6,20299,-13
250520,CUITEGI,-2,-7,5,-6,-6,6895,-16
250523,CUITE DE MAMANGUAPE,-1,-3,3,-7,-6,6321,-14
250527,CURRAL DE CIMA,1,-3,5,-4,-8,5259,-9
250530,CURRAL VELHO,-1,-9,9,-8,-8,2529,-17
250535,DAMIAO,12,-9,7,-4,-8,5142,-2
250540,DESTERRO,12,-3,7,-3,-11,8196,2
250550,VISTA SERRANA,-1,-3,7,-1,-8,3675,-6
250560,DIAMANTE,-1,-9,7,-7,-8,6636,-18
250570,DONA INES,10,1,5,-1,-21,10535,-6
250580,DUAS ESTRADAS,-2,-3,5,-3,-6,3645,-9
250590,EMAS,8,-5,7,-7,-8,3439,-5
250600,ESPERANCA,14,10,7,-8,-6,32264,17
250610,FAGUNDES,-1,-3,-1,-6,-6,11449,-17
250620,FREI MARTINHO,6,-3,9,4,-6,2981,10
250625,GADO BRAVO,-2,-9,5,-7,-8,8466,-21
250630,GUARABIRA,-2,6,3,0,8,57383,15
250640,GURINHEM,-1,-6,7,-4,-6,14098,-10
250650,GURJAO,10,-1,-1,-4,-8,3311,-4
250660,IBIARA,-1,-9,7,0,-8,6027,-11
250670,IMACULADA,12,-7,7,-6,-6,11659,0
250680,INGA,14,-5,1,-1,-6,17912,3
250690,ITABAIANA,14,6,7,-3,-10,24663,14
250700,ITAPORANGA,-1,0,9,-4,-8,24128,-4
250710,ITAPOROROCA,-2,-3,5,-5,-6,17918,-11
250720,ITATUBA,-1,-1,5,-7,-6,10590,-10
250730,JACARAU,-2,-3,3,-7,-12,14248,-21
250740,JERICO,-2,-3,3,0,-6,7689,-8
250750,JOAO PESSOA,-1,10,3,-5,26,769604,33
250760,JUAREZ TAVORA,-2,-3,7,-4,-6,7742,-8
250770,JUAZEIRINHO,-1,-9,7,-3,-23,17565,-29
250780,JUNCO DO SERIDO,-1,-3,7,-5,-8,6934,-10
250790,JURIPIRANGA,-1,-9,7,-7,-8,10560,-18
250800,JURU,-1,-9,7,-5,-6,9919,-14
250810,LAGOA,-2,-3,7,-7,-9,4710,-14
250820,LAGOA DE DENTRO,-2,-1,5,-2,-7,7564,-7
250830,LAGOA SECA,-1,0,7,-7,-10,26788,-11
250840,LASTRO,-2,1,5,-4,-8,2809,-8
250850,LIVRAMENTO,-2,0,9,-7,-8,7320,-8
250855,LOGRADOURO,-2,-3,5,-4,-8,4157,-12
250860,LUCENA,-2,2,1,-4,-6,12460,-9
250870,MAE D'AGUA,12,-2,7,-6,-17,4044,-6
250880,MALTA,-1,-3,5,-6,-6,5679,-11
250890,MAMANGUAPE,-2,12,3,-5,-13,43678,-5
250900,MANAIRA,-2,-7,7,-7,-6,11007,-15
250905,MARCACAO,10,-3,7,-6,-12,8117,-4
250910,MARI,-2,12,3,2,-6,21648,9
250915,MARIZOPOLIS,-2,-7,7,-5,-8,6423,-15
250920,MASSARANDUBA,-2,-6,5,-8,-8,13438,-19
250930,MATARACA,-2,-3,3,-5,-6,7952,-13
250933,MATINHAS,-1,-3,5,-4,-6,4453,-9
250937,MATO GROSSO,-1,-3,7,3,-6,2821,0
250939,MATUREIA,10,-7,7,-5,-25,6283,-20
250940,MOGEIRO,-2,-5,7,-8,-6,13349,-14
250950,MONTADAS,-2,-3,1,-7,-8,5351,-19
250960,MONTE HOREBE,10,-6,7,1,-19,4688,-7
250970,MONTEIRO,10,6,3,-4,-12,32211,3
250980,MULUNGU,-2,-3,5,-8,-6,9750,-14
250990,NATUBA,12,-9,3,8,-12,10439,2
251000,NAZAREZINHO,2,-7,7,-8,-8,7342,-14
251010,NOVA FLORESTA,8,-5,7,-4,-6,10661,0
251020,NOVA OLINDA,-1,-9,3,-4,-8,6058,-19
251030,NOVA PALMEIRA,-2,-3,7,-7,-6,4647,-11
251040,OLHO D'AGUA,6,-6,9,-5,-6,6790,-2
251050,OLIVEDOS,-1,-3,7,-5,-8,3804,-10
251060,OURO VELHO,-2,-9,1,-4,-6,3003,-20
251065,PARARI,-1,-9,-1,-8,-12,1823,-31
251070,PASSAGEM,-2,-3,7,12,-8,2338,6
251080,PATOS,10,10,9,-4,6,104716,31
251090,PAULISTA,-2,-7,3,-4,-6,12117,-16
251100,PEDRA BRANCA,-1,-9,3,-7,-8,3787,-22
251110,PEDRA LAVRADA,10,-9,7,2,-6,7830,4
251120,PEDRAS DE FOGO,-2,0,7,-8,-6,28056,-9
251130,PIANCO,-1,-9,3,1,-21,15870,-27
251140,PICUI,14,-5,3,-7,-5,18597,0
251150,PILAR,-2,-3,3,-6,-6,11620,-14
251160,PILOES,10,-3,7,4,-8,6860,10
251170,PILOEZINHOS,-2,-1,5,-3,-7,5159,-8
251180,PIRPIRITUBA,-2,-3,3,-4,0,10523,-6
251190,PITIMBU,8,-6,7,-7,-6,18148,-4
251200,POCINHOS,1,-9,5,-1,-6,17894,-10
251203,POCO DANTAS,-2,-4,9,4,2,3788,9
251207,POCO DE JOSE DE MOURA,-2,-7,7,0,-8,4165,-10
251210,POMBAL,8,0,7,2,-6,32654,11
251220,PRATA,-1,-6,1,-7,-8,4033,-21
251230,PRINCESA ISABEL,-2,-7,9,-2,-6,22461,-8
251240,PUXINANA,1,-9,7,-8,-8,13386,-17
251250,QUEIMADAS,-2,6,5,1,-26,42586,-16
251260,QUIXABA,12,-6,7,-7,-8,1834,-2
251270,REMIGIO,-1,-3,5,-5,-6,18686,-10
251272,PEDRO REGIS,-2,-7,7,-7,-8,5963,-17
251274,RIACHAO,-2,-7,5,-7,-6,3448,-17
251275,RIACHAO DO BACAMARTE,-2,-7,3,-7,-8,4419,-21
251276,RIACHAO DO POCO,1,-5,1,-5,-8,4359,-16
251278,RIACHO DE SANTO ANTONIO,-2,-3,5,-5,-8,1856,-13
251280,RIACHO DOS CAVALOS,-1,-3,3,-2,-9,8513,-12
251290,RIO TINTO,-1,-4,7,-7,-3,23883,-8
251300,SALGADINHO,10,-7,9,-9,-17,3752,-14
251310,SALGADO DE SAO FELIX,-1,-3,7,-5,-6,12144,-8
251315,SANTA CECILIA,6,-9,1,-7,-6,6610,-15
251320,SANTA CRUZ,-2,-9,7,-7,-14,6573,-25
251330,SANTA HELENA,2,-5,5,-6,-8,5949,-12
251335,SANTA INES,-2,-9,9,-4,-8,3592,-14
251340,SANTA LUZIA,8,-9,9,-6,-8,15145,-6
251350,SANTANA DE MANGUEIRA,-1,-9,7,-3,-8,5292,-14
251360,SANTANA DOS GARROTES,-1,-7,5,-3,-8,7209,-14
251365,SANTAREM,6,-6,7,-4,-8,2669,-5
251370,SANTA RITA,14,4,5,-7,-12,125278,4
251380,SANTA TERESINHA,14,-6,9,0,-6,4612,11
251385,SANTO ANDRE,10,-1,1,-6,-6,2565,-2
251390,SAO BENTO,-1,-2,7,-5,-6,32651,-7
251392,SAO BENTINHO,-1,-9,7,-7,-6,4355,-16
251394,SAO DOMINGOS DO CARIRI,-2,-7,1,-4,-8,2522,-20
251396,SAO DOMINGOS,-2,-7,3,-4,-6,2999,-16
251398,SAO FRANCISCO,10,-5,1,1,-8,3389,-1
251400,SAO JOAO DO CARIRI,-2,2,1,-2,-12,4352,-13
251410,SAO JOAO DO TIGRE,-2,-9,7,-3,-6,4442,-13
251420,SAO JOSE DA LAGOA TAPADA,-2,-9,1,-6,-8,7674,-24
251430,SAO JOSE DE CAIANA,-1,-9,7,-2,-8,6179,-13
251440,SAO JOSE DE ESPINHARAS,14,-3,7,-9,-8,4738,1
251445,SAO JOSE DOS RAMOS,-6,-9,7,-5,-8,5762,-21
251450,SAO JOSE DE PIRANHAS,-2,-2,7,-7,-18,19732,-22
251455,SAO JOSE DE PRINCESA,-2,-3,9,-2,-8,4077,-6
251460,SAO JOSE DO BONFIM,14,-9,7,-5,-6,3411,1
251465,SAO JOSE DO BREJO DO CRUZ,-1,-3,3,-4,-8,1753,-13
251470,SAO JOSE DO SABUGI,-1,-9,7,-3,-19,4102,-25
251480,SAO JOSE DOS CORDEIROS,4,-9,5,-10,-8,3749,-18
251490,SAO MAMEDE,-1,-5,7,-5,-6,7794,-10
251500,SAO MIGUEL DE TAIPU,-2,-9,7,-4,-6,6970,-14
251510,SAO SEBASTIAO DE LAGOA DE ROCA,-2,-9,9,1,-6,11495,-7
251520,SAO SEBASTIAO DO UMBUZEIRO,10,-7,5,-3,-12,3380,-7
251530,SAPE,-2,-5,1,-6,-8,51700,-20
251540,SERIDO,-1,-3,7,-7,-6,10701,-10
251550,SERRA BRANCA,-2,-6,7,-2,-6,13409,-9
251560,SERRA DA RAIZ,-2,-3,5,-3,-6,3190,-9
251570,SERRA GRANDE,-1,-9,7,-6,-8,3055,-17
251580,SERRA REDONDA,-2,-3,5,1,-6,7089,-5
251590,SERRARIA,-2,-3,3,-5,-8,6218,-15
251593,SERTAOZINHO,8,0,5,3,-8,4728,8
251597,SOBRADO,2,0,3,-8,-12,7623,-15
251600,SOLANEA,10,-2,7,-10,-2,26431,3
251610,SOLEDADE,12,-7,7,-4,-6,14418,2
251615,SOSSEGO,10,-9,3,-7,-6,3376,-9
251620,SOUSA,-2,4,7,1,28,68030,38
251630,SUME,12,-9,5,-2,-6,16595,0
251640,CAMPO DE SANTANA,6,-6,5,1,-6,10665,0
251650,TAPEROA,-1,-3,7,-1,-6,15190,-4
251660,TAVARES,-2,-7,7,5,-6,14467,-3
251670,TEIXEIRA,4,-5,7,-7,-6,14739,-7
251675,TENORIO,-2,-9,7,-7,-8,2951,-19
251680,TRIUNFO,-6,-7,7,-7,-8,9410,-21
251690,UIRAUNA,-2,-1,7,-4,-8,15062,-8
251700,UMBUZEIRO,8,-7,7,-5,-10,9862,-7
251710,VARZEA,-1,-9,7,-4,-1,2668,-8
251720,VIEIROPOLIS,-2,-5,-1,-5,-8,5228,-21
251740,ZABELE,10,-9,1,-6,-12,2169,-16
260005,ABREU E LIMA,-2,6,1,2,-11,97786,-4
260010,AFOGADOS DA INGAZEIRA,1,6,7,1,4,36379,19
260020,AFRANIO,14,-7,1,-5,-8,18625,-5
260030,AGRESTINA,-2,4,5,-2,-5,23842,0
260040,AGUA PRETA,-2,12,7,-5,-16,34978,-4
260050,AGUAS BELAS,14,-7,1,-2,7,42008,13
260060,ALAGOINHA,12,-1,3,-4,-3,14155,7
260070,ALIANCA,12,12,1,-4,-11,38242,10
260080,ALTINHO,10,6,3,-3,-5,22853,11
260090,AMARAJI,6,-6,7,0,-31,22555,-24
260100,ANGELIM,-2,-5,7,-5,-27,10706,-32
260105,ARACOIABA,1,0,1,-8,-11,19333,-17
260110,ARARIPINA,12,10,3,2,11,80577,38
260120,ARCOVERDE,14,10,5,6,-6,72102,29
260130,BARRA DE GUABIRABA,-2,-7,1,-4,-35,13523,-47
260140,BARREIROS,12,12,5,-1,17,41987,45
260150,BELEM DE MARIA,14,-7,1,-4,-23,11777,-19
260160,BELEM DE SAO FRANCISCO,14,-6,7,-3,-7,20680,5
260170,BELO JARDIM,-2,8,9,9,44,74902,68
260180,BETANIA,10,8,1,-4,-23,12433,-8
260190,BEZERROS,12,6,3,-2,-21,60213,-2
260200,BODOCO,-1,-2,7,0,-35,36783,-31
260210,BOM CONSELHO,1,-2,5,-6,9,47273,7
260220,BOM JARDIM,-4,-6,3,3,-21,38816,-25
260230,BONITO,12,4,1,0,-10,38287,7
260240,BREJAO,-2,5,3,-7,3,9006,2
260250,BREJINHO,-1,-7,7,-5,-2,7464,-8
260260,BREJO DA MADRE DE DEUS,-2,2,7,6,-6,47972,7
260270,BUENOS AIRES,-2,-9,7,-5,-6,12934,-15
