cod,nome,plan,legis,saude,meioamb,polgen,pop,ida
230400,COREAU,10,-2,7,2,-8,22653,9
230410,CRATEUS,12,12,9,10,-4,74103,39
230420,CRATO,0,12,7,1,-8,126591,12
230423,CROATA,-2,-7,5,0,-20,17569,-24
230425,CRUZ,4,6,1,5,-6,23344,10
230426,DEPUTADO IRAPUAN PINHEIRO,1,-5,1,0,-9,9360,-12
230427,ERERE,2,-9,5,5,-27,7041,-24
230428,EUSEBIO,-2,10,5,6,12,49455,31
230430,FARIAS BRITO,-2,6,7,6,-2,19015,15
230435,FORQUILHA,12,8,7,7,-15,22998,19
230440,FORTALEZA,4,8,5,20,28,2551805,65
230445,FORTIM,8,-5,1,4,-7,15603,1
230450,FRECHEIRINHA,-2,-7,3,-3,-17,13402,-26
230460,GENERAL SAMPAIO,12,-9,7,9,-8,6591,11
230465,GRACA,14,3,1,8,-7,15281,19
230470,GRANJA,6,2,9,0,12,53435,29
230480,GRANJEIRO,-1,-7,9,-1,-8,4569,-8
230490,GROAIRAS,2,-9,7,3,-22,10668,-19
230495,GUAIUBA,6,0,1,-5,-13,25310,-11
230500,GUARACIABA DO NORTE,-2,0,5,0,-8,38832,-5
230510,GUARAMIRANGA,1,8,7,2,-6,3909,12
230520,HIDROLANDIA,4,-3,3,-5,-1,19882,-2
230523,HORIZONTE,12,6,7,7,-3,60584,29
230526,IBARETAMA,-1,-1,3,-1,-16,13155,-16
230530,IBIAPINA,-2,12,7,-2,-10,24458,5
230533,IBICUITINGA,-1,-7,3,-2,-12,11890,-19
230535,ICAPUI,10,-7,5,8,0,19129,16
230540,ICO,-1,8,5,15,-6,66885,21
230550,IGUATU,4,2,7,9,1,100053,23
230560,INDEPENDENCIA,8,2,1,12,-3,25946,20
230565,IPAPORANGA,10,-9,7,0,-3,11500,5
230570,IPAUMIRIM,8,-9,7,2,-5,12256,3
230580,IPU,8,4,7,10,-5,41190,24
230590,IPUEIRAS,12,8,7,2,-5,38159,24
230600,IRACEMA,-2,-7,7,1,-6,14011,-7
230610,IRAUCUBA,12,0,7,3,-16,23202,6
230620,ITAICABA,12,-9,5,4,5,7567,17
230625,ITAITINGA,8,2,7,19,1,37705,37
230630,ITAPAGE,8,2,7,0,-10,50211,7
230640,ITAPIPOCA,-2,6,1,2,-3,122220,4
230650,ITAPIUNA,-2,-5,7,-6,-12,19409,-18
230655,ITAREMA,-2,4,5,3,-8,39494,2
230660,ITATIRA,-2,-9,9,3,-6,19861,-5
230670,JAGUARETAMA,-2,-9,9,4,-6,18040,-4
230680,JAGUARIBARA,12,12,3,4,-3,10892,28
230690,JAGUARIBE,-2,2,5,2,-6,34683,1
230700,JAGUARUANA,-2,-9,1,0,-8,33174,-18
230710,JARDIM,-2,8,7,2,0,27067,15
230720,JATI,-2,-2,9,4,-7,7764,2
230725,JIJOCA DE JERICOACOARA,12,6,1,9,-8,18292,20
230730,JUAZEIRO DO NORTE,-2,8,7,10,3,261289,26
230740,JUCAS,-2,-1,7,-1,-7,24351,-4
230750,LAVRAS DA MANGABEIRA,-1,-7,7,12,3,31435,14
230760,LIMOEIRO DO NORTE,8,2,7,4,-8,57372,13
230763,MADALENA,-2,-3,5,2,-4,19017,-2
230765,MARACANAU,12,4,9,15,-6,217922,34
230770,MARANGUAPE,8,10,7,2,2,120405,29
230780,MARCO,1,-9,7,8,-6,25944,1
230790,MARTINOPOLE,-2,-3,7,-4,-8,10693,-10
230800,MASSAPE,14,10,9,7,0,36854,40
230810,MAURITI,14,12,3,1,2,45640,32
230820,MERUOCA,-2,-3,5,-4,-6,14377,-10
230830,MILAGRES,12,12,5,4,12,28487,45
230835,MILHA,12,-7,9,-2,-6,13207,6
230837,MIRAIMA,14,-9,1,-2,-1,13259,3
230840,MISSAO VELHA,-2,-5,5,5,-18,35056,-15
230850,MOMBACA,8,-5,7,-5,-25,43493,-20
230860,MONSENHOR TABOSA,-2,-3,7,2,-12,16984,-8
230870,MORADA NOVA,-2,4,7,4,-3,62287,10
230880,MORAUJO,-4,-9,-1,1,-8,8393,-21
230890,MORRINHOS,6,-9,3,4,-19,21561,-15
230900,MUCAMBO,-2,-7,7,-4,-6,14335,-12
230910,MULUNGU,1,-1,7,-3,-6,12196,-2
230920,NOVA OLINDA,-2,0,5,5,-6,14908,2
230930,NOVA RUSSAS,-2,12,7,7,-6,31692,18
230940,NOVO ORIENTE,12,2,5,4,4,28075,27
230945,OCARA,4,10,7,6,-22,24829,5
230950,OROS,-2,12,7,0,-12,21503,5
230960,PACAJUS,-2,-7,7,3,-25,66510,-24
230970,PACATUBA,6,8,5,4,12,77723,35
230980,PACOTI,1,0,7,1,-6,11857,3
230990,PACUJA,10,-9,7,1,-8,6131,1
231000,PALHANO,6,-9,1,3,-6,9126,-5
231010,PALMACIA,-2,-7,7,1,-6,12624,-7
231020,PARACURU,10,8,5,1,4,32919,28
231025,PARAIPABA,12,6,7,6,-12,31413,19
231030,PARAMBU,-2,-3,7,1,-8,31462,-5
231040,PARAMOTI,0,-2,7,2,-6,11517,1
231050,PEDRA BRANCA,-1,4,5,-5,-12,42643,-9
231060,PENAFORTE,-2,2,5,0,-2,8666,3
231070,PENTECOSTE,8,-4,5,5,-4,36442,10
231080,PEREIRO,6,-5,5,-5,-6,16063,-5
231085,PINDORETAMA,-2,-3,7,-4,-12,19733,-14
231090,PIQUET CARNEIRO,10,-5,7,7,-1,16169,18
231095,PIRES FERREIRA,12,-9,7,-6,-8,10556,-4
231100,PORANGA,8,-7,3,3,-3,12203,4
231110,PORTEIRAS,12,12,7,-5,-6,15108,20
231120,POTENGI,-2,-9,1,-8,-6,10651,-24
231123,POTIRETAMA,-1,-7,5,-5,-12,6278,-20
231126,QUITERIANOPOLIS,-2,-6,5,3,-8,20505,-8
231130,QUIXADA,0,6,3,1,8,83990,18
231135,QUIXELO,2,-7,1,-4,-4,15046,-12
231140,QUIXERAMOBIM,14,4,9,26,-5,75565,48
231150,QUIXERE,-2,-9,7,4,-5,21241,-5
231160,REDENCAO,-2,10,7,-1,-6,27088,8
231170,RERIUTABA,-2,-5,7,3,-8,19281,-5
231180,RUSSAS,6,0,3,4,-5,73436,8
231190,SABOEIRO,12,-9,7,-2,-7,15835,1
231195,SALITRE,10,-7,9,-1,1,15976,12
231200,SANTANA DO ACARAU,12,8,7,6,-27,31133,6
231210,SANTANA DO CARIRI,4,2,9,-4,-3,17445,8
231220,SANTA QUITERIA,12,8,5,1,-14,43358,12
231230,SAO BENEDITO,-2,10,7,2,-15,45653,2
