Unnamed: 0,cod,cod2,nome,nome.1,nomeUF,UF,plan,legis,saude,meioamb,polgen,pop,ida,sexo,idade,escolaridade,partido,regiao,ESPVIDA1991,MORT1991,ESPVIDA2000,MORT12000,ESPVIDA2010,MORT12010,IDH1991,IDH2000,IDH2010,GINI1991,GINI2000,GINI2010,Renda1991,Renda2000,Renda2010
796,796,120013,BUJARI,BUJARI,BUJARI - AC,AC,10,-5,7,-9,-21,9003,-18,Masculino,53,superior cpt.,PT,Norte,64.41,47.44,67.7,35.11,71.76,21.9,499,641,739,0.51,0.64,0.58,194.84,238.86,340.95
797,797,150190,BUJARU,BUJARU,BUJARU - PA,PA,2,0,7,5,-8,27000,6,Masculino,54,fundamental incpt.,PT,Norte,60.56,42.52,67.35,29.4,72.94,18.1,499,640,739,0.53,0.52,0.52,154.48,140.75,174.18
798,798,350800,BURI,BURI,BURI - SP,SP,-2,-3,7,7,-8,19395,1,Masculino,56,superior cpt.,PDT,Sudeste,57.04,26.46,69.95,23.6,75.31,14.3,499,640,739,0.54,0.51,0.5,277.3,347.33,435.15
799,799,350810,BURITAMA,BURITAMA,BURITAMA - SP,SP,-2,2,7,3,-6,16312,4,Masculino,73,superior incpt.,PPS,Sudeste,56.51,89.09,60.25,60.48,67.82,36.8,540,673,763,0.57,0.58,0.53,295.34,300.12,398.5
800,800,210220,BURITI,BURITI,BURITI - MA,MA,1,-6,3,5,-6,27697,-3,Masculino,25,médio cpt.,PRP,Nordeste,72.36,31.97,71.12,24.4,74.87,13.3,498,640,739,0.4,0.54,0.63,100.92,107.6,157.21
801,801,520390,BURITI ALEGRE,BURITI ALEGRE,BURITI ALEGRE - GO,GO,1,3,7,0,-4,9395,7,Masculino,56,Pós-graduação,DEM,Centro-Oeste,59.61,72.03,62.85,50.07,70.1,29,499,640,739,0.56,0.52,0.43,393.38,433.7,625.26
802,802,210230,BURITI BRAVO,BURITI BRAVO,BURITI BRAVO - MA,MA,-2,-1,7,-8,-17,23238,-21,Masculino,Ignorada,superior cpt.,PTB,Nordeste,72.58,34.44,68.01,31.7,73.34,15.6,499,640,739,0.56,0.56,0.55,115.63,123.43,229.21
803,803,520393,BURITI DE GOIAS,BURITI DE GOIAS,BURITI DE GOIAS - GO,GO,-2,-7,3,-2,-8,2606,-16,Masculino,35,médio incpt.,PMDB,Centro-Oeste,54.14,92.66,60.52,61.26,67.76,33.8,498,640,739,0.41,0.39,0.49,164.77,248.59,650.67
804,804,170380,BURITI DO TOCANTINS,BURITI DO TOCANTINS,BURITI DO TOCANTINS - TO,TO,12,-9,7,5,-21,10522,-6,Feminino,38,Pós-graduação,PSB,Norte,61.44,100.13,61.26,56.28,69.09,30.7,498,640,739,0.55,0.62,0.56,99.71,145.99,287.05
805,805,220200,BURITI DOS LOPES,BURITI DOS LOPES,BURITI DOS LOPES - PI,PI,-2,-9,5,9,-2,19352,1,Masculino,53,Pós-graduação,PR,Nordeste,60.44,74.87,63.9,46.16,71.78,22.7,498,640,739,0.45,0.57,0.54,94.93,143.81,236.13
806,806,220202,BURITI DOS MONTES,BURITI DOS MONTES,BURITI DOS MONTES - PI,PI,1,-7,3,0,-8,8138,-11,Masculino,56,médio cpt.,PSD,Nordeste,58.96,75.44,61.35,55.92,67.46,38.1,498,640,739,0.49,0.56,0.57,58.97,125.97,212.72
807,807,210232,BURITICUPU,BURITICUPU,BURITICUPU - MA,MA,-2,6,5,-5,-4,68626,0,Masculino,45,médio cpt.,PMDB,Nordeste,67.8,29.02,69.98,27,73.76,14.9,499,640,739,0.55,0.62,0.6,125.48,194.87,220.64
808,808,520396,BURITINOPOLIS,BURITINOPOLIS,BURITINOPOLIS - GO,GO,-2,-3,3,-4,-19,3398,-25,Feminino,45,fundamental cpt.,PSD,Centro-Oeste,67.1,67.49,64.03,45.71,70.63,25.5,498,640,739,0.54,0.62,0.77,100.65,116.72,735.72
809,809,290475,BURITIRAMA,BURITIRAMA,BURITIRAMA - BA,BA,1,-3,7,4,-26,21115,-17,Masculino,62,superior cpt.,PP,Nordeste,53.34,108.88,61.19,56.56,68.5,34.4,498,640,739,0.49,0.72,0.57,70.26,82.03,184.53
810,810,210235,BURITIRANA,BURITIRANA,BURITIRANA - MA,MA,12,-3,-1,-8,-8,15008,-8,Masculino,44,médio cpt.,PR,Nordeste,63.27,41.14,65.3,32.95,70.08,25.7,498,640,739,0.44,0.51,0.5,87.91,99.74,230.11
811,811,110045,BURITIS,BURITIS,BURITIS - RO,RO,0,6,7,7,-26,36555,-6,Masculino,48,médio cpt.,PMDB,Norte,67.41,38.76,68.37,33.81,73.88,17.1,498,640,739,0.39,0.65,0.5,152.66,485.88,458.05
812,812,310930,BURITIS,BURITIS,BURITIS - MG,MG,-2,4,3,3,-11,23979,-3,Masculino,54,superior incpt.,PSDB,Sudeste,58.78,27.85,71.29,21,74.79,15.1,498,640,739,0.54,0.7,0.57,175.78,488.75,505.59
813,813,350820,BURITIZAL,BURITIZAL,BURITIZAL - SP,SP,10,8,9,0,-23,4279,4,Masculino,45,superior cpt.,PP,Sudeste,67.41,53.92,66.71,39.57,71.06,22.2,522,660,753,0.41,0.44,0.4,279.16,546.17,947.28
814,814,310940,BURITIZEIRO,BURITIZEIRO,BURITIZEIRO - MG,MG,-2,0,3,3,-13,27974,-9,Masculino,49,superior cpt.,PTC,Sudeste,68.91,25.51,70.2,22.3,75.85,11.6,498,640,739,0.55,0.52,0.41,157.07,208.76,340.72
815,815,430270,BUTIA,BUTIA,BUTIA - RS,RS,-2,2,1,-2,2,21131,1,Masculino,64,superior incpt.,PT,Sul,62.31,53.88,64.91,47.6,71.49,21.4,498,639,739,0.47,0.48,0.47,287.91,432.61,590.45
816,816,130083,CAAPIRANGA,CAAPIRANGA,CAAPIRANGA - AM,AM,-2,-5,-1,1,-6,12004,-13,Masculino,46,fundamental cpt.,PSD,Norte,66.27,91.78,62.49,51.45,70.41,26.2,498,639,739,0.51,0.53,0.58,160.79,150.83,235.49
817,817,250300,CAAPORA,CAAPORA,CAAPORA - PB,PB,8,-7,7,4,-6,21212,6,Masculino,63,superior cpt.,PMDB,Nordeste,67.56,40.94,68.64,29.51,74.65,18.4,498,639,739,0.44,0.51,0.47,106.68,173.23,268.46
818,818,500240,CAARAPO,CAARAPO,CAARAPO - MS,MS,-2,2,3,0,-12,27554,-9,Masculino,50,fundamental cpt.,PR,Centro-Oeste,67.41,64.14,63.89,46.22,70.09,27.1,498,639,739,0.64,0.58,0.5,317.58,341.75,537.01
819,819,290480,CAATIBA,CAATIBA,CAATIBA - BA,BA,2,-7,1,4,-6,10828,-6,Masculino,41,superior cpt.,PT do B,Nordeste,65.69,70.31,66.06,38.73,70.54,25.8,497,639,739,0.65,0.39,0.39,142.55,131.52,293.78
820,820,250310,CABACEIRAS,CABACEIRAS,CABACEIRAS - PB,PB,1,-2,5,-6,-8,5319,-10,Masculino,47,médio cpt.,PSB,Nordeste,66.5,80.89,62.86,50.02,70.8,25,497,639,739,0.55,0.5,0.46,133.54,187.65,283.93
821,821,290485,CABACEIRAS DO PARAGUACU,CABACEIRAS DO PARAGUACU,CABACEIRAS DO PARAGUACU - BA,BA,10,-1,9,5,-6,18713,17,Masculino,46,médio cpt.,PRP,Nordeste,65.87,32.79,71.28,24.94,72.25,19.9,497,639,739,0.49,0.57,0.54,72.51,133.14,209.45
822,822,310945,CABECEIRA GRANDE,CABECEIRA GRANDE,CABECEIRA GRANDE - MG,MG,-1,-7,3,-1,-22,6774,-28,Masculino,67,fundamental incpt.,PR,Sudeste,70.54,34.34,67.1,34,74.15,14.4,497,639,739,0.49,0.52,0.47,218.18,283.91,424.47
823,823,520400,CABECEIRAS,CABECEIRAS,CABECEIRAS - GO,GO,14,10,7,-7,-10,7717,14,Masculino,59,Pós-graduação,PP,Centro-Oeste,65.27,92.85,63.16,48.9,71.11,24.5,497,639,738,0.57,0.56,0.48,213.56,293.23,420.47
824,824,220205,CABECEIRAS DO PIAUI,CABECEIRAS DO PIAUI,CABECEIRAS DO PIAUI - PI,PI,-2,2,7,-7,-8,10220,-8,Masculino,49,superior cpt.,PP,Nordeste,61.44,48.5,67.37,34.54,74.31,16,497,639,738,0.45,0.58,0.53,59.91,86.79,229.86
825,825,250320,CABEDELO,CABEDELO,CABEDELO - PB,PB,-1,4,3,-2,-12,63035,-8,Masculino,Ignorada,superior cpt.,PMDB,Nordeste,63.16,41.52,65.62,31.99,70.39,24.8,514,654,748,0.47,0.5,0.46,177.64,311.87,524.03
826,826,110003,CABIXI,CABIXI,CABIXI - RO,RO,-2,-1,1,-4,-6,6495,-12,Masculino,42,Pós-graduação,PTB,Norte,61.68,55.35,69.02,40.97,73.74,17.2,497,639,738,0.7,0.58,0.51,116.38,342.46,457.17
827,827,260290,CABO DE SANTO AGOSTINHO,CABO DE SANTO AGOSTINHO,CABO DE SANTO AGOSTINHO - PE,PE,-2,4,7,2,6,196152,17,Masculino,44,médio incpt.,PSB,Nordeste,64.23,28.52,70.84,16.67,75.16,15.41,497,639,738,0.5,0.54,0.53,196.33,270.17,467.07
828,828,330070,CABO FRIO,CABO FRIO,CABO FRIO - RJ,RJ,12,6,7,1,-3,200380,23,Masculino,71,superior cpt.,PP,Sudeste,66.17,40.76,70.23,27.97,75.82,14.1,515,654,748,0.58,0.49,0.45,245.49,293.93,464.5
829,829,310950,CABO VERDE,CABO VERDE,CABO VERDE - MG,MG,6,12,-1,1,-12,14262,6,Masculino,53,médio cpt.,PSC,Sudeste,63.96,36.38,69.66,24.3,73.68,16.8,497,639,738,0.58,0.59,0.43,298.11,667.47,571.6
830,830,350830,CABRALIA PAULISTA,CABRALIA PAULISTA,CABRALIA PAULISTA - SP,SP,14,-9,1,7,-8,4430,5,Masculino,53,fundamental cpt.,PSB,Sudeste,59.2,29.72,72.61,18.5,74.67,15.2,497,639,738,0.61,0.43,0.4,361.53,354.87,507.41
831,831,350840,CABREUVA,CABREUVA,CABREUVA - SP,SP,-1,6,5,-1,-6,45112,3,Masculino,27,superior cpt.,PDT,Sudeste,65.38,53.07,67.46,47.24,71.39,22.9,497,639,738,0.53,0.46,0.42,542.98,545.71,694.03
832,832,260300,CABROBO,CABROBO,CABROBO - PE,PE,-2,12,3,-1,13,32596,25,Masculino,54,superior cpt.,PSB,Nordeste,67.79,28.74,73.34,20.6,77.65,10.2,497,639,738,0.58,0.58,0.58,171.46,221.03,298.14
833,833,420300,CACADOR,CACADOR,CACADOR - SC,SC,12,10,1,-4,8,74276,27,Masculino,48,superior cpt.,PMDB,Sul,65.24,26.49,74.02,16.2,76.5,11.6,514,653,747,0.73,0.61,0.56,98.76,141.53,211.1
834,834,350850,CACAPAVA,CACAPAVA,CACAPAVA - SP,SP,12,10,-1,-1,-10,89668,10,Masculino,49,médio cpt.,PSDB,Sudeste,70.17,28.37,72.24,18.4,76.27,11.1,579,710,788,0.45,0.62,0.48,158.75,194.86,374.27
835,835,430280,CACAPAVA DO SUL,CACAPAVA DO SUL,CACAPAVA DO SUL - RS,RS,12,12,9,-2,-10,34676,21,Masculino,61,superior cpt.,PP,Sul,61.51,47.44,67.17,27.61,73.08,17.8,497,638,738,0.56,0.54,0.48,326.29,453.2,618.98
836,836,110060,CACAULANDIA,CACAULANDIA,CACAULANDIA - RO,RO,-4,-5,7,6,-8,6268,-4,Masculino,59,médio incpt.,PMN,Norte,68.95,30.87,69.22,24.4,73.39,15,496,638,738,0.44,0.61,0.56,149.14,447.09,499.93
837,837,430290,CACEQUI,CACEQUI,CACEQUI - RS,RS,-2,-1,3,8,-6,13834,2,Masculino,52,médio cpt.,PTB,Sul,74.04,32.23,70.03,25.29,73.76,17.4,496,638,738,0.58,0.51,0.52,293.37,356.93,550.88
838,838,510250,CACERES,CACERES,CACERES - MT,MT,-1,-2,1,1,2,89683,1,Masculino,57,médio cpt.,PMDB,Centro-Oeste,66.36,68.08,65.51,40.57,70.72,25.2,496,638,738,0.55,0.61,0.53,271.34,442.8,590.43
839,839,290490,CACHOEIRA,CACHOEIRA,CACHOEIRA - BA,BA,-2,12,7,-2,-3,34244,12,Masculino,26,superior cpt.,PP,Nordeste,74.15,27.22,70.02,26.9,75.39,12.6,496,638,738,0.64,0.59,0.56,159.84,239.23,368.11
840,840,520410,CACHOEIRA ALTA,CACHOEIRA ALTA,CACHOEIRA ALTA - GO,GO,10,-5,-1,4,-8,11348,0,Masculino,42,superior cpt.,PSD,Centro-Oeste,66.31,33.61,71.54,24.21,75.02,15.3,496,638,738,0.65,0.59,0.51,416.44,533.77,853.32
841,841,310960,CACHOEIRA DA PRATA,CACHOEIRA DA PRATA,CACHOEIRA DA PRATA - MG,MG,-2,-3,7,-1,-12,3734,-11,Masculino,73,fundamental cpt.,PP,Sudeste,72.05,32.9,68.53,30.4,75.26,12.8,516,655,749,0.53,0.58,0.55,739.61,987.7,1163.86
842,842,520420,CACHOEIRA DE GOIAS,CACHOEIRA DE GOIAS,CACHOEIRA DE GOIAS - GO,GO,-2,-9,3,-1,-8,1436,-17,Masculino,38,médio cpt.,PSC,Centro-Oeste,64.4,28.82,73.2,19.78,74.25,16.5,496,638,738,0.41,0.52,0.47,247.27,321.63,549.16
843,843,310970,CACHOEIRA DE MINAS,CACHOEIRA DE MINAS,CACHOEIRA DE MINAS - MG,MG,-2,1,7,-2,-6,11481,-2,Masculino,44,superior cpt.,PV,Sudeste,66.76,46.9,65.7,43.3,71.25,21.8,496,638,738,0.51,0.46,0.45,208.94,386.44,527.44
844,844,310270,CACHOEIRA DE PAJEU,CACHOEIRA DE PAJEU,CACHOEIRA DE PAJEU - MG,MG,0,-3,7,0,-15,9333,-11,Masculino,52,médio incpt.,PT,Sudeste,63.68,50.31,67.7,35.11,71.65,22.2,496,638,738,0.55,0.53,0.52,137.77,155.69,265.27
845,845,150200,CACHOEIRA DO ARARI,CACHOEIRA DO ARARI,CACHOEIRA DO ARARI - PA,PA,-2,-4,5,0,-8,21740,-9,Masculino,44,médio incpt.,PSD,Norte,63.05,52.88,64.68,46.14,71.73,22,496,638,738,0.49,0.74,0.6,141.42,234.73,209.79
846,846,150195,CACHOEIRA DO PIRIA,CACHOEIRA DO PIRIA,CACHOEIRA DO PIRIA - PA,PA,6,-1,3,-7,-17,29533,-16,Feminino,46,médio cpt.,PMDB,Norte,68.91,18.03,74.9,14,76.22,8.49,496,638,738,0.59,0.55,0.58,79.29,100.36,130.4
847,847,430300,CACHOEIRA DO SUL,CACHOEIRA DO SUL,CACHOEIRA DO SUL - RS,RS,2,4,1,-2,-11,85955,-6,Masculino,56,fundamental cpt.,PT,Sul,67.15,84.07,64.61,43.64,70.95,24.6,546,679,767,0.59,0.49,0.41,623.98,819.69,1004.85
848,848,250330,CACHOEIRA DOS INDIOS,CACHOEIRA DOS INDIOS,CACHOEIRA DOS INDIOS - PB,PB,-2,-7,3,-7,5,9950,-8,Masculino,47,superior incpt.,DEM,Nordeste,64.95,28.23,72.21,22.38,76.02,13.8,496,638,738,0.58,0.51,0.5,73.57,146.09,301.77
849,849,310980,CACHOEIRA DOURADA,CACHOEIRA DOURADA,CACHOEIRA DOURADA - MG,MG,-2,-5,3,-4,-8,2628,-16,Masculino,47,médio cpt.,PTB,Sudeste,72.68,25.95,71.89,22.9,73.22,15.7,495,637,737,0.53,0.58,0.35,201.44,485.31,606.15
850,850,520425,CACHOEIRA DOURADA,CACHOEIRA DOURADA,CACHOEIRA DOURADA - GO,GO,4,1,7,3,-8,8414,7,Masculino,49,médio cpt.,PSDB,Centro-Oeste,55.56,94.76,63.19,48.79,71.36,25.2,495,637,738,0.48,0.57,0.47,334.78,439.47,636.17
851,851,210237,CACHOEIRA GRANDE,CACHOEIRA GRANDE,CACHOEIRA GRANDE - MA,MA,8,-3,5,-4,-19,8698,-13,Masculino,68,superior cpt.,PSD,Nordeste,64.3,22.11,73.79,16.5,75.19,13.3,495,637,737,0.37,0.48,0.57,72.17,76.32,110.65
852,852,350860,CACHOEIRA PAULISTA,CACHOEIRA PAULISTA,CACHOEIRA PAULISTA - SP,SP,-2,-4,5,-5,-6,31791,-12,Masculino,50,superior cpt.,PT,Sudeste,63.94,31.1,70.33,17.66,74.01,16.43,553,687,772,0.59,0.51,0.6,89.59,103.91,207.65
853,853,330080,CACHOEIRAS DE MACACU,CACHOEIRAS DE MACACU,CACHOEIRAS DE MACACU - RJ,RJ,6,4,5,6,-15,55632,6,Masculino,58,médio cpt.,PSC,Sudeste,56.38,80.7,64.59,45.13,70.7,24.6,495,637,737,0.51,0.49,0.49,269.94,438.38,604.45
854,854,170382,CACHOEIRINHA,CACHOEIRINHA,CACHOEIRINHA - TO,TO,-2,0,1,-3,-14,2236,-18,Masculino,31,médio cpt.,PSB,Norte,59.19,71.41,67.36,47.66,70.18,26.4,495,637,737,0.28,0.49,0.47,89.16,103.17,241.7
855,855,260310,CACHOEIRINHA,CACHOEIRINHA,CACHOEIRINHA - PE,PE,4,-1,7,0,-14,19674,-4,Masculino,47,fundamental incpt.,PSD,Nordeste,68.44,21.46,74.17,15.2,76.42,11.6,495,637,737,0.59,0.53,0.48,211.73,247.57,308.18
856,856,430310,CACHOEIRINHA,CACHOEIRINHA,CACHOEIRINHA - RS,RS,-2,12,7,-2,29,124472,44,Masculino,50,superior incpt.,PSB,Sul,67.29,36.68,69.17,25.83,75.2,13.8,546,679,767,0.45,0.46,0.47,303.36,399.29,689.3
857,857,320120,CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM - ES,ES,-2,12,7,11,-8,205213,20,Masculino,53,médio cpt.,PT,Sudeste,65.23,90.38,63.33,48.28,71.25,23.7,524,662,754,0.48,0.62,0.44,399.09,862.8,832.51
858,858,250340,CACIMBA DE AREIA,CACIMBA DE AREIA,CACIMBA DE AREIA - PB,PB,-2,-3,7,-6,-6,3673,-10,Masculino,50,médio incpt.,PSDB,Nordeste,64.87,79.96,64.36,44.55,71.59,22.8,495,637,737,0.45,0.51,0.49,85.81,133.23,249.79
859,859,250350,CACIMBA DE DENTRO,CACIMBA DE DENTRO,CACIMBA DE DENTRO - PB,PB,12,-3,1,-8,-6,17141,-4,Masculino,60,Pós-graduação,PSDB,Nordeste,64.98,112.44,58.3,69.03,65.3,44,495,637,737,0.6,0.58,0.53,95.65,123.96,246.21
860,860,250355,CACIMBAS,CACIMBAS,CACIMBAS - PB,PB,0,-1,5,0,-8,7035,-4,Masculino,37,médio cpt.,PSB,Nordeste,54.04,80.22,62.24,54.52,66.82,40.6,495,637,737,0.49,0.62,0.53,54.8,78.85,181.17
861,861,270120,CACIMBINHAS,CACIMBINHAS,CACIMBINHAS - AL,AL,-2,-9,3,-7,-6,10729,-21,Masculino,61,médio cpt.,PMDB,Nordeste,67.44,35.06,68.7,25.5,73.57,14.8,495,637,737,0.55,0.69,0.6,131.92,142.84,259.72
862,862,430320,CACIQUE DOBLE,CACIQUE DOBLE,CACIQUE DOBLE - RS,RS,-2,-5,7,6,-18,5056,-12,Masculino,45,superior cpt.,PMDB,Sul,65.03,35.37,69.7,21.27,74.27,14.3,494,637,737,0.59,0.5,0.51,208.04,337.7,539.67
863,863,110004,CACOAL,CACOAL,CACOAL - RO,RO,14,12,1,4,4,85863,35,Masculino,67,superior cpt.,PT,Norte,59.31,26.6,73.01,17.8,76.45,12.6,494,637,737,0.66,0.55,0.57,320.24,456.63,738.06
864,864,350870,CACONDE,CACONDE,CACONDE - SP,SP,-2,-3,7,0,-6,18926,-4,Masculino,45,superior cpt.,PSDB,Sudeste,71.38,23.54,72.24,22.2,75.4,12.6,494,637,737,0.53,0.59,0.5,300.5,493.61,627
865,865,520430,CACU,CACU,CACU - GO,GO,6,-3,7,4,-6,14364,8,Masculino,48,fundamental incpt.,PSDB,Centro-Oeste,65.87,52.47,68.53,31.05,71.12,24.1,494,637,737,0.62,0.58,0.53,470.79,550.81,987.3
866,866,290500,CACULE,CACULE,CACULE - BA,BA,-1,-2,5,0,-4,23232,-2,Masculino,50,superior cpt.,DEM,Nordeste,65.4,84.04,59.07,65.59,67.08,37.2,494,637,737,0.62,0.68,0.48,126.19,299.03,382.15
867,867,290510,CAEM,CAEM,CAEM - BA,BA,14,-5,7,-3,-6,10429,7,Masculino,52,superior cpt.,PSB,Nordeste,67.07,34.36,69.88,29.02,75.71,14.2,494,637,737,0.45,0.57,0.54,83.12,121.08,223.48
868,868,310990,CAETANOPOLIS,CAETANOPOLIS,CAETANOPOLIS - MG,MG,8,-1,1,1,-6,10918,3,Masculino,50,Pós-graduação,DEM,Sudeste,63.88,65.2,63.89,46.22,68.47,32.3,494,637,737,0.45,0.57,0.42,308.43,466.19,531.65
869,869,290515,CAETANOS,CAETANOS,CAETANOS - BA,BA,-2,-7,7,3,-6,15842,-5,Masculino,34,médio cpt.,PSDB,Nordeste,63.56,34.92,71.7,23.77,75.62,14.4,494,636,737,0.45,0.59,0.5,84.29,129.49,224.38
870,870,311000,CAETE,CAETE,CAETE - MG,MG,1,8,3,-5,-10,43036,-3,Masculino,47,Pós-graduação,PDT,Sudeste,60.16,116.1,61.52,75.24,68.94,30.2,522,661,754,0.67,0.53,0.62,153.41,246.16,416.31
871,871,260320,CAETES,CAETES,CAETES - PE,PE,-2,2,7,-4,-21,27766,-18,Masculino,58,médio cpt.,PTB,Nordeste,61.6,54.98,68.53,31.05,73.04,19,494,636,737,0.45,0.56,0.6,108.54,109.32,176.77
872,872,290520,CAETITE,CAETITE,CAETITE - BA,BA,2,8,3,-4,-6,52166,3,Masculino,57,superior cpt.,PSB,Nordeste,65.29,108.33,61.68,54.59,69.03,30.4,494,636,737,0.63,0.66,0.59,132.22,205.7,405.31
873,873,290530,CAFARNAUM,CAFARNAUM,CAFARNAUM - BA,BA,-2,-9,7,5,-8,18489,-7,Masculino,48,fundamental cpt.,PSDB,Nordeste,64.13,44.51,69.58,19.56,73.63,14.6,494,636,737,0.58,0.59,0.55,110.93,178.21,251.31
874,874,410340,CAFEARA,CAFEARA,CAFEARA - PR,PR,-1,4,1,-5,-6,2833,-7,Masculino,48,médio cpt.,PSD,Sul,60.76,23.58,73.35,17.3,77.01,11.8,494,636,737,0.4,0.44,0.4,213.63,313.98,560.67
875,875,350880,CAFELANDIA,CAFELANDIA,CAFELANDIA - SP,SP,-2,-1,1,-8,-6,17346,-16,Masculino,42,superior cpt.,PSDB,Sudeste,65.41,28.79,69.49,19.76,75.11,12.6,514,654,748,0.51,0.52,0.49,126.25,198.83,263.52
876,876,410345,CAFELANDIA,CAFELANDIA,CAFELANDIA - PR,PR,8,4,7,-7,-6,16020,6,Masculino,53,superior cpt.,DEM,Sul,65.93,32.99,69.44,19.89,72.5,16.3,531,666,758,0.39,0.41,0.35,391.43,538.5,793.09
877,877,410347,CAFEZAL DO SUL,CAFEZAL DO SUL,CAFEZAL DO SUL - PR,PR,2,10,1,-6,-12,4334,-5,Masculino,55,fundamental cpt.,PDT,Sul,60.13,28.46,72.58,18.6,74.37,15.7,493,636,736,0.48,0.62,0.41,146.4,400.1,569.82
878,878,350890,CAIABU,CAIABU,CAIABU - SP,SP,-2,-9,5,2,-8,4201,-12,Masculino,57,superior cpt.,PSB,Sudeste,66.31,43.36,69.2,31.15,74.98,15.4,493,636,736,0.4,0.41,0.37,199.82,329.55,559.13
879,879,311010,CAIANA,CAIANA,CAIANA - MG,MG,-2,-5,1,2,-25,5260,-29,Masculino,50,médio cpt.,PSDB,Sudeste,70.6,23.32,71.99,22.7,73.46,15.4,493,636,736,0.53,0.49,0.42,176.31,400.49,406.23
880,880,520440,CAIAPONIA,CAIAPONIA,CAIAPONIA - GO,GO,14,-7,7,0,-8,17773,6,Masculino,36,fundamental cpt.,PMDB,Centro-Oeste,72.27,22.07,71.26,20.2,76.39,11,493,636,736,0.57,0.55,0.52,331.63,372.39,628.14
881,881,430330,CAIBATE,CAIBATE,CAIBATE - RS,RS,-2,2,1,-7,-5,5075,-11,Masculino,51,superior cpt.,PPS,Sul,65.54,22.39,73.85,19.5,74.82,13.8,493,636,736,0.68,0.52,0.48,310.98,411.94,659.58
882,882,420310,CAIBI,CAIBI,CAIBI - SC,SC,-2,-3,7,-1,-10,6274,-9,Masculino,46,superior cpt.,PT,Sul,61.53,96.09,61.47,55.44,68.96,30.6,493,635,736,0.62,0.55,0.44,351.91,567.75,783.57
883,883,250360,CAICARA,CAICARA,CAICARA - PB,PB,-2,0,5,-5,-12,7304,-14,Masculino,38,médio cpt.,PSB,Nordeste,68.44,21.91,72.62,17.7,74,14.1,493,635,736,0.46,0.52,0.51,85.09,147.99,294.68
884,884,430340,CAICARA,CAICARA,CAICARA - RS,RS,10,-5,5,7,-6,5148,11,Masculino,46,superior incpt.,PMDB,Sul,53.04,80.44,65.48,48.25,68.61,31,493,635,736,0.67,0.57,0.47,290.15,415.22,712.77
885,885,240185,CAICARA DO NORTE,CAICARA DO NORTE,CAICARA DO NORTE - RN,RN,-1,-3,5,-7,-6,6257,-12,Masculino,43,superior incpt.,PP,Nordeste,54.78,99.46,62.72,59.46,69.01,29.7,493,635,736,0.47,0.45,0.53,97.76,132.08,280.53
886,886,240190,CAICARA DO RIO DO VENTO,CAICARA DO RIO DO VENTO,CAICARA DO RIO DO VENTO - RN,RN,8,-9,7,-7,-6,3531,-7,Feminino,28,superior cpt.,DEM,Nordeste,59.96,43.49,73.32,22.51,74.45,13.4,493,635,736,0.43,0.55,0.49,75.81,153.85,250.07
887,887,240200,CAICO,CAICO,CAICO - RN,RN,4,2,7,-2,2,66246,13,Masculino,53,superior cpt.,PMDB,Nordeste,60.84,28.22,73.65,16.8,76.68,10.2,499,641,740,0.6,0.52,0.53,129.31,175.14,343.23
888,888,350900,CAIEIRAS,CAIEIRAS,CAIEIRAS - SP,SP,8,12,5,0,-9,93215,16,Masculino,55,superior cpt.,PSD,Sudeste,64.65,54.54,66.65,36.81,73.41,18.1,569,701,781,0.5,0.51,0.49,112.74,151.65,269.86
889,889,290540,CAIRU,CAIRU,CAIRU - BA,BA,6,8,9,-7,-21,17168,-5,Masculino,49,superior incpt.,PMDB,Nordeste,65.57,40.6,67.71,28.6,73.13,17.8,493,635,736,0.4,0.49,0.53,128.83,165.54,334.19
890,890,350910,CAIUA,CAIUA,CAIUA - SP,SP,10,8,1,-2,-6,5418,11,Masculino,53,fundamental incpt.,PSDB,Sudeste,59.97,28.99,70.23,23.1,73.59,17,493,635,736,0.49,0.48,0.45,180.09,288.27,500.47
891,891,350920,CAJAMAR,CAJAMAR,CAJAMAR - SP,SP,10,12,7,6,-12,69584,23,Masculino,37,Pós-graduação,PSDB,Sudeste,55.23,96.78,61.06,57.11,68.2,35.4,501,641,740,0.66,0.61,0.52,177.12,226.92,325.64
892,892,210240,CAJAPIO,CAJAPIO,CAJAPIO - MA,MA,-2,-3,-2,-4,9,10822,-2,Masculino,53,médio cpt.,PC do B,Nordeste,55.06,97.86,61.64,54.74,69.79,30,493,635,736,0.42,0.49,0.57,73.41,79.31,145.01
893,893,210250,CAJARI,CAJARI,CAJARI - MA,MA,-2,-3,7,-7,-8,18751,-13,Masculino,38,superior cpt.,PRB,Nordeste,63.79,29.19,69.56,24.5,74.89,14.9,493,635,736,0.39,0.45,0.63,77.56,84.59,136.39
894,894,350925,CAJATI,CAJATI,CAJATI - SP,SP,-2,8,1,3,-6,29059,4,Masculino,46,médio cpt.,PSDB,Sudeste,62.32,44.47,68.02,32.57,73.87,17,493,635,736,0.53,0.53,0.47,284.46,347.32,481.48
895,895,250370,CAJAZEIRAS,CAJAZEIRAS,CAJAZEIRAS - PB,PB,1,4,1,-7,16,60612,15,Feminino,51,Pós-graduação,PSB,Nordeste,61.44,83.91,62.57,51.12,70.1,27.6,493,635,736,0.62,0.61,0.56,188.52,296.35,511.56
