Unnamed: 0,cod,cod2,nome,nome.1,nomeUF,UF,plan,legis,saude,meioamb,polgen,pop,ida,sexo,idade,escolaridade,partido,regiao,ESPVIDA1991,MORT1991,ESPVIDA2000,MORT12000,ESPVIDA2010,MORT12010,IDH1991,IDH2000,IDH2010,GINI1991,GINI2000,GINI2010,Renda1991,Renda2000,Renda2010
0,0,520005,ABADIA DE GOIAS,ABADIA DE GOIAS,ABADIA DE GOIAS - GO,GO,-4,2,5,-1,-6,7567,-4,Masculino,48,médio cpt.,PSD,Centro-Oeste,73.83,30.22,70.87,25,74.82,13.4,697,820,862,0.44,0.5,0.42,266.22,385.66,574.96
1,1,310010,ABADIA DOS DOURADOS,ABADIA DOS DOURADOS,ABADIA DOS DOURADOS - MG,MG,-2,-9,3,1,-6,6967,-13,Masculino,69,fundamental cpt.,PTB,Sudeste,58.32,27.69,72.92,20.51,75.35,14.8,689,791,854,0.46,0.5,0.47,247.43,370.42,596.18
2,2,520010,ABADIANIA,ABADIANIA,ABADIANIA - GO,GO,1,-4,7,-4,-8,17326,-8,Masculino,54,superior cpt.,PR,Centro-Oeste,73.41,30.52,68.81,29.7,75.46,12.6,681,785,847,0.52,0.54,0.43,261.01,330.07,519.87
3,3,310020,ABAETE,ABAETE,ABAETE - MG,MG,-2,0,5,1,-6,23451,-2,Masculino,62,Pós-graduação,DEM,Sudeste,55.81,29.37,72.5,21.59,75.9,14,681,777,845,0.52,0.58,0.54,263.12,498.82,707.24
4,4,150010,ABAETETUBA,ABAETETUBA,ABAETETUBA - PA,PA,14,12,9,8,4,147267,47,Feminino,44,Pós-graduação,PSDB,Norte,65.15,44.63,69.98,27.9,72.89,19,660,771,845,0.5,0.6,0.53,169.25,206.84,293.01
5,5,230010,ABAIARA,ABAIARA,ABAIARA - CE,CE,-2,-2,3,-5,-8,11089,-14,Masculino,47,médio cpt.,PSDB,Nordeste,61.16,64.98,67.2,42.98,69.87,26.9,644,766,840,0.44,0.6,0.48,83.34,143.75,229.74
6,6,290010,ABAIRA,ABAIRA,ABAIRA - BA,BA,10,-5,7,2,-10,9132,4,Masculino,44,Pós-graduação,PSB,Nordeste,67.58,53.91,67.91,32.89,69.76,28.1,642,759,837,0.52,0.53,0.46,136.5,204.01,290.53
7,7,290020,ABARE,ABARE,ABARE - BA,BA,12,-7,7,-2,-8,18989,2,Masculino,60,fundamental incpt.,PMDB,Nordeste,68.15,83.43,63.5,47.63,71.55,22.9,640,752,827,0.47,0.55,0.55,143.36,166.97,220.16
8,8,410010,ABATIA,ABATIA,ABATIA - PR,PR,-1,2,3,1,-6,7881,-1,Feminino,55,fundamental incpt.,DEM,Sul,62.68,30.06,69.62,19.48,73.23,16.2,639,751,824,0.53,0.43,0.44,237.64,286.5,535.86
9,9,420005,ABDON BATISTA,ABDON BATISTA,ABDON BATISTA - SC,SC,14,10,9,4,-33,2656,4,Masculino,40,superior cpt.,PMDB,Sul,67.16,30.84,69.99,28.2,73.74,15.4,635,750,823,0.48,0.56,0.45,174.16,301.64,485.35
10,10,150013,ABEL FIGUEIREDO,ABEL FIGUEIREDO,ABEL FIGUEIREDO - PA,PA,-2,-9,5,-1,-6,7013,-13,Masculino,39,médio cpt.,PSDB,Norte,63.23,52.15,67.52,35.75,73,18.35,634,746,819,0.51,0.52,0.57,243.37,317.56,390.12
11,11,420010,ABELARDO LUZ,ABELARDO LUZ,ABELARDO LUZ - SC,SC,14,12,9,1,2,17584,38,Masculino,52,Pós-graduação,PT,Sul,67.56,24.7,72.44,22.4,76.1,12.1,635,749,822,0.57,0.72,0.53,252.42,490.21,562.88
12,12,310030,ABRE CAMPO,ABRE CAMPO,ABRE CAMPO - MG,MG,-2,-7,7,-3,-8,13703,-13,Masculino,50,Pós-graduação,PT,Sudeste,60.75,36.29,69.78,29.33,74.36,16.3,630,745,817,0.52,0.51,0.52,158,307.67,444.32
13,13,260005,ABREU E LIMA,ABREU E LIMA,ABREU E LIMA - PE,PE,-2,6,1,2,-11,97786,-4,Masculino,52,médio cpt.,PT,Nordeste,65.38,52.23,67.85,45.63,72.46,20.1,630,744,815,0.47,0.46,0.45,213.32,260.29,390.4
14,14,170025,ABREULANDIA,ABREULANDIA,ABREULANDIA - TO,TO,-1,-7,7,6,-6,2506,-1,Masculino,42,superior incpt.,PSB,Norte,61.22,58.25,67.79,34.34,75.12,13.7,626,744,815,0.45,0.47,0.71,109.42,186.14,624.03
15,15,310040,ACAIACA,ACAIACA,ACAIACA - MG,MG,-2,-9,1,1,-8,4045,-17,Masculino,54,médio cpt.,PCO,Sudeste,61.4,44.53,68.42,33.65,74.36,16.3,626,744,814,0.59,0.55,0.48,220.82,267.8,357.03
16,16,210005,ACAILANDIA,ACAILANDIA,ACAILANDIA - MA,MA,12,4,3,-1,10,107790,28,Feminino,51,Pós-graduação,PMDB,Nordeste,57.69,82.36,66.11,38.58,72.07,23.2,626,742,813,0.62,0.62,0.56,269.72,294.27,438.56
17,17,290030,ACAJUTIBA,ACAJUTIBA,ACAJUTIBA - BA,BA,14,-1,3,-1,-6,15615,9,Masculino,56,superior cpt.,PTC,Nordeste,60.34,100.82,60.82,58.09,68.39,32.6,623,741,812,0.55,0.56,0.57,124.44,155.56,260.46
18,18,150020,ACARA,ACARA,ACARA - PA,PA,-2,2,5,6,-12,54030,-1,Masculino,41,superior cpt.,PMDB,Norte,62.87,53.64,67.84,34.67,70.44,25.6,620,741,811,0.58,0.5,0.53,131.4,160.07,199.34
19,19,230015,ACARAPE,ACARAPE,ACARAPE - CE,CE,1,10,5,12,-6,16011,22,Masculino,30,Pós-graduação,PSB,Nordeste,61.56,84.1,62.9,60.34,67.56,34.4,618,741,810,0.45,0.51,0.43,125.8,163.3,259.03
20,20,230020,ACARAU,ACARAU,ACARAU - CE,CE,2,12,1,0,-10,60137,5,Masculino,40,superior incpt.,PMDB,Nordeste,57,85.05,65.24,50.54,70.47,25.1,616,740,809,0.51,0.64,0.6,131.06,161.22,250.79
21,21,240010,ACARI,ACARI,ACARI - RN,RN,-1,-3,7,-4,-10,11355,-11,Masculino,40,médio cpt.,PMDB,Nordeste,53.92,52.08,68.67,36.7,71.73,21.7,612,740,809,0.53,0.47,0.49,179.82,258.99,410.61
22,22,220005,ACAUA,ACAUA,ACAUA - PI,PI,-2,-5,1,-5,-6,6890,-17,Masculino,36,fundamental cpt.,PSD,Nordeste,58.34,100.47,58.73,67.09,66.53,39.8,611,740,808,0.4,0.66,0.5,68.14,63.5,199.35
23,23,430003,ACEGUA,ACEGUA,ACEGUA - RS,RS,-2,-5,3,-2,-8,4638,-14,Masculino,61,superior cpt.,PMDB,Sul,68.91,19.31,73.66,16,76.14,12,611,739,807,0.53,0.54,0.53,378.29,440.76,633.63
24,24,230030,ACOPIARA,ACOPIARA,ACOPIARA - CE,CE,6,-3,7,10,1,52661,21,Masculino,56,Pós-graduação,PSB,Nordeste,61.28,91.68,63.19,59.08,68.41,31.5,611,738,806,0.58,0.71,0.57,104.25,177.7,266.65
25,25,510010,ACORIZAL,ACORIZAL,ACORIZAL - MT,MT,12,-1,-1,-1,-19,5431,-10,Masculino,34,médio cpt.,PSD,Centro-Oeste,71.31,26.56,69.67,26.3,73.98,17,610,736,806,0.52,0.57,0.5,175.97,251.09,321.58
26,26,120001,ACRELANDIA,ACRELANDIA,ACRELANDIA - AC,AC,-1,-7,5,-6,-6,13353,-15,Masculino,38,médio cpt.,DEM,Norte,64.1,39.43,68.36,25.65,73.45,18.3,609,736,806,0.6,0.63,0.54,223.65,268.77,303.76
27,27,520013,ACREUNA,ACREUNA,ACREUNA - GO,GO,-2,0,9,-1,-6,21366,0,Masculino,38,médio cpt.,PTC,Centro-Oeste,68.52,30.21,71.96,22.7,74.29,14.2,609,735,805,0.53,0.57,0.53,331.6,500.67,664.09
28,28,240020,ACU,ACU,ACU - RN,RN,6,4,7,0,-8,56354,9,Masculino,34,superior cpt.,PP,Nordeste,53.89,64.34,67.65,40.24,72.69,21.19,607,734,805,0.55,0.59,0.53,195.46,279.08,432.38
29,29,310050,ACUCENA,ACUCENA,ACUCENA - MG,MG,4,-7,1,-2,-20,10297,-24,Feminino,43,Pós-graduação,PT,Sudeste,57.21,38.7,70.43,27.39,75.66,14.3,608,735,805,0.56,0.55,0.48,129.39,181.29,325.42
30,30,350010,ADAMANTINA,ADAMANTINA,ADAMANTINA - SP,SP,4,8,7,9,-2,34953,26,Masculino,57,Pós-graduação,PSDB,Sudeste,63.02,25.88,73.64,16.8,76.13,12,607,734,805,0.57,0.55,0.51,525.09,696.1,975.43
31,31,520015,ADELANDIA,ADELANDIA,ADELANDIA - GO,GO,-2,-4,3,-4,-8,2550,-15,Masculino,30,médio cpt.,PMDB,Centro-Oeste,70.54,33.83,67.69,32.5,75.17,13,607,733,805,0.57,0.53,0.43,289.18,299.33,497.31
32,32,350020,ADOLFO,ADOLFO,ADOLFO - SP,SP,14,-1,3,6,-6,3639,16,Feminino,48,Pós-graduação,DEM,Sudeste,60.74,22.84,73.09,17.7,75.62,13.8,603,733,805,0.41,0.38,0.38,351.62,439.57,661.65
33,33,410020,ADRIANOPOLIS,ADRIANOPOLIS,ADRIANOPOLIS - PR,PR,-1,8,7,1,-6,6416,9,Masculino,46,médio cpt.,PT,Sul,62.68,41.51,69.87,18.94,74.02,14,603,732,803,0.56,0.57,0.53,214.45,228.71,440.79
34,34,290035,ADUSTINA,ADUSTINA,ADUSTINA - BA,BA,-1,-3,7,-7,-6,16929,-10,Masculino,51,superior incpt.,PMDB,Nordeste,67.58,108.36,60.05,61.33,68.07,33.7,602,730,803,0.44,0.5,0.54,112.28,171.39,211.37
35,35,260010,AFOGADOS DA INGAZEIRA,AFOGADOS DA INGAZEIRA,AFOGADOS DA INGAZEIRA - PE,PE,1,6,7,1,4,36379,19,Masculino,52,médio cpt.,PSB,Nordeste,63.44,52.23,68.66,42.39,73.39,17.8,602,728,802,0.59,0.65,0.56,152.5,280.17,386.56
36,36,240030,AFONSO BEZERRA,AFONSO BEZERRA,AFONSO BEZERRA - RN,RN,0,-7,7,-4,-8,11191,-12,Masculino,53,superior cpt.,PSD,Nordeste,54.69,74.29,65.5,48.17,67.76,33.9,602,728,801,0.49,0.57,0.53,106.02,188.57,261.3
37,37,320010,AFONSO CLAUDIO,AFONSO CLAUDIO,AFONSO CLAUDIO - ES,ES,-1,6,5,-3,-6,32551,1,Masculino,52,superior incpt.,PSB,Sudeste,70.15,38.17,69.39,25.23,74.51,14.8,602,727,801,0.64,0.54,0.5,209.14,359.81,489.59
38,38,210010,AFONSO CUNHA,AFONSO CUNHA,AFONSO CUNHA - MA,MA,0,-1,1,-7,-14,6197,-21,Masculino,36,superior cpt.,PMDB,Nordeste,55.35,96.05,60.71,58.54,68.48,34.4,602,726,801,0.39,0.52,0.59,70.12,87.25,149.78
39,39,260020,AFRANIO,AFRANIO,AFRANIO - PE,PE,14,-7,1,-5,-8,18625,-5,Feminino,51,superior cpt.,PSB,Nordeste,62.56,55.91,66.2,52.58,70.68,24.9,601,725,800,0.48,0.57,0.53,97.02,140.58,233.59
40,40,150030,AFUA,AFUA,AFUA - PA,PA,4,-6,7,2,-20,36598,-13,Masculino,63,superior cpt.,PP,Norte,62.98,53.17,67.63,35.37,71.43,22.8,600,725,800,0.47,0.49,0.66,139.09,147.25,163.98
41,41,260030,AGRESTINA,AGRESTINA,AGRESTINA - PE,PE,-2,4,5,-2,-5,23842,0,Masculino,32,superior cpt.,PDT,Nordeste,64.2,81.21,64.41,60.72,70.57,25.3,600,725,800,0.51,0.59,0.48,156.31,222.12,297.02
42,42,220010,AGRICOLANDIA,AGRICOLANDIA,AGRICOLANDIA - PI,PI,-2,-3,5,-5,-6,5097,-11,Masculino,42,superior cpt.,PSD,Nordeste,64.41,59.99,65.32,41.21,69.53,29.3,600,724,800,0.51,0.45,0.49,76.42,115.07,245.68
43,43,420020,AGROLANDIA,AGROLANDIA,AGROLANDIA - SC,SC,10,6,7,-2,-12,9957,9,Masculino,44,Pós-graduação,PT,Sul,63.14,29.32,70.59,26.7,74.63,14.1,598,723,800,0.54,0.46,0.36,291.07,411.89,739.1
44,44,420030,AGRONOMICA,AGRONOMICA,AGRONOMICA - SC,SC,10,6,3,1,-12,5172,8,Masculino,57,Pós-graduação,PMDB,Sul,70.48,23.07,73.28,20.7,78.06,9.7,598,723,799,0.53,0.47,0.47,282.4,511.95,985.65
45,45,150034,AGUA AZUL DO NORTE,AGUA AZUL DO NORTE,AGUA AZUL DO NORTE - PA,PA,-2,6,7,4,-6,25899,9,Masculino,33,médio cpt.,Outro,Norte,59.53,68.62,65.72,42.16,72.83,19.1,598,722,799,0.54,0.63,0.49,167.45,269.22,266.02
46,46,310060,AGUA BOA,AGUA BOA,AGUA BOA - MG,MG,14,-7,1,-5,1,15034,4,Masculino,40,superior cpt.,PPS,Sudeste,60.59,38.4,67.14,38.02,72.94,18.7,597,722,798,0.55,0.64,0.5,124.94,242.11,322.12
47,47,510020,AGUA BOA,AGUA BOA,AGUA BOA - MT,MT,14,12,3,3,0,22549,32,Masculino,48,médio cpt.,PPS,Centro-Oeste,69.4,32.79,69.1,27.9,74.71,15.8,597,721,798,0.59,0.67,0.49,371.2,695.97,720.74
48,48,220020,AGUA BRANCA,AGUA BRANCA,AGUA BRANCA - PI,PI,14,6,9,4,-19,16869,14,Masculino,53,Pós-graduação,PSB,Nordeste,66.04,69,65.72,39.85,70.79,25.5,594,721,797,0.5,0.55,0.49,144.59,201.45,335.63
49,49,250010,AGUA BRANCA,AGUA BRANCA,AGUA BRANCA - PB,PB,-2,-9,7,-5,-6,9893,-15,Masculino,52,superior cpt.,PSB,Nordeste,63.72,102.39,61.35,55.93,67.72,34.9,594,721,797,0.53,0.71,0.54,63.19,145.3,233.65
50,50,270010,AGUA BRANCA,AGUA BRANCA,AGUA BRANCA - AL,AL,-1,-5,5,-1,-14,20545,-16,Feminino,52,superior cpt.,PMDB,Nordeste,65.15,65.68,65.47,41.94,68.7,33.8,597,721,798,0.52,0.66,0.56,78.7,138.86,213
51,51,500020,AGUA CLARA,AGUA CLARA,AGUA CLARA - MS,MS,-2,-5,5,-6,-1,13938,-9,Masculino,48,superior cpt.,PSDB,Centro-Oeste,73.46,31.82,71.27,22.06,74.4,18.8,594,720,797,0.46,0.57,0.5,292.22,513.9,642.97
52,52,310070,AGUA COMPRIDA,AGUA COMPRIDA,AGUA COMPRIDA - MG,MG,12,-9,3,-7,-14,2070,-15,Masculino,32,fundamental incpt.,PSD,Sudeste,59.68,22.88,74.21,17.3,76.58,13,594,719,796,0.46,0.47,0.46,282.22,517.02,701.19
53,53,420040,AGUA DOCE,AGUA DOCE,AGUA DOCE - SC,SC,-2,-1,5,5,-12,7110,-5,Masculino,64,superior cpt.,PMDB,Sul,70.24,30.69,72.65,22,74.2,14.7,591,718,795,0.58,0.59,0.54,292.36,581.61,722.21
54,54,210015,AGUA DOCE DO MARANHAO,AGUA DOCE DO MARANHAO,AGUA DOCE DO MARANHAO - MA,MA,-1,0,7,-6,-8,12028,-8,Masculino,42,superior cpt.,PV,Nordeste,56.96,86.5,59.56,63.41,66.81,40.6,592,718,796,0.45,0.56,0.59,89.32,96.12,172.55
55,55,320016,AGUA DOCE DO NORTE,AGUA DOCE DO NORTE,AGUA DOCE DO NORTE - ES,ES,-2,-3,5,-3,-6,12164,-9,Masculino,32,médio cpt.,PMDB,Sudeste,68.68,49.05,68.12,28.72,74.13,15.3,591,718,796,0.43,0.57,0.49,120.94,252.68,377.39
56,56,290040,AGUA FRIA,AGUA FRIA,AGUA FRIA - BA,BA,-2,-1,9,-5,-23,16871,-22,Masculino,37,Pós-graduação,PT,Nordeste,63.91,88.31,62.63,50.89,69.79,28,591,718,795,0.48,0.54,0.53,73.95,113.81,215.12
57,57,520017,AGUA FRIA DE GOIAS,AGUA FRIA DE GOIAS,AGUA FRIA DE GOIAS - GO,GO,14,2,7,-7,-9,5395,7,Masculino,58,médio incpt.,PPS,Centro-Oeste,68.64,35.39,69.51,28,74.01,14.6,590,718,795,0.52,0.67,0.6,167.57,332.03,525.2
58,58,520020,AGUA LIMPA,AGUA LIMPA,AGUA LIMPA - GO,GO,-2,-7,7,1,-12,2021,-13,Masculino,62,fundamental incpt.,PSDB,Centro-Oeste,77.63,30.42,70.49,25.8,74.24,14.2,589,717,795,0.48,0.56,0.46,255.38,426.11,591.23
59,59,240040,AGUA NOVA,AGUA NOVA,AGUA NOVA - RN,RN,-1,-3,7,-5,-6,3156,-8,Feminino,26,superior incpt.,PMDB,Nordeste,56.94,85.47,64.1,53.71,71.56,22.2,588,717,791,0.53,0.55,0.44,123.58,101.84,212.82
60,60,260040,AGUA PRETA,AGUA PRETA,AGUA PRETA - PE,PE,-2,12,7,-5,-16,34978,-4,Masculino,50,superior cpt.,PSB,Nordeste,60.94,78.26,65.6,55.24,70.64,25,588,716,791,0.52,0.53,0.49,118.92,139.69,195.47
