cod,2012,sexo,idade,escolaridade,partido,regiao,cidade
110001,Não,Masculino,55, médio incpt.,PMDB,Norte,ALTA FLORESTA DOESTE
110002,Não,Masculino,56, médio cpt.,PMN,Norte,ARIQUEMES
110003,Sim,Masculino,42,Pós-graduação,PTB,Norte,CABIXI
110004,Sim,Masculino,67, superior cpt.,PT,Norte,CACOAL
110005,Não,Masculino,55, superior cpt.,PP,Norte,CEREJEIRAS
110006,Sim,Masculino,44, médio cpt.,PP,Norte,COLORADO DO OESTE
110007,Não,Masculino,38, fundamental cpt.,PDT,Norte,CORUMBIARA
110008,Não,Masculino,60, fundamental incpt.,PT,Norte,COSTA MARQUES
110009,Sim,Masculino,56,Pós-graduação,PMDB,Norte,ESPIGAO D'OESTE
110010,Não,Masculino,65,Pós-graduação,PT,Norte,GUAJARA-MIRIM
110011,Não,Masculino,45, superior cpt.,PT,Norte,JARU
110012,Não,Masculino,54, superior cpt.,PSB,Norte,JI-PARANA
110013,Sim,Masculino,41, médio cpt.,PV,Norte,MACHADINHO D'OESTE
110014,Não,Masculino,51, médio cpt.,PMDB,Norte,NOVA BRASILANDIA D'OESTE
110015,Sim,Masculino,48, médio cpt.,PSD,Norte,OURO PRETO DO OESTE
110018,Não,Masculino,33,Pós-graduação,PTB,Norte,PIMENTA BUENO
110020,Não,Masculino,54, superior cpt.,PSB,Norte,PORTO VELHO
110025,Não,Feminino,46,Pós-graduação,PT,Norte,PRESIDENTE MEDICI
110026,Não,Masculino,36, superior incpt.,PMDB,Norte,RIO CRESPO
110028,Não,Masculino,52, médio cpt.,PP,Norte,ROLIM DE MOURA
110029,Sim,Masculino,43, médio cpt.,PMDB,Norte,SANTA LUZIA D'OESTE
110030,Sim,Masculino,47, médio cpt.,PP,Norte,VILHENA
110032,Não,Masculino,27, superior cpt.,PT,Norte,SAO MIGUEL DO GUAPORE
110033,Não,Masculino,57, médio cpt.,PSDB,Norte,NOVA MAMORE
110034,Não,Masculino,37, médio cpt.,PP,Norte,ALVORADA D'OESTE
110037,Não,Masculino,55, fundamental cpt.,PSD,Norte,ALTO ALEGRE DOS PARECIS
110040,Não,Masculino,47, fundamental cpt.,PMDB,Norte,ALTO PARAISO
110045,Não,Masculino,48, médio cpt.,PMDB,Norte,BURITIS
110050,Não,Masculino,45, médio cpt.,PSDC,Norte,NOVO HORIZONTE DO OESTE
110060,Não,Masculino,59, médio incpt.,PMN,Norte,CACAULANDIA
110070,Não,Masculino,50, superior cpt.,PV,Norte,CAMPO NOVO DE RONDONIA
110080,Sim,Masculino,47, superior incpt.,PV,Norte,CANDEIAS DO JAMARI
110090,Não,Masculino,32, superior cpt.,PP,Norte,CASTANHEIRAS
110092,Sim,Masculino,50, superior cpt.,PMDB,Norte,CHUPINGUAIA
110094,Sim,Masculino,33, superior incpt.,PRTB,Norte,CUJUBIM
110100,Não,Feminino,43, fundamental cpt.,PMDB,Norte,GOVERNADOR JORGE TEIXEIRA
110110,Sim,Masculino,53, médio cpt.,PMDB,Norte,ITAPUA DO OESTE
110120,Sim,Masculino,41, médio incpt.,PTB,Norte,MINISTRO ANDREAZZA
110130,Sim,Masculino,55, superior incpt.,PMDB,Norte,MIRANTE DA SERRA
110140,Não,Masculino,24, superior incpt.,PP,Norte,MONTE NEGRO
110143,Não,Masculino,37, superior cpt.,PR,Norte,NOVA UNIAO
110145,Não,Masculino,40, médio cpt.,PMDB,Norte,PARECIS
110146,Não,Masculino,45,Pós-graduação,PSDB,Norte,PIMENTEIRAS DO OESTE
110147,Não,Masculino,45, fundamental cpt.,PSDB,Norte,PRIMAVERA DE RONDONIA
110148,Sim,Masculino,46, médio cpt.,PMDB,Norte,SAO FELIPE D'OESTE
110149,Não,Feminino,25, superior cpt.,PP,Norte,SAO FRANCISCO DO GUAPORE
110150,Não,Masculino,38, superior cpt.,PMDB,Norte,SERINGUEIRAS
110155,Não,Masculino,55, fundamental cpt.,PP,Norte,TEIXEIROPOLIS
110160,Sim,Masculino,48, médio cpt.,PDT,Norte,THEOBROMA
110170,Não,Masculino,36, médio cpt.,PDT,Norte,URUPA
110175,Não,Masculino,50, fundamental cpt.,PMDB,Norte,VALE DO ANARI
110180,Não,Masculino,49, fundamental incpt.,PTN,Norte,VALE DO PARAISO
120001,Não,Masculino,38, médio cpt.,DEM,Norte,ACRELANDIA
120005,Não,Masculino,43,Pós-graduação,PSDB,Norte,ASSIS BRASIL
120010,Não,Masculino,48, médio cpt.,PMDB,Norte,BRASILEIA
120013,Não,Masculino,53, superior cpt.,PT,Norte,BUJARI
120017,Não,Masculino,52, médio cpt.,PC do B,Norte,CAPIXABA
120020,Sim,Masculino,54, fundamental cpt.,PMDB,Norte,CRUZEIRO DO SUL
120025,Não,Masculino,35, superior cpt.,PSDB,Norte,EPITACIOLANDIA
120030,Não,Masculino,36,Pós-graduação,PT,Norte,FEIJO
120032,Não,Masculino,37, médio cpt.,PC do B,Norte,JORDAO
120033,Sim,Masculino,48,Pós-graduação,PMDB,Norte,MANCIO LIMA
120034,Não,Masculino,59, médio cpt.,DEM,Norte,MANOEL URBANO
120035,Não,Masculino,44, médio cpt.,PT,Norte,MARECHAL THAUMATURGO
120038,Não,Masculino,48,Pós-graduação,PSB,Norte,PLACIDO DE CASTRO
120039,Não,Masculino,49, fundamental cpt.,PMDB,Norte,PORTO WALTER
120040,Não,Masculino,36,Pós-graduação,PT,Norte,RIO BRANCO
120042,Sim,Masculino,51, médio cpt.,PT,Norte,RODRIGUES ALVES
120043,Não,Masculino,38, fundamental cpt.,PSDB,Norte,SANTA ROSA DO PURUS
120045,Não,Masculino,34, superior cpt.,PT,Norte,SENADOR GUIOMARD
120050,Não,Masculino,36, médio cpt.,PR,Norte,SENA MADUREIRA
120060,Não,Masculino,29,Pós-graduação,PT,Norte,TARAUACA
120070,Não,Masculino,35, superior cpt.,PSDB,Norte,XAPURI
120080,Não,Masculino,35,Pós-graduação,PSDB,Norte,PORTO ACRE
130002,Sim,Masculino,45, superior cpt.,PMDB,Norte,ALVARAES
130006,Sim,Masculino,51, superior cpt.,PT,Norte,AMATURA
130008,Sim,Masculino,33, médio incpt.,PSD,Norte,ANAMA
130010,Sim,Feminino,35, superior incpt.,PSD,Norte,ANORI
130014,Não,Masculino,42, médio cpt.,DEM,Norte,APUI
130020,Não,Masculino,45, fundamental cpt.,PDT,Norte,ATALAIA DO NORTE
130030,Sim,Masculino,51, superior cpt.,PMDB,Norte,AUTAZES
130040,Sim,Masculino,56, médio cpt.,PMDB,Norte,BARCELOS
130050,Sim,Masculino,49, médio cpt.,PSD,Norte,BARREIRINHA
130060,Não,Feminino,58, médio cpt.,PSD,Norte,BENJAMIN CONSTANT
130063,Não,Masculino,44, superior cpt.,PSD,Norte,BERURI
130068,Não,Masculino,46, superior cpt.,PMDB,Norte,BOA VISTA DO RAMOS
130070,Não,Masculino,49, superior cpt.,PSD,Norte,BOCA DO ACRE
130080,Não,Masculino,56,Pós-graduação,PSD,Norte,BORBA
130083,Não,Masculino,46, fundamental cpt.,PSD,Norte,CAAPIRANGA
130090,Sim,Masculino,44, fundamental cpt.,PP,Norte,CANUTAMA
130100,Sim,Masculino,63, médio cpt.,PSD,Norte,CARAUARI
130110,Não,Masculino,43, superior cpt.,PMDB,Norte,CAREIRO
130115,Não,Masculino,60, fundamental cpt.,PSD,Norte,CAREIRO DA VARZEA
130120,Sim,Masculino,51, fundamental incpt.,PRP,Norte,COARI
130130,Não,Masculino,49, superior cpt.,PT,Norte,CODAJAS
130140,Não,Masculino,42, médio cpt.,PSD,Norte,EIRUNEPE
130150,Não,Masculino,43, superior cpt.,PMDB,Norte,ENVIRA
130160,Não,Masculino,55, médio cpt.,PSD,Norte,FONTE BOA
130165,Sim,Masculino,64,Pós-graduação,PMDB,Norte,GUAJARA
130170,Sim,Masculino,50, superior cpt.,PMDB,Norte,HUMAITA
130180,Não,Feminino,52, médio cpt.,PR,Norte,IPIXUNA
130185,Não,Masculino,39, médio cpt.,PTB,Norte,IRANDUBA
130190,Não,Masculino,68, superior cpt.,PSD,Norte,ITACOATIARA
130195,Sim,Masculino,44, médio cpt.,PMDB,Norte,ITAMARATI
130200,Sim,Masculino,46, superior cpt.,PMDB,Norte,ITAPIRANGA
130210,Sim,Masculino,53, fundamental incpt.,PC do B,Norte,JAPURA
130220,Sim,Masculino,63, médio cpt.,PSD,Norte,JURUA
130230,Não,Feminino,44, médio cpt.,PMDB,Norte,JUTAI
130240,Não,Masculino,49, médio cpt.,PMDB,Norte,LABREA
130250,Não,Masculino,59, superior incpt.,PMDB,Norte,MANACAPURU
130255,Não,Masculino,49, fundamental incpt.,PRTB,Norte,MANAQUIRI
130260,Não,Masculino,67,Pós-graduação,PSDB,Norte,MANAUS
130270,Sim,Masculino,49, superior cpt.,PSD,Norte,MANICORE
130280,Não,Masculino,62, fundamental incpt.,PMDB,Norte,MARAA
130290,Não,Masculino,39,Pós-graduação,PT,Norte,MAUES
130300,Não,Masculino,33, médio cpt.,PDT,Norte,NHAMUNDA
130310,Não,Masculino,48, médio cpt.,PT,Norte,NOVA OLINDA DO NORTE
130320,Não,Feminino,57,Pós-graduação,PT,Norte,NOVO AIRAO
130330,Não,Masculino,58, médio cpt.,PV,Norte,NOVO ARIPUANA
130340,Não,Masculino,38, superior cpt.,PSD,Norte,PARINTINS
130350,Não,Masculino,50, médio cpt.,PMDB,Norte,PAUINI
130353,Não,Masculino,51, superior cpt.,PSB,Norte,PRESIDENTE FIGUEIREDO
130356,Não,Masculino,46,Pós-graduação,PRP,Norte,RIO PRETO DA EVA
130360,Não,Masculino,65, superior cpt.,PDT,Norte,SANTA ISABEL DO RIO NEGRO
130370,Não,Masculino,46, fundamental incpt.,PMDB,Norte,SANTO ANTONIO DO ICA
130380,Não,Masculino,48, médio cpt.,PC do B,Norte,SAO GABRIEL DA CACHOEIRA
130390,Sim,Masculino,57, fundamental cpt.,PSD,Norte,SAO PAULO DE OLIVENCA
130395,Não,Masculino,65,Pós-graduação,PSD,Norte,SAO SEBASTIAO DO UATUMA
130400,Não,Masculino,55, médio cpt.,PSD,Norte,SILVES
130406,Não,Masculino,52, fundamental incpt.,PDT,Norte,TABATINGA
130410,Não,Masculino,53, médio cpt.,PSD,Norte,TAPAUA
130420,Não,Masculino,48, médio cpt.,PSDB,Norte,TEFE
130423,Sim,Masculino,45, médio cpt.,PSD,Norte,TONANTINS
130426,Não,Masculino,38, médio cpt.,PMDB,Norte,UARINI
130430,Não,Masculino,53, médio cpt.,PSD,Norte,URUCARA
130440,Não,Masculino,49, médio cpt.,PR,Norte,URUCURITUBA
140002,Não,Masculino,44,Pós-graduação,PR,Norte,AMAJARI
140005,Não,Masculino,39, superior cpt.,PT,Norte,ALTO ALEGRE
140010,Não,Feminino,56, superior cpt.,PMDB,Norte,BOA VISTA
140015,Não,Feminino,48, médio cpt.,PR,Norte,BONFIM
140017,Não,Feminino,42, fundamental cpt.,PMDB,Norte,CANTA
140020,Não,Masculino,33, superior cpt.,PSC,Norte,CARACARAI
140023,Sim,Masculino,39, fundamental cpt.,PSDB,Norte,CAROEBE
140028,Sim,Masculino,38, superior cpt.,PR,Norte,IRACEMA
140030,Não,Masculino,48, superior cpt.,PSL,Norte,MUCAJAI
140040,Não,Masculino,43,Pós-graduação,PSDB,Norte,NORMANDIA
140045,Sim,Masculino,60, médio cpt.,PSDB,Norte,PACARAIMA
140047,Não,Masculino,45, superior incpt.,PP,Norte,RORAINOPOLIS
140050,Não,Masculino,34, superior incpt.,PSDB,Norte,SAO JOAO DA BALIZA
140060,Não,Masculino,51, médio cpt.,PP,Norte,SAO LUIZ
140070,Sim,Masculino,29, superior cpt.,PT,Norte,UIRAMUTA
150010,Sim,Feminino,44,Pós-graduação,PSDB,Norte,ABAETETUBA
150013,Não,Masculino,39, médio cpt.,PSDB,Norte,ABEL FIGUEIREDO
150020,Não,Masculino,41, superior cpt.,PMDB,Norte,ACARA
150030,Não,Masculino,63, superior cpt.,PP,Norte,AFUA
150034,Não,Masculino,33, médio cpt.,Outro,Norte,AGUA AZUL DO NORTE
150040,Não,Masculino,63, superior cpt.,PR,Norte,ALENQUER
150050,Sim,Masculino,59,Pós-graduação,PT,Norte,ALMEIRIM
150060,Não,Masculino,71,Pós-graduação,PMDB,Norte,ALTAMIRA
150070,Não,Masculino,54, fundamental cpt.,PP,Norte,ANAJAS
150080,Não,Masculino,Ignorada, superior cpt.,PSDB,Norte,ANANINDEUA
150085,Não,Masculino,43, médio cpt.,PSDB,Norte,ANAPU
150090,Não,Feminino,48, médio cpt.,PT,Norte,AUGUSTO CORREA
150095,Não,Masculino,58, fundamental incpt.,DEM,Norte,AURORA DO PARA
150100,Não,Masculino,51, fundamental cpt.,PSC,Norte,AVEIRO
150110,Sim,Masculino,35, superior cpt.,PSD,Norte,BAGRE
150120,Sim,Masculino,51, superior cpt.,PT,Norte,BAIAO
150125,Sim,Masculino,34, médio cpt.,PSB,Norte,BANNACH
150130,Não,Masculino,59, fundamental cpt.,PSC,Norte,BARCARENA
150140,Não,Masculino,52, superior cpt.,PSDB,Norte,BELEM
150145,Não,Feminino,40,Pós-graduação,PT,Norte,BELTERRA
150150,Não,Masculino,32, superior cpt.,PMDB,Norte,BENEVIDES
150157,Sim,Masculino,43,Pós-graduação,PT,Norte,BOM JESUS DO TOCANTINS
150160,Não,Masculino,44, médio cpt.,PR,Norte,BONITO
150170,Não,Masculino,38, superior incpt.,PT,Norte,BRAGANCA
150172,Não,Feminino,39, médio cpt.,PSB,Norte,BRASIL NOVO
150175,Não,Masculino,28, superior cpt.,DEM,Norte,BREJO GRANDE DO ARAGUAIA
150178,Não,Masculino,39, superior cpt.,PSDB,Norte,BREU BRANCO
150180,Sim,Masculino,49, médio cpt.,PMDB,Norte,BREVES
150190,Sim,Masculino,54, fundamental incpt.,PT,Norte,BUJARU
150195,Não,Feminino,46, médio cpt.,PMDB,Norte,CACHOEIRA DO PIRIA
150200,Não,Masculino,44, médio incpt.,PSD,Norte,CACHOEIRA DO ARARI
150210,Não,Masculino,46, superior incpt.,PT,Norte,CAMETA
150215,Não,Masculino,51, médio cpt.,PMDB,Norte,CANAA DOS CARAJAS
150220,Sim,Masculino,46, médio cpt.,PR,Norte,CAPANEMA
150230,Sim,Feminino,31, superior incpt.,PP,Norte,CAPITAO POCO
150240,Não,Masculino,70, superior cpt.,PMDB,Norte,CASTANHAL
150250,Não,Feminino,48, superior cpt.,PMDB,Norte,CHAVES
150260,Não,Masculino,30,Pós-graduação,PSD,Norte,COLARES
150270,Não,Masculino,56, médio cpt.,PT,Norte,CONCEICAO DO ARAGUAIA
150275,Não,Masculino,55, médio incpt.,PSDB,Norte,CONCORDIA DO PARA
150276,Não,Feminino,61, superior cpt.,PMDB,Norte,CUMARU DO NORTE
150277,Sim,Masculino,38, superior incpt.,PMDB,Norte,CURIONOPOLIS
150280,Não,Masculino,44, médio cpt.,PT,Norte,CURRALINHO
150285,Não,Feminino,31,Pós-graduação,PSDB,Norte,CURUA
150290,Não,Feminino,40, superior cpt.,PSDB,Norte,CURUCA
150293,Sim,Masculino,50, fundamental cpt.,PMDB,Norte,DOM ELISEU
150295,Não,Masculino,54, médio cpt.,PPS,Norte,ELDORADO DOS CARAJAS
150300,Não,Feminino,38, superior cpt.,PMDB,Norte,FARO
150304,Sim,Masculino,49, fundamental cpt.,PSC,Norte,FLORESTA DO ARAGUAIA
150307,Sim,Masculino,57, fundamental cpt.,PMDB,Norte,GARRAFAO DO NORTE
150309,Não,Masculino,60, médio cpt.,PP,Norte,GOIANESIA DO PARA
150310,Não,Masculino,54, superior incpt.,PT,Norte,GURUPA
150320,Sim,Feminino,44, superior cpt.,PR,Norte,IGARAPE-ACU
150330,Não,Masculino,40, fundamental incpt.,DEM,Norte,IGARAPE-MIRI
150340,Não,Masculino,64, médio cpt.,PR,Norte,INHANGAPI
150345,Não,Masculino,53, médio cpt.,PT,Norte,IPIXUNA DO PARA
150350,Não,Masculino,36, superior cpt.,PSDB,Norte,IRITUIA
150360,Não,Feminino,43,Pós-graduação,PSD,Norte,ITAITUBA
150370,Sim,Masculino,62, superior cpt.,PT,Norte,ITUPIRANGA
150375,Sim,Masculino,51, médio cpt.,PT,Norte,JACAREACANGA
150380,Sim,Masculino,54, médio cpt.,PT,Norte,JACUNDA
150390,Não,Masculino,51, superior cpt.,PSD,Norte,JURUTI
150400,Não,Masculino,50, superior cpt.,PSD,Norte,LIMOEIRO DO AJURU
150405,Não,Masculino,41, médio cpt.,PT,Norte,MAE DO RIO
150410,Não,Masculino,47, superior cpt.,PSDB,Norte,MAGALHAES BARATA
150420,Não,Masculino,51, superior cpt.,PPS,Norte,MARABA
150430,Não,Feminino,58,Pós-graduação,PSDB,Norte,MARACANA
150440,Sim,Masculino,61, médio cpt.,PMDB,Norte,MARAPANIM
150442,Não,Feminino,45, superior cpt.,PMDB,Norte,MARITUBA
150445,Não,Masculino,50, fundamental cpt.,PT,Norte,MEDICILANDIA
150450,Sim,Masculino,50, fundamental incpt.,PP,Norte,MELGACO
150460,Sim,Masculino,48, superior cpt.,PR,Norte,MOCAJUBA
150470,Não,Masculino,49, superior cpt.,PSDB,Norte,MOJU
150475,Não,Masculino,45, médio cpt.,PSDB,Norte,MOJUI DOS CAMPOS
150480,Não,Masculino,51,Pós-graduação,PT,Norte,MONTE ALEGRE
150490,Não,Masculino,41,Pós-graduação,PR,Norte,MUANA
150495,Não,Feminino,72, fundamental cpt.,PSDB,Norte,NOVA ESPERANCA DO PIRIA
150497,Não,Masculino,53, médio cpt.,PTB,Norte,NOVA IPIXUNA
150500,Sim,Masculino,54, fundamental incpt.,PTB,Norte,NOVA TIMBOTEUA
150503,Não,Masculino,49, fundamental cpt.,PR,Norte,NOVO PROGRESSO
150506,Sim,Feminino,63, médio cpt.,PR,Norte,NOVO REPARTIMENTO
150510,Não,Masculino,51, superior cpt.,PMDB,Norte,OBIDOS
150520,Não,Masculino,38, superior cpt.,PMN,Norte,OEIRAS DO PARA
150530,Sim,Masculino,66, médio incpt.,PV,Norte,ORIXIMINA
150540,Não,Masculino,45, médio cpt.,DEM,Norte,OUREM
150543,Não,Masculino,43, médio cpt.,PSC,Norte,OURILANDIA DO NORTE
150548,Não,Masculino,45, médio incpt.,PSB,Norte,PACAJA
150549,Sim,Feminino,48, médio cpt.,PSDB,Norte,PALESTINA DO PARA
150550,Não,Masculino,48, superior incpt.,PSDB,Norte,PARAGOMINAS
150553,Não,Masculino,65, superior cpt.,PSD,Norte,PARAUAPEBAS
150555,Não,Masculino,49, superior incpt.,PMDB,Norte,PAU D'ARCO
150560,Não,Masculino,47, médio cpt.,PMDB,Norte,PEIXE-BOI
150563,Não,Masculino,30, superior cpt.,PMDB,Norte,PICARRA
150565,Não,Masculino,57, médio cpt.,DEM,Norte,PLACAS
150570,Não,Feminino,46, superior cpt.,PSDB,Norte,PONTA DE PEDRAS
150580,Não,Masculino,39, superior cpt.,PP,Norte,PORTEL
150590,Não,Masculino,51, superior cpt.,PSDB,Norte,PORTO DE MOZ
150600,Não,Feminino,45, superior cpt.,PSDB,Norte,PRAINHA
150610,Sim,Feminino,35, superior cpt.,PSDB,Norte,PRIMAVERA
150611,Não,Masculino,25, superior cpt.,PDT,Norte,QUATIPURU
150613,Não,Masculino,29, médio cpt.,PRP,Norte,REDENCAO
150616,Sim,Masculino,50, médio cpt.,PSB,Norte,RIO MARIA
150618,Sim,Feminino,50, superior cpt.,PSDB,Norte,RONDON DO PARA
150619,Não,Masculino,26, superior cpt.,PSDB,Norte,RUROPOLIS
150620,Não,Masculino,47, superior cpt.,PSDB,Norte,SALINOPOLIS
150630,Não,Masculino,46, superior cpt.,PSDB,Norte,SALVATERRA
150635,Sim,Masculino,51, superior cpt.,PSD,Norte,SANTA BARBARA DO PARA
150640,Sim,Masculino,49, médio cpt.,PT,Norte,SANTA CRUZ DO ARARI
150650,Não,Masculino,66, superior cpt.,PSD,Norte,SANTA ISABEL DO PARA
150655,Não,Masculino,47, superior cpt.,PR,Norte,SANTA LUZIA DO PARA
150658,Não,Masculino,50, médio cpt.,PMDB,Norte,SANTA MARIA DAS BARREIRAS
150660,Não,Masculino,40, médio cpt.,PR,Norte,SANTA MARIA DO PARA
150670,Não,Masculino,37, fundamental cpt.,PMDB,Norte,SANTANA DO ARAGUAIA
150680,Não,Masculino,48,Pós-graduação,PSDB,Norte,SANTAREM
150690,Sim,Masculino,63, superior incpt.,PMDB,Norte,SANTAREM NOVO
150700,Não,Masculino,44, superior cpt.,PHS,Norte,SANTO ANTONIO DO TAUA
150710,Não,Masculino,55, médio cpt.,PSDB,Norte,SAO CAETANO DE ODIVELAS
150715,Não,Masculino,51, médio cpt.,PPS,Norte,SAO DOMINGOS DO ARAGUAIA
150720,Não,Masculino,49, fundamental incpt.,PSDB,Norte,SAO DOMINGOS DO CAPIM
150730,Não,Masculino,52, médio cpt.,PPS,Norte,SAO FELIX DO XINGU
150740,Não,Masculino,35, superior cpt.,PSDB,Norte,SAO FRANCISCO DO PARA
150745,Sim,Masculino,55, médio incpt.,PMDB,Norte,SAO GERALDO DO ARAGUAIA
150746,Sim,Masculino,51, médio cpt.,PT,Norte,SAO JOAO DA PONTA
150747,Sim,Masculino,45, médio cpt.,PMDB,Norte,SAO JOAO DE PIRABAS
150750,Não,Masculino,51, médio cpt.,PTB,Norte,SAO JOAO DO ARAGUAIA
150760,Não,Masculino,55, superior cpt.,PPS,Norte,SAO MIGUEL DO GUAMA
150770,Sim,Masculino,63, fundamental cpt.,PT,Norte,SAO SEBASTIAO DA BOA VISTA
150775,Não,Masculino,42, médio cpt.,PSDB,Norte,SAPUCAIA
150780,Não,Masculino,66, médio cpt.,PR,Norte,SENADOR JOSE PORFIRIO
150790,Sim,Masculino,60, superior cpt.,PT,Norte,SOURE
150795,Não,Masculino,47, médio cpt.,PSD,Norte,TAILANDIA
150796,Não,Masculino,49, médio incpt.,PR,Norte,TERRA ALTA
150797,Sim,Masculino,40, médio incpt.,PSD,Norte,TERRA SANTA
150800,Não,Masculino,26, superior cpt.,PT,Norte,TOME-ACU
150803,Não,Masculino,32, superior cpt.,PSDB,Norte,TRACUATEUA
150805,Sim,Masculino,49, superior incpt.,PMDB,Norte,TRAIRAO
150808,Não,Masculino,42, médio cpt.,PMDB,Norte,TUCUMA
150810,Sim,Masculino,52,Pós-graduação,PPS,Norte,TUCURUI
150812,Não,Masculino,62, médio cpt.,PTB,Norte,ULIANOPOLIS
150815,Não,Masculino,36, médio cpt.,PDT,Norte,URUARA
150820,Não,Masculino,32, superior cpt.,PMDB,Norte,VIGIA
150830,Sim,Masculino,31, médio incpt.,PR,Norte,VISEU
150835,Sim,Masculino,42, superior incpt.,PSB,Norte,VITORIA DO XINGU
150840,Não,Masculino,60, médio cpt.,PMDB,Norte,XINGUARA
160005,Não,Masculino,Ignorada, médio cpt.,PSB,Norte,SERRA DO NAVIO
160010,Não,Masculino,61,Pós-graduação,PRB,Norte,AMAPA
160015,Não,Masculino,35, médio cpt.,PR,Norte,PEDRA BRANCA DO AMAPARI
160020,Sim,Feminino,52, médio cpt.,PMDB,Norte,CALCOENE
160021,Não,Feminino,40, médio cpt.,PSL,Norte,CUTIAS
160023,Não,Masculino,44, superior cpt.,PMDB,Norte,FERREIRA GOMES
160025,Não,Feminino,49, fundamental cpt.,PSB,Norte,ITAUBAL
160027,Não,Masculino,44, superior incpt.,PP,Norte,LARANJAL DO JARI
160030,Não,Masculino,41,Pós-graduação,PSOL,Norte,MACAPA
160040,Não,Masculino,52, superior incpt.,PMDB,Norte,MAZAGAO
160050,Não,Masculino,56, médio cpt.,PSB,Norte,OIAPOQUE
160053,Não,Masculino,50, médio cpt.,PC do B,Norte,PORTO GRANDE
160055,Não,Masculino,44,Pós-graduação,PT,Norte,PRACUUBA
160060,Não,Masculino,35, superior incpt.,PTB,Norte,SANTANA
160070,Não,Masculino,56, superior incpt.,PMDB,Norte,TARTARUGALZINHO
160080,Não,Masculino,35, médio cpt.,PT,Norte,VITORIA DO JARI
170025,Não,Masculino,42, superior incpt.,PSB,Norte,ABREULANDIA
170030,Não,Masculino,38, médio cpt.,PT,Norte,AGUIARNOPOLIS
170035,Sim,Masculino,46, superior cpt.,PT,Norte,ALIANCA DO TOCANTINS
170040,Sim,Masculino,26, superior cpt.,PSDB,Norte,ALMAS
170070,Não,Masculino,52, superior cpt.,PMDB,Norte,ALVORADA
170100,Não,Masculino,56, superior incpt.,PSDB,Norte,ANANAS
170105,Não,Masculino,47, fundamental incpt.,PP,Norte,ANGICO
170110,Não,Masculino,48, superior cpt.,PSDB,Norte,APARECIDA DO RIO NEGRO
170130,Não,Masculino,73, médio cpt.,PP,Norte,ARAGOMINAS
170190,Não,Feminino,34, superior cpt.,PMDB,Norte,ARAGUACEMA
170200,Não,Masculino,52, médio incpt.,PSDB,Norte,ARAGUACU
170210,Não,Masculino,52, superior cpt.,PR,Norte,ARAGUAINA
170215,Não,Masculino,46,Pós-graduação,PT do B,Norte,ARAGUANA
170220,Não,Masculino,72, fundamental incpt.,PSB,Norte,ARAGUATINS
170230,Não,Masculino,50, médio cpt.,PT,Norte,ARAPOEMA
170240,Não,Masculino,59, médio cpt.,PP,Norte,ARRAIAS
170255,Não,Feminino,58, médio cpt.,DEM,Norte,AUGUSTINOPOLIS
170270,Não,Masculino,50, superior incpt.,PTB,Norte,AURORA DO TOCANTINS
170290,Não,Masculino,40, superior cpt.,PSD,Norte,AXIXA DO TOCANTINS
170300,Não,Masculino,38,Pós-graduação,PSB,Norte,BABACULANDIA
170305,Sim,Feminino,61, médio cpt.,PR,Norte,BANDEIRANTES DO TOCANTINS
170307,Sim,Masculino,39,Pós-graduação,PMDB,Norte,BARRA DO OURO
170310,Sim,Feminino,39, superior cpt.,DEM,Norte,BARROLANDIA
170320,Não,Masculino,62, médio cpt.,PSDB,Norte,BERNARDO SAYAO
170330,Não,Feminino,49, superior cpt.,PSDB,Norte,BOM JESUS DO TOCANTINS
170360,Sim,Masculino,53, superior cpt.,PSD,Norte,BRASILANDIA DO TOCANTINS
170370,Sim,Masculino,56, fundamental cpt.,PSOL,Norte,BREJINHO DE NAZARE
170380,Não,Feminino,38,Pós-graduação,PSB,Norte,BURITI DO TOCANTINS
170382,Não,Masculino,31, médio cpt.,PSB,Norte,CACHOEIRINHA
170384,Não,Masculino,49, fundamental cpt.,PSD,Norte,CAMPOS LINDOS
170386,Não,Masculino,59, fundamental incpt.,PPS,Norte,CARIRI DO TOCANTINS
170388,Não,Masculino,40, superior cpt.,PSB,Norte,CARMOLANDIA
170389,Não,Masculino,37, superior cpt.,PR,Norte,CARRASCO BONITO
170390,Não,Masculino,41, superior cpt.,DEM,Norte,CASEARA
170410,Não,Masculino,51, fundamental cpt.,PSDB,Norte,CENTENARIO
170460,Sim,Masculino,49, superior incpt.,PR,Norte,CHAPADA DE AREIA
170510,Sim,Masculino,47, médio cpt.,PSD,Norte,CHAPADA DA NATIVIDADE
170550,Sim,Masculino,48, fundamental cpt.,PT,Norte,COLINAS DO TOCANTINS
170555,Não,Feminino,56, médio cpt.,PSDB,Norte,COMBINADO
170560,Não,Masculino,44, médio cpt.,PMDB,Norte,CONCEICAO DO TOCANTINS
170600,Não,Masculino,34, superior cpt.,PT,Norte,COUTO MAGALHAES
170610,Não,Masculino,46, superior incpt.,PP,Norte,CRISTALANDIA
170625,Não,Masculino,26, médio cpt.,PSD,Norte,CRIXAS DO TOCANTINS
170650,Não,Masculino,48, médio cpt.,PR,Norte,DARCINOPOLIS
170700,Não,Masculino,47, superior cpt.,PSC,Norte,DIANOPOLIS
170710,Não,Masculino,34, superior cpt.,PRP,Norte,DIVINOPOLIS DO TOCANTINS
