cod,2012,sexo,idade,escolaridade,partido,regiao,cidade
352560,Não,Masculino,34, médio cpt.,PMDB,Sudeste,JOAO RAMALHO
352570,Não,Masculino,34, superior cpt.,PT,Sudeste,JOSE BONIFACIO
352580,Sim,Masculino,47, superior cpt.,DEM,Sudeste,JULIO MESQUITA
352585,Não,Masculino,42, médio cpt.,PTB,Sudeste,JUMIRIM
352590,Não,Masculino,53, superior cpt.,PC do B,Sudeste,JUNDIAI
352600,Não,Masculino,58, superior cpt.,PSDB,Sudeste,JUNQUEIROPOLIS
352610,Sim,Feminino,63, fundamental incpt.,PTB,Sudeste,JUQUIA
352620,Não,Masculino,36, superior cpt.,PPS,Sudeste,JUQUITIBA
352630,Não,Masculino,69, superior cpt.,PSDB,Sudeste,LAGOINHA
352640,Sim,Masculino,49, médio cpt.,PT,Sudeste,LARANJAL PAULISTA
352650,Não,Masculino,63, médio cpt.,PSDB,Sudeste,LAVINIA
352660,Sim,Masculino,56, superior incpt.,PSDB,Sudeste,LAVRINHAS
352670,Não,Masculino,48, superior incpt.,PT,Sudeste,LEME
352680,Sim,Feminino,61, superior cpt.,PSDB,Sudeste,LENCOIS PAULISTA
352690,Não,Masculino,47, superior cpt.,PSB,Sudeste,LIMEIRA
352700,Não,Masculino,62, superior cpt.,PMDB,Sudeste,LINDOIA
352710,Não,Masculino,34, superior cpt.,PSDB,Sudeste,LINS
352720,Não,Masculino,53, superior incpt.,PSDB,Sudeste,LORENA
352725,Não,Masculino,65, fundamental incpt.,PSDB,Sudeste,LOURDES
352730,Não,Masculino,52, superior cpt.,PTB,Sudeste,LOUVEIRA
352740,Não,Masculino,57, superior cpt.,PSDB,Sudeste,LUCELIA
352750,Não,Masculino,33, superior cpt.,PP,Sudeste,LUCIANOPOLIS
352760,Não,Masculino,50, médio cpt.,PMDB,Sudeste,LUIS ANTONIO
352770,Sim,Masculino,43, médio cpt.,PV,Sudeste,LUIZIANIA
352780,Sim,Masculino,41, superior cpt.,PSDB,Sudeste,LUPERCIO
352790,Não,Masculino,50, médio cpt.,PV,Sudeste,LUTECIA
352800,Não,Masculino,35,Pós-graduação,PP,Sudeste,MACATUBA
352810,Não,Masculino,52, fundamental cpt.,PRB,Sudeste,MACAUBAL
352820,Não,Feminino,49, médio cpt.,PTB,Sudeste,MACEDONIA
352830,Sim,Masculino,71, fundamental incpt.,PTB,Sudeste,MAGDA
352840,Não,Masculino,51, superior cpt.,PMDB,Sudeste,MAIRINQUE
352850,Não,Masculino,50,Pós-graduação,PV,Sudeste,MAIRIPORA
352860,Não,Masculino,55, médio cpt.,PMDB,Sudeste,MANDURI
352870,Não,Masculino,43, superior cpt.,PMDB,Sudeste,MARABA PAULISTA
352880,Não,Masculino,29,Pós-graduação,PSD,Sudeste,MARACAI
352885,Sim,Masculino,57, médio cpt.,PSDB,Sudeste,MARAPOAMA
352890,Sim,Masculino,46, médio cpt.,PMDB,Sudeste,MARIAPOLIS
352900,Não,Masculino,35,Pós-graduação,PSB,Sudeste,MARILIA
352910,Não,Masculino,55, superior cpt.,PV,Sudeste,MARINOPOLIS
352920,Não,Masculino,32, médio cpt.,DEM,Sudeste,MARTINOPOLIS
352930,Não,Masculino,67, superior cpt.,PT,Sudeste,MATAO
352940,Não,Masculino,46, superior cpt.,PT,Sudeste,MAUA
352950,Não,Masculino,67, fundamental cpt.,PP,Sudeste,MENDONCA
352960,Não,Masculino,59, superior cpt.,PSDB,Sudeste,MERIDIANO
352965,Não,Masculino,40, médio cpt.,PSDB,Sudeste,MESOPOLIS
352970,Não,Masculino,41,Pós-graduação,PV,Sudeste,MIGUELOPOLIS
352980,Não,Masculino,59, superior incpt.,PSDB,Sudeste,MINEIROS DO TIETE
352990,Sim,Masculino,47, superior cpt.,PSB,Sudeste,MIRACATU
353000,Não,Masculino,54, superior cpt.,PR,Sudeste,MIRA ESTRELA
353010,Não,Masculino,43, superior cpt.,PP,Sudeste,MIRANDOPOLIS
353020,Não,Masculino,48, superior cpt.,PTB,Sudeste,MIRANTE DO PARANAPANEMA
353030,Sim,Masculino,52,Pós-graduação,PDT,Sudeste,MIRASSOL
353040,Não,Feminino,64, superior cpt.,PC do B,Sudeste,MIRASSOLANDIA
353050,Não,Feminino,60, superior cpt.,PSD,Sudeste,MOCOCA
353060,Sim,Masculino,45,Pós-graduação,PSD,Sudeste,MOGI DAS CRUZES
353070,Não,Masculino,64,Pós-graduação,PTB,Sudeste,MOGI GUACU
353080,Não,Masculino,29, superior incpt.,PDT,Sudeste,MOJI MIRIM
353090,Não,Feminino,54, fundamental cpt.,PR,Sudeste,MOMBUCA
353100,Não,Masculino,34, superior cpt.,PMDB,Sudeste,MONCOES
353110,Não,Masculino,67, superior cpt.,PSDB,Sudeste,MONGAGUA
353120,Sim,Masculino,53, superior incpt.,PC do B,Sudeste,MONTE ALEGRE DO SUL
353130,Sim,Feminino,44, superior cpt.,PTB,Sudeste,MONTE ALTO
353140,Não,Masculino,45, médio cpt.,PSB,Sudeste,MONTE APRAZIVEL
353150,Não,Masculino,60, superior cpt.,PSDB,Sudeste,MONTE AZUL PAULISTA
353160,Sim,Masculino,47, fundamental incpt.,PT,Sudeste,MONTE CASTELO
353170,Não,Feminino,34, superior cpt.,PSB,Sudeste,MONTEIRO LOBATO
353180,Não,Masculino,38, superior cpt.,PMDB,Sudeste,MONTE MOR
353190,Não,Masculino,54, superior cpt.,PTB,Sudeste,MORRO AGUDO
353200,Sim,Masculino,48, superior incpt.,PV,Sudeste,MORUNGABA
353205,Não,Masculino,45, superior cpt.,PMDB,Sudeste,MOTUCA
353210,Não,Masculino,49, superior cpt.,PTB,Sudeste,MURUTINGA DO SUL
353215,Sim,Masculino,51, superior cpt.,PSDB,Sudeste,NANTES
353220,Sim,Masculino,46,Pós-graduação,PSDB,Sudeste,NARANDIBA
353230,Não,Masculino,54, superior cpt.,PSDB,Sudeste,NATIVIDADE DA SERRA
353240,Não,Masculino,51, superior cpt.,PT,Sudeste,NAZARE PAULISTA
353250,Não,Masculino,49, superior cpt.,DEM,Sudeste,NEVES PAULISTA
353260,Sim,Masculino,59, superior cpt.,PSB,Sudeste,NHANDEARA
353270,Não,Masculino,48, fundamental incpt.,PP,Sudeste,NIPOA
353280,Não,Masculino,57, médio cpt.,PSDB,Sudeste,NOVA ALIANCA
353282,Não,Masculino,32, médio cpt.,PSDB,Sudeste,NOVA CAMPINA
353284,Sim,Masculino,42, superior cpt.,DEM,Sudeste,NOVA CANAA PAULISTA
353286,Não,Masculino,50, médio cpt.,PSDB,Sudeste,NOVA CASTILHO
353290,Não,Masculino,68, médio cpt.,PPS,Sudeste,NOVA EUROPA
353300,Não,Feminino,51, superior cpt.,PSD,Sudeste,NOVA GRANADA
353310,Não,Masculino,53, superior incpt.,PPS,Sudeste,NOVA GUATAPORANGA
353320,Não,Feminino,48,Pós-graduação,PSDB,Sudeste,NOVA INDEPENDENCIA
353325,Não,Feminino,50,Pós-graduação,PSDB,Sudeste,NOVAIS
353330,Sim,Masculino,37, superior cpt.,PSDB,Sudeste,NOVA LUZITANIA
353340,Não,Masculino,41,Pós-graduação,PSDB,Sudeste,NOVA ODESSA
353350,Não,Masculino,63,Pós-graduação,PPS,Sudeste,NOVO HORIZONTE
353360,Não,Masculino,34,Pós-graduação,PMDB,Sudeste,NUPORANGA
353370,Não,Feminino,42, superior cpt.,PSDB,Sudeste,OCAUCU
353380,Sim,Masculino,54, superior cpt.,PSD,Sudeste,OLEO
353390,Sim,Masculino,37, superior cpt.,DEM,Sudeste,OLIMPIA
353400,Não,Masculino,31, superior cpt.,PTB,Sudeste,ONDA VERDE
353410,Não,Masculino,34, superior cpt.,PSD,Sudeste,ORIENTE
353420,Não,Masculino,56, médio cpt.,PMDB,Sudeste,ORINDIUVA
353430,Não,Feminino,46,Pós-graduação,PSB,Sudeste,ORLANDIA
353440,Não,Masculino,52, superior cpt.,PT,Sudeste,OSASCO
353450,Sim,Masculino,45, superior cpt.,PSDB,Sudeste,OSCAR BRESSANE
353460,Não,Masculino,44, superior incpt.,PSDB,Sudeste,OSVALDO CRUZ
353470,Não,Feminino,55, superior cpt.,PMDB,Sudeste,OURINHOS
353475,Sim,Masculino,59, fundamental incpt.,PTB,Sudeste,OUROESTE
353480,Sim,Masculino,57, médio cpt.,DEM,Sudeste,OURO VERDE
353490,Não,Masculino,42, médio cpt.,PP,Sudeste,PACAEMBU
353500,Sim,Masculino,53, superior incpt.,PP,Sudeste,PALESTINA
353510,Não,Masculino,28, superior cpt.,DEM,Sudeste,PALMARES PAULISTA
353520,Não,Masculino,38, superior cpt.,PSDB,Sudeste,PALMEIRA D'OESTE
353530,Não,Feminino,58,Pós-graduação,PSDB,Sudeste,PALMITAL
353540,Não,Masculino,60, fundamental incpt.,PPS,Sudeste,PANORAMA
353550,Sim,Masculino,60, superior cpt.,PP,Sudeste,PARAGUACU PAULISTA
353560,Sim,Masculino,50, superior cpt.,DEM,Sudeste,PARAIBUNA
353570,Não,Feminino,36, superior cpt.,PT,Sudeste,PARAISO
353580,Não,Masculino,67,Pós-graduação,PV,Sudeste,PARANAPANEMA
353590,Sim,Masculino,64, superior cpt.,PSB,Sudeste,PARANAPUA
353600,Sim,Masculino,43, superior cpt.,PP,Sudeste,PARAPUA
353610,Não,Masculino,71, médio incpt.,PSDB,Sudeste,PARDINHO
353620,Não,Masculino,50, médio cpt.,PSC,Sudeste,PARIQUERA-ACU
353625,Não,Masculino,55, superior cpt.,PSDB,Sudeste,PARISI
353630,Não,Masculino,41, superior cpt.,PT,Sudeste,PATROCINIO PAULISTA
353640,Não,Masculino,45, superior cpt.,PV,Sudeste,PAULICEIA
353650,Não,Masculino,36, superior cpt.,PMDB,Sudeste,PAULINIA
353657,Não,Masculino,78, superior cpt.,PR,Sudeste,PAULISTANIA
353660,Sim,Feminino,59, superior cpt.,PDT,Sudeste,PAULO DE FARIA
353670,Não,Masculino,31,Pós-graduação,PSB,Sudeste,PEDERNEIRAS
353680,Não,Feminino,45, médio cpt.,DEM,Sudeste,PEDRA BELA
353690,Sim,Masculino,47, médio cpt.,PSDB,Sudeste,PEDRANOPOLIS
353700,Não,Masculino,43, superior cpt.,PMDB,Sudeste,PEDREGULHO
353710,Não,Masculino,51, superior cpt.,PT,Sudeste,PEDREIRA
353715,Não,Masculino,49, médio cpt.,PTB,Sudeste,PEDRINHAS PAULISTA
353720,Sim,Masculino,56, médio cpt.,PSB,Sudeste,PEDRO DE TOLEDO
353730,Não,Masculino,47, superior cpt.,PSD,Sudeste,PENAPOLIS
353740,Sim,Masculino,56, superior cpt.,PSDB,Sudeste,PEREIRA BARRETO
353750,Não,Masculino,61, superior cpt.,DEM,Sudeste,PEREIRAS
353760,Não,Feminino,41, superior cpt.,PTB,Sudeste,PERUIBE
353770,Sim,Masculino,47, médio cpt.,PTB,Sudeste,PIACATU
353780,Não,Feminino,57,Pós-graduação,PSDB,Sudeste,PIEDADE
353790,Não,Feminino,55, superior cpt.,PSDB,Sudeste,PILAR DO SUL
353800,Não,Masculino,73, superior cpt.,PSDB,Sudeste,PINDAMONHANGABA
353810,Não,Masculino,56, superior cpt.,DEM,Sudeste,PINDORAMA
353820,Não,Masculino,44, superior cpt.,PV,Sudeste,PINHALZINHO
353830,Não,Masculino,52, médio incpt.,PMDB,Sudeste,PIQUEROBI
353850,Não,Feminino,64,Pós-graduação,PT,Sudeste,PIQUETE
353860,Não,Feminino,62, superior cpt.,PSDB,Sudeste,PIRACAIA
353870,Não,Masculino,62,Pós-graduação,PSDB,Sudeste,PIRACICABA
353880,Não,Masculino,42, superior cpt.,PMDB,Sudeste,PIRAJU
353890,Não,Feminino,37, superior cpt.,PR,Sudeste,PIRAJUI
353900,Não,Masculino,33, superior incpt.,PT,Sudeste,PIRANGI
353910,Não,Masculino,34, superior cpt.,PMDB,Sudeste,PIRAPORA DO BOM JESUS
353920,Não,Masculino,62, superior cpt.,DEM,Sudeste,PIRAPOZINHO
353930,Não,Feminino,41, superior cpt.,PDT,Sudeste,PIRASSUNUNGA
