cod,cod2,nome,UF,plan,legis,saude,meioamb,polgen,pop,ida,sexo,idade,escolaridade,partido,regiao,ESPVIDA1991,MORT1991,ESPVIDA2000,MORT12000,ESPVIDA2010,MORT12010,IDH1991,IDH2000,IDH2010,GINI1991,GINI2000,GINI2010,Renda1991,Renda2000,Renda2010
589,290340,BELMONTE,SC,-1,12,5,-5,-6,23471,5,Feminino,53,superior cpt.,PP,Nordeste,64.46,27.78,70.68,26.4,74.17,14.8,515,654,748,0.56,0.59,0.5,143.84,231.77,289.9
590,420215,BELMONTE,BA,10,-3,9,-2,-8,2692,6,Masculino,44,Pós-graduação,PSD,Sul,63.51,54.44,64.87,42.75,70.59,25.6,514,654,748,0.49,0.51,0.45,163.68,299.75,620.67
591,290350,BELO CAMPO,MG,-2,-3,3,2,-6,18539,-6,Masculino,62,médio cpt.,PSD,Nordeste,66.73,30.03,72.03,22.86,76.37,12.95,514,654,748,0.51,0.52,0.49,126.25,198.83,263.52
592,310620,BELO HORIZONTE,PE,1,10,3,20,13,2479175,47,Masculino,67,superior cpt.,PSB,Sudeste,58.14,69.7,64.12,62.1,71.95,21.4,618,741,0.81,0.45,0.51,0.43,125.8,163.3,259.03
593,260170,BELO JARDIM,AL,-2,8,9,9,44,74902,68,Masculino,45,superior cpt.,PSD,Nordeste,58.96,90.8,62.75,52.4,68.49,34.5,514,654,748,0.52,0.55,0.51,169.6,235.46,372.93
594,270090,BELO MONTE,MG,-2,-3,3,-4,-6,6751,-12,Masculino,50,superior cpt.,PP,Nordeste,67.84,51.03,67.66,36.23,73.77,17.3,514,654,748,0.42,0.56,0.65,81.56,108.35,187.77
595,310630,BELO ORIENTE,MG,2,4,3,2,-6,25026,5,Masculino,49,superior incpt.,PDT,Sudeste,66.3,37.42,70.41,27.44,73.86,17.1,514,654,748,0.47,0.49,0.42,177.29,276,470.05
596,310640,BELO VALE,PA,4,-6,5,7,-8,7789,2,Masculino,53,médio cpt.,PMDB,Sudeste,61.26,60.59,65.36,43.48,71.51,22.5,514,654,748,0.47,0.5,0.46,177.64,311.87,524.03
597,150145,BELTERRA,PI,-2,6,7,2,-4,16808,9,Feminino,40,Pós-graduação,PT,Norte,64.07,59.03,65.3,41.27,71.82,22.6,514,654,748,0.52,0.64,0.58,126,121.84,241.57
598,220160,BENEDITINOS,MA,8,6,3,-6,-6,10014,5,Masculino,55,Pós-graduação,PSDB,Nordeste,58.4,78.45,62.02,53.25,68.14,35.6,514,653,748,0.54,0.58,0.55,78.34,154.26,263.09
599,210180,BENEDITO LEITE,SC,4,-1,3,-6,-13,5510,-13,Masculino,37,superior cpt.,PMDB,Nordeste,70.93,24.36,73.7,19.8,77.08,10.8,514,653,747,0.49,0.54,0.58,95.02,141.05,217.65
600,420220,BENEDITO NOVO,PA,-2,4,9,-5,-33,10906,-27,Masculino,56,fundamental cpt.,PMDB,Sul,60.51,64.01,66.46,39.45,72.9,18.9,517,656,0.75,0.42,0.5,0.49,68.77,167.44,287.6
601,150150,BENEVIDES,AM,-2,-2,9,-6,-8,56112,-9,Masculino,32,superior cpt.,PMDB,Norte,62.31,53.88,65.71,44.48,70.78,23.2,514,653,747,0.54,0.56,0.48,148.75,279.63,385.83
602,130060,BENJAMIN CONSTANT,RS,10,-1,3,-4,-25,37564,-17,Feminino,58,médio cpt.,PSD,Norte,68.91,34.02,69.6,23.6,73.03,15.6,514,653,747,0.73,0.61,0.56,98.76,141.53,211.1
603,430205,BENJAMIN CONSTANT DO SUL,SP,-2,-7,5,8,-6,2305,-2,Masculino,41,médio cpt.,PT,Sul,63.13,31.11,72.74,18.3,74.17,16,514,653,747,0.62,0.53,0.48,111.09,223.36,336.44
604,350620,BENTO DE ABREU,RN,-1,-3,7,3,-6,2831,0,Masculino,48,médio cpt.,PTB,Sudeste,59.39,78.63,61.53,64.69,69.22,29.1,0.54,673,763,0.55,0.54,0.72,92.78,129.69,210.09
605,240160,BENTO FERNANDES,RS,-2,-9,3,-5,-8,5385,-21,Masculino,59,superior cpt.,PP,Nordeste,69.87,15.92,74.99,13.9,75.52,12.1,513,653,747,0.51,0.61,0.47,76.87,104.66,233.48
606,430210,BENTO GONCALVES,MA,-2,10,5,6,16,111384,35,Masculino,30,Pós-graduação,PP,Sul,55.23,96.78,62.08,53.01,70.42,28,612,0.74,809,0.53,0.47,0.49,179.82,258.99,410.61
607,210190,BEQUIMAO,MG,-2,-5,3,-7,-6,20821,-17,Masculino,52,superior cpt.,PMDB,Nordeste,68.18,32.72,70.72,26.52,73.97,17,513,653,747,0.5,0.62,0.55,68.88,99.59,190.84
608,310650,BERILO,MG,-2,-5,7,-3,-6,12508,-9,Masculino,33,superior cpt.,PSDB,Sudeste,67.84,55.03,65.91,42.48,70.41,23.4,513,653,747,0.55,0.5,0.45,190.59,182.6,295.62
609,310665,BERIZAL,PB,-2,-7,7,-7,-6,4597,-15,Masculino,49,fundamental cpt.,PR,Sudeste,61.44,76.16,60.2,60.68,67.96,34,513,653,747,0.44,0.52,0.41,107,123.32,261.24
610,250205,BERNARDINO BATISTA,SP,-2,-7,5,-4,-14,3266,-22,Masculino,42,médio cpt.,PMDB,Nordeste,62.57,33.11,71.99,19.7,75.26,14.3,513,653,747,0.49,0.64,0.55,43.96,133.24,211.04
611,350630,BERNARDINO DE CAMPOS,MA,-1,-1,1,1,-6,11133,-6,Masculino,48,superior cpt.,PPS,Sudeste,55.56,94.76,62.48,51.47,69.49,31,513,653,747,0.51,0.53,0.45,410.75,554.67,676.6
612,210193,BERNARDO DO MEARIM,TO,0,-4,5,-3,-8,6176,-10,Feminino,39,Pós-graduação,PMDB,Nordeste,61.44,57.33,64.73,44.62,69.9,26.9,513,652,747,0.36,0.46,0.47,74.85,143.07,236.18
613,170320,BERNARDO SAYAO,SP,-1,-7,7,4,-23,4547,-20,Masculino,62,médio cpt.,PSDB,Norte,60.31,28.33,70.36,22.8,74.03,16.3,513,652,747,0.58,0.76,0.42,143.3,398.33,347.03
614,350635,BERTIOGA,PI,1,4,7,14,-3,53679,23,Masculino,59,superior cpt.,DEM,Sudeste,60.56,58.67,66.42,37.56,70.47,26.4,513,652,747,0.46,0.51,0.48,583.97,679.76,736.03
615,220170,BERTOLINIA,MG,-1,-7,3,-7,-12,5389,-24,Masculino,27,superior cpt.,PT,Nordeste,67.16,51.02,67.64,36.29,72.96,18.7,513,652,747,0.61,0.62,0.53,90.6,150.04,325.94
616,310660,BERTOPOLIS,AM,-2,-9,1,-4,-8,4648,-22,Masculino,45,médio cpt.,DEM,Sudeste,60.4,61.77,63.53,53.21,68.85,29,513,652,747,0.61,0.56,0.54,151.81,175.15,288.77
617,130063,BERURI,PE,2,-3,7,4,-14,17332,-4,Masculino,44,superior cpt.,PSD,Norte,65.48,82.36,64.79,58.96,69.53,28.4,513,652,747,0.49,0.62,0.65,109.23,135.76,193.4
618,260180,BETANIA,PI,10,8,1,-4,-23,12433,-8,Feminino,39,superior cpt.,PSD,Nordeste,62.85,100.47,58.84,66.61,67.1,37.6,513,652,747,0.52,0.51,0.55,78.9,114.71,220.19
619,220173,BETANIA DO PIAUI,MG,-2,-6,9,-8,-8,6086,-15,Masculino,40,médio incpt.,PDT,Nordeste,63.95,38.26,71.76,23.6,76.82,12.68,513,652,747,0.37,0.7,0.54,69.03,76.35,164.69
620,310670,BETIM,PE,1,10,1,17,-1,406474,28,Masculino,62,médio cpt.,PSDB,Sudeste,65.24,89.58,62.85,68.33,70.1,26.6,516,655,749,0.49,0.54,0.55,107.82,124.25,221.07
621,260190,BEZERROS,MG,12,6,3,-2,-21,60213,-2,Masculino,68,superior cpt.,PSB,Nordeste,67.84,29.92,69.91,28.94,72.75,19,513,652,747,0.51,0.53,0.52,162.13,239.31,351.75
622,310680,BIAS FORTES,MG,-2,0,9,3,-8,3765,2,Masculino,53,superior cpt.,PR,Sudeste,68.1,27.87,72.03,22.86,75.99,13.8,513,652,747,0.47,0.45,0.41,168.48,198.97,344.35
623,310690,BICAS,SC,-1,1,5,3,-5,14268,3,Masculino,45,superior cpt.,PTB,Sudeste,66.68,26.59,72.64,22,75.17,13.3,575,705,785,0.48,0.62,0.59,116,118.37,209.27
624,420230,BIGUACU,SP,8,12,5,-2,-6,62383,17,Masculino,57,médio cpt.,PP,Sul,57.92,22.65,75.49,13.8,75.7,12.6,538,672,762,0.68,0.71,0.57,432.74,657.87,684.8
625,350640,BILAC,MG,-2,2,5,5,-6,7519,4,Feminino,55,superior cpt.,PTB,Sudeste,67.73,29.37,72.5,21.59,76.4,13.3,578,709,788,0.62,0.65,0.53,74.98,99.06,200.6
626,310700,BIQUINHAS,SP,-2,-3,3,1,-6,2664,-7,Masculino,47,médio cpt.,PR,Sudeste,57.89,24.9,72.43,18.8,77.14,11.7,512,651,747,0.56,0.45,0.41,206.99,347.77,565.37
627,350650,BIRIGUI,SP,2,4,7,0,-3,115898,10,Masculino,64,Pós-graduação,PDT,Sudeste,58.69,36.81,69.37,24.9,72.7,18.5,571,703,783,0.56,0.57,0.51,476.91,704.36,783.41
628,350660,BIRITIBA-MIRIM,BA,-2,-2,9,6,-3,30492,8,Masculino,41,superior cpt.,PSDB,Sudeste,62.27,82.82,61.21,56.49,69.26,29.7,512,651,746,0.51,0.51,0.53,402.65,495.73,662.23
629,290360,BIRITINGA,PR,6,-5,7,4,-12,15737,0,Masculino,41,médio cpt.,PDT,Nordeste,60.21,41.51,69.31,20.16,74.72,13.1,512,651,746,0.53,0.59,0.55,107.92,159.21,209.37
630,410290,BITURUNA,SC,-2,10,3,-4,-6,16416,1,Masculino,60,fundamental cpt.,PDT,Sul,71.96,21.34,74.54,21.33,78.64,8.55,512,651,746,0.48,0.51,0.49,206.15,333.1,443.43
631,420240,BLUMENAU,MG,-2,12,9,3,0,329082,22,Masculino,30,Pós-graduação,PSDB,Sul,66.33,26.83,73.27,19.6,76.28,13.4,611,0.74,808,0.4,0.66,0.5,68.14,63.5,199.35
632,310710,BOA ESPERANCA,ES,-2,2,-1,0,-6,40018,-7,Masculino,52,superior incpt.,PT,Sudeste,68.14,40.26,68.63,27.29,73.95,15.6,512,651,746,0.63,0.58,0.47,378.56,547.01,599.17
633,320100,BOA ESPERANCA,PR,-2,2,3,-2,-6,15169,-5,Masculino,42,superior cpt.,PMDB,Sudeste,63.59,46.67,68.27,22.54,73.5,15.8,512,651,746,0.54,0.64,0.45,217.04,342.88,460.69
634,410300,BOA ESPERANCA,PR,-2,4,5,2,-6,4559,3,Masculino,54,médio cpt.,PSDB,Sul,62.68,29.28,71.09,16.46,75.88,11.6,512,651,746,0.55,0.52,0.47,336.57,329.27,575.77
635,410302,BOA ESPERANCA DO IGUACU,SP,-2,4,-1,3,-6,2763,-2,Masculino,39,Pós-graduação,PMDB,Sul,60.94,37.3,71.44,20.7,73.63,16.9,512,651,746,0.53,0.49,0.44,164.99,331.03,527.03
636,350670,BOA ESPERANCA DO SUL,PI,-2,-5,7,-5,-6,14356,-11,Masculino,31,superior cpt.,PPS,Sudeste,65.58,87.86,63.9,46.16,71.31,24,512,651,746,0.46,0.58,0.44,387.57,487.27,593.36
637,220177,BOA HORA,BA,-2,-9,7,-5,-8,6516,-17,Masculino,44,médio cpt.,PPS,Nordeste,61.34,64.14,63.89,46.22,70.18,26.8,512,0.65,746,0.53,0.45,0.51,114.54,119.8,221.27
638,290370,BOA NOVA,PB,2,-9,3,-5,-6,15141,-15,Masculino,46,médio cpt.,PMDB,Nordeste,66.27,70.83,65.03,42.22,72.38,20.7,511,0.65,746,0.6,0.59,0.51,87.73,105.38,223.48
639,250210,BOA VENTURA,PR,-1,-7,7,-7,-8,5608,-16,Masculino,40,Pós-graduação,PMDB,Nordeste,59.44,49.91,66.88,25.95,73.09,15.4,511,0.65,746,0.51,0.5,0.46,82.07,129.79,271.06
640,410304,BOA VENTURA DE SAO ROQUE,CE,12,12,5,-3,-6,6702,20,Masculino,60,fundamental incpt.,PMDB,Sul,57.41,72.73,64.54,53.37,71.09,23.3,511,0.65,746,0.43,0.68,0.51,112.89,357.81,415.44
641,230240,BOA VIAGEM,RR,10,-1,1,-3,-6,53608,1,Masculino,56,superior cpt.,PSD,Nordeste,64.27,41.28,68.47,27.6,73.95,15.39,511,0.65,746,0.54,0.65,0.59,91.89,162.68,250.47
642,140010,BOA VISTA,PB,14,6,5,16,38,308996,79,Feminino,56,superior cpt.,PMDB,Norte,62.44,50.27,68.11,32.31,72.73,21.33,529,665,757,0.57,0.51,0.44,210.09,330.86,493.81
643,250215,BOA VISTA,PR,-1,-7,7,-5,-6,6669,-12,Masculino,75,superior cpt.,PSDB,Nordeste,67.03,45.54,67.37,24.72,73.06,16.5,0.51,649,745,0.53,0.52,0.42,166.13,243.81,314.11
644,410305,BOA VISTA DA APARECIDA,RS,2,12,9,-4,-6,8028,13,Masculino,57,Pós-graduação,PMDB,Sul,70.29,26.74,71.16,20.4,74.5,13.4,511,0.65,746,0.54,0.63,0.48,135.42,361.45,510.39
645,430215,BOA VISTA DAS MISSOES,RS,-2,-1,9,-2,-6,2173,-2,Masculino,45,médio incpt.,PP,Sul,71.19,19.11,73.1,16.9,75.02,13.5,511,0.65,746,0.54,0.59,0.44,151.12,484.2,505.89
646,430220,BOA VISTA DO BURICA,RS,12,-1,7,4,-12,6800,10,Masculino,53,Pós-graduação,PT,Sul,67.56,21.46,74.89,14,76.04,11.4,538,671,762,0.52,0.48,0.4,353.1,412.35,609.76
647,430222,BOA VISTA DO CADEADO,MA,1,-5,9,1,-8,2520,-2,Masculino,35,superior cpt.,PDT,Sul,58.89,75.8,61.42,55.64,65.86,44.3,511,0.65,746,0.5,0.7,0.4,258.66,383.78,594.94
648,210197,BOA VISTA DO GURUPI,RS,-2,-3,5,-4,-8,8626,-12,Masculino,32,médio cpt.,PSL,Nordeste,71.73,17.9,75.17,13.6,77.02,10.2,511,0.65,746,0.52,0.49,0.52,119.85,123.71,196.78
649,430223,BOA VISTA DO INCRA,AM,-2,4,7,-1,-8,2537,0,Masculino,42,superior cpt.,PP,Sul,60.95,60.24,63.86,51.85,69.99,25.5,511,0.65,746,0.51,0.59,0.45,269,500.03,633.52
650,130068,BOA VISTA DO RAMOS,RS,-1,1,7,1,-10,16820,-2,Masculino,46,superior cpt.,PMDB,Norte,71.73,18.32,75.57,13,76.11,11.3,511,0.65,745,0.49,0.69,0.59,127.87,106.61,175.55
651,430225,BOA VISTA DO SUL,BA,-2,-1,3,4,-3,2860,1,Masculino,47,médio cpt.,PMDB,Sul,62.11,70.34,63.55,47.46,68.75,31.4,516,655,749,0.52,0.52,0.5,585.87,717.67,941.79
652,290380,BOA VISTA DO TUPIM,AL,10,-6,7,1,-8,18888,4,Masculino,46,médio cpt.,PT,Nordeste,59.16,65.65,64.85,44.22,70.47,28,0.51,649,745,0.81,0.56,0.56,77.42,120.13,195.71
653,270100,BOCA DA MATA,AM,-2,8,5,-2,-6,27074,3,Masculino,42,superior cpt.,PDT,Nordeste,63.07,50.9,65.11,46.81,71.59,21.1,0.51,649,745,0.4,0.56,0.51,131.36,170.78,260.2
654,130070,BOCA DO ACRE,PI,-1,0,5,-3,-6,32792,-5,Masculino,49,superior cpt.,PSD,Norte,66.15,62.26,66.79,36.38,71.37,23.8,0.51,649,745,0.59,0.61,0.63,162.27,191.39,288.42
655,220180,BOCAINA,SP,-2,-6,7,-5,-8,4425,-14,Masculino,69,Pós-graduação,PTB,Nordeste,60.06,23.35,74.97,14.6,75.41,13,0.51,649,745,0.53,0.53,0.58,101.69,225.15,366.07
656,350680,BOCAINA,MG,-2,-7,5,4,-6,11568,-6,Masculino,55,superior cpt.,PSB,Sudeste,69.62,35,71.45,24.46,75.87,14,544,677,765,0.61,0.64,0.56,329.49,485.81,585.62
657,310720,BOCAINA DE MINAS,SC,-2,-3,-1,0,-8,5163,-14,Masculino,49,fundamental cpt.,PP,Sudeste,66.98,32.55,68.95,30.8,71.05,19.9,0.51,649,745,0.54,0.55,0.42,214.17,373.78,501.73
658,420243,BOCAINA DO SUL,MG,-2,-5,1,8,-23,3393,-21,Masculino,40,fundamental incpt.,PMDB,Sul,64.74,34.41,72.54,21.49,74.29,16.4,0.51,649,745,0.41,0.48,0.41,159.29,266.32,434.87
659,310730,BOCAIUVA,PR,12,8,5,2,-17,48974,10,Masculino,49,superior cpt.,PSDB,Sudeste,63.91,37.21,68.35,22.35,73.96,15.1,509,649,745,0.63,0.55,0.51,230.35,285.97,451.54
660,410310,BOCAIUVA DO SUL,RN,-2,10,1,-7,-11,11826,-9,Feminino,54,superior cpt.,PSD,Sul,57.96,91.09,63.6,55.75,71.33,22.8,509,649,745,0.5,0.54,0.46,242.39,374.46,547.26
661,240165,BODO,PE,8,-3,1,9,-2,2412,13,Masculino,56,médio cpt.,DEM,Nordeste,58.41,81.71,66.16,52.77,69.67,27.9,509,648,745,0.4,0.59,0.52,61.8,147.9,277.16
662,260200,BODOCO,MS,-1,-2,7,0,-35,36783,-31,Masculino,31,superior cpt.,PSB,Nordeste,73.87,46.69,65.4,40.37,71.54,24.4,509,649,745,0.63,0.64,0.55,109,150.64,234.36
663,500215,BODOQUENA,SP,-2,-3,7,-4,-2,7979,-4,Masculino,58,superior cpt.,PMDB,Centro-Oeste,59.58,29.72,73.08,17.7,74.23,15.9,509,649,745,0.51,0.58,0.5,208.19,339.43,500.13
664,350690,BOFETE,SP,-2,-3,7,3,-6,10504,-1,Masculino,44,superior cpt.,PT,Sudeste,63.39,28.11,73.08,17.7,76.67,12.3,509,648,745,0.5,0.61,0.46,331.54,579.27,622.11
665,350700,BOITUVA,PE,10,12,7,9,-26,53431,12,Masculino,55,superior cpt.,PTB,Sudeste,62.28,101.38,60.3,81.84,67.22,36.1,566,0.7,0.78,0.63,0.58,0.58,198.46,371.15,476.99
666,260210,BOM CONSELHO,MG,1,-2,5,-6,9,47273,7,Masculino,28,superior cpt.,PSDB,Nordeste,68.1,30.51,72.13,22.58,76.66,12.9,509,648,744,0.62,0.58,0.62,139.56,159.67,305.57
667,310740,BOM DESPACHO,MA,12,0,3,-2,-6,48350,7,Masculino,61,superior cpt.,PPS,Sudeste,53.78,105.96,62.12,52.87,69.98,29.4,531,665,758,0.48,0.6,0.61,178.52,199.63,291.33
668,210200,BOM JARDIM,PE,1,-6,3,3,-6,40134,-5,Feminino,23,médio cpt.,PRB,Nordeste,61.23,62.45,65.05,57.74,70.99,24,508,648,744,0.61,0.61,0.58,91.15,107.97,202.28
669,260220,BOM JARDIM,RJ,-4,-6,3,3,-21,38816,-25,Masculino,28,superior incpt.,PP,Nordeste,61.41,38.82,68.31,21.96,73.56,16.1,508,647,744,0.47,0.57,0.48,121.55,146.89,248.98
670,330050,BOM JARDIM,SC,-1,12,7,4,-12,25969,10,Masculino,61,Pós-graduação,PMDB,Sudeste,66.68,30.81,73.86,19.5,75.12,13.4,508,647,744,0.6,0.54,0.48,342.32,477.65,649.62
671,420250,BOM JARDIM DA SERRA,GO,-2,6,5,0,-12,4566,-3,Masculino,48,médio cpt.,PSDB,Sul,70.25,32.18,69.1,29,73.68,15,508,648,744,0.56,0.66,0.57,268.64,433.71,665.6
672,520340,BOM JARDIM DE GOIAS,MG,-1,-5,7,-7,-14,8752,-20,Masculino,40,médio incpt.,PSDB,Centro-Oeste,67.56,29.79,72.83,20.74,74.34,16.4,508,648,744,0.5,0.59,0.49,272.82,354.7,551.54
673,310750,BOM JARDIM DE MINAS,PI,-2,-9,7,-4,-12,6663,-20,Masculino,45,médio cpt.,PMDB,Sudeste,58.34,53.26,67.52,34.09,72.93,19.6,508,648,744,0.55,0.5,0.46,281.6,310.57,464.99
674,220190,BOM JESUS,RN,14,-5,7,-3,-8,23826,5,Masculino,51,superior cpt.,PSDB,Nordeste,58.16,53.37,67.14,42.06,69.56,28,507,646,744,0.77,0.64,0.62,202.48,262.87,501.14
675,240170,BOM JESUS,PB,4,-9,1,-10,-11,9965,-25,Masculino,47,médio incpt.,PMDB,Nordeste,65.69,86.6,64.64,43.55,70.72,25.2,507,646,744,0.47,0.55,0.54,117.81,164.57,300.38
676,250220,BOM JESUS,SC,8,-9,7,-7,-8,2495,-9,Masculino,54,médio cpt.,PSDB,Nordeste,64.46,32.96,70.7,26.4,74.59,14.2,507,646,744,0.69,0.51,0.5,112.51,148.53,303.29
677,420253,BOM JESUS,RS,-2,-5,1,-7,-8,2721,-21,Masculino,49,médio cpt.,PPS,Sul,65.34,32.16,69.9,22.9,74.89,12.9,507,646,744,0.68,0.53,0.55,269.41,314.91,798.97
678,430230,BOM JESUS,BA,-2,2,1,4,-6,11823,-1,Masculino,37,superior cpt.,PP,Sul,64.98,73.21,63.74,46.77,71.51,23,507,646,744,0.57,0.54,0.52,283.81,408.2,611.26
679,290390,BOM JESUS DA LAPA,MG,14,6,5,-2,-4,68282,19,Masculino,40,superior incpt.,PV,Nordeste,64.04,32.26,72.24,22.28,76.74,12.8,508,647,744,0.56,0.63,0.6,171.18,247.5,367.62
680,310760,BOM JESUS DA PENHA,BA,-2,-9,1,-4,-12,4091,-26,Masculino,70,superior cpt.,PMDB,Sudeste,64.8,75.2,63.89,46.22,69.95,27.6,508,647,744,0.51,0.66,0.42,291.62,412.92,607.73
681,290395,BOM JESUS DA SERRA,MA,-1,-9,7,0,-6,10644,-9,Masculino,28,médio cpt.,PSD,Nordeste,58.56,77.57,62.48,51.47,70.05,29.2,508,647,744,0.45,0.52,0.52,97.03,96.01,223.19
682,210203,BOM JESUS DAS SELVAS,GO,14,-1,3,2,-21,31320,-3,Feminino,39,médio cpt.,PT do B,Nordeste,68.98,25.95,71.9,22.8,76.59,11.1,508,647,744,0.48,0.57,0.62,110.04,151.55,226.09
683,520350,BOM JESUS DE GOIAS,MG,-2,10,7,1,-6,22479,10,Feminino,49,médio cpt.,Outro,Centro-Oeste,65.64,41.2,69.98,28.72,75.01,15.3,508,647,744,0.52,0.58,0.47,337.23,468.04,618.62
684,310770,BOM JESUS DO AMPARO,MT,-1,6,3,-3,-6,5817,-1,Masculino,49,fundamental incpt.,PSC,Sudeste,66.34,35.11,67.63,32.3,72.02,20.4,508,647,744,0.56,0.6,0.45,189.73,362.16,472.21
685,510185,BOM JESUS DO ARAGUAIA,MG,-2,-5,7,-7,-7,5756,-14,Feminino,33,médio cpt.,PSDB,Centro-Oeste,66.33,50.61,67.53,36.66,73.01,18.6,508,647,744,0.55,0.55,0.48,206.28,363.1,500.5
686,310780,BOM JESUS DO GALHO,RJ,10,-1,3,-1,-8,15633,3,Masculino,48,superior cpt.,DEM,Sudeste,65.28,37.94,69.39,19.6,74.16,15.2,507,646,744,0.53,0.5,0.49,134.47,214.77,368
687,330060,BOM JESUS DO ITABAPOANA,ES,-2,12,3,3,-9,35825,7,Feminino,54,Pós-graduação,PMDB,Sudeste,70.15,36.49,71.3,20.47,76.22,12.5,507,646,744,0.58,0.54,0.56,269.55,475.1,717.69
688,320110,BOM JESUS DO NORTE,SC,-2,0,9,0,-8,10095,-1,Masculino,55,superior incpt.,PDT,Sudeste,63.38,29.32,74.11,19,74.82,13.8,0.51,649,745,0.53,0.53,0.58,101.69,225.15,366.07
689,420257,BOM JESUS DO OESTE,PR,-2,12,1,-4,-10,2160,-3,Masculino,47,médio cpt.,PMDB,Sul,64.4,37.5,68.38,22.29,73.31,15.1,507,646,744,0.43,0.44,0.39,167.86,278.83,728.09
690,410315,BOM JESUS DO SUL,PA,1,-7,5,12,-10,3824,1,Masculino,42,Pós-graduação,PSDB,Sul,59.27,69.86,65.13,44.36,71.61,22.3,507,646,744,0.49,0.51,0.46,132.13,217.03,430.51
691,150157,BOM JESUS DO TOCANTINS,TO,-2,3,1,4,-27,15916,-21,Masculino,43,Pós-graduação,PT,Norte,60.56,61.06,67.65,34.79,74.98,14,507,646,744,0.58,0.58,0.52,205.37,210.85,337.28
692,170330,BOM JESUS DO TOCANTINS,SP,-2,-7,3,-3,-6,4241,-15,Feminino,49,superior cpt.,PSDB,Norte,61.68,33.32,71.05,21.4,73.1,17.8,507,646,744,0.42,0.64,0.5,85.11,188.38,381.43
693,350710,BOM JESUS DOS PERDOES,MA,2,11,7,0,-6,21976,14,Masculino,50,superior cpt.,PV,Sudeste,57.79,81.78,62.01,53.3,69.48,31,507,646,744,0.53,0.49,0.41,546.42,581.26,688.02
694,210207,BOM LUGAR,RS,8,-1,1,-7,-8,15604,-7,Masculino,39,médio cpt.,PMDB,Nordeste,67.56,17.73,73.38,16.4,75.18,13.3,507,646,743,0.44,0.56,0.49,80.14,96.88,164.44
695,430235,BOM PRINCIPIO,PI,-2,8,1,5,-6,12644,6,Masculino,41,médio cpt.,PMDB,Sul,65.58,93.68,62.82,50.16,71.19,24.3,537,0.67,762,0.6,0.67,0.56,132.97,226.84,324.01
696,220191,BOM PRINCIPIO DO PIAUI,RS,-2,-9,3,5,-6,5447,-9,Masculino,36,superior cpt.,PSDC,Nordeste,71.07,22.44,71.48,19.8,75.42,12.2,507,646,743,0.49,0.48,0.57,85.12,135.15,211.44
697,430237,BOM PROGRESSO,MG,12,4,5,0,-37,2311,-16,Masculino,48,fundamental cpt.,PSB,Sul,67.56,28.16,71.83,23.4,74.25,16.5,506,646,743,0.56,0.52,0.52,172.39,292.49,623.82
698,310790,BOM REPOUSO,SC,-2,-1,9,5,-6,10759,5,Masculino,40,superior cpt.,PSDB,Sudeste,67.63,32.72,71.61,24.3,77.13,10.8,506,646,743,0.46,0.68,0.46,266.69,487.26,447.85
699,420260,BOM RETIRO,RS,-2,6,3,-4,-8,9397,-5,Masculino,55,fundamental incpt.,PSDB,Sul,67.56,24.98,71.18,20.4,76.39,11,506,646,743,0.49,0.52,0.46,260.18,410.52,638.85
700,430240,BOM RETIRO DO SUL,PB,-2,4,1,5,-10,12004,-2,Masculino,51,superior cpt.,PTB,Sul,65.69,58.07,66.5,37.3,70.14,26.9,506,646,743,0.44,0.43,0.38,354.79,535.23,728.62
701,250230,BOM SUCESSO,MG,-1,-9,7,2,-8,5044,-9,Masculino,59,superior cpt.,PSC,Nordeste,64.74,28.78,71.99,22.95,73.49,17.8,506,645,743,0.52,0.54,0.45,96.01,155.3,257.9
702,310800,BOM SUCESSO,PR,-2,12,7,8,-14,17805,11,Feminino,45,superior cpt.,PT,Sudeste,64.89,39.85,69.96,18.76,74.21,13.8,506,645,743,0.56,0.57,0.49,237.71,410.74,551.39
703,410320,BOM SUCESSO,SP,-2,12,1,-4,-12,6866,-5,Masculino,54,médio cpt.,PSB,Sul,61.68,41.26,69.04,25.6,71.49,20.8,506,645,743,0.53,0.52,0.43,253.07,357.11,592.27
704,350715,BOM SUCESSO DE ITARARE,PR,-2,-9,3,3,-6,3772,-11,Masculino,51,médio cpt.,PSDB,Sudeste,60.95,39.19,70.66,17.31,75.18,12.5,506,645,743,0.5,0.59,0.44,171.08,266.51,344.32
705,410322,BOM SUCESSO DO SUL,SC,-2,6,5,-2,-6,3372,1,Masculino,54,superior cpt.,PSDB,Sul,65.02,27.17,72.89,21.5,76.86,11.1,506,645,743,0.6,0.53,0.53,208.68,377.52,639.33
706,420245,BOMBINHAS,RR,12,12,7,9,0,16311,40,Feminino,37,superior incpt.,PDT,Sul,60.44,76.72,66.87,32.17,73.52,16.1,568,701,781,0.63,0.72,0.65,296.99,486.59,484.16
707,140015,BONFIM,MG,12,6,7,-3,1,11525,23,Feminino,48,médio cpt.,PR,Norte,67.94,37.08,69.5,30.2,75.01,15.3,506,645,743,0.66,0.5,0.72,202.84,192.73,329.22
708,310810,BONFIM,PI,1,-3,5,-3,-6,7012,-6,Masculino,54,superior cpt.,PTB,Sudeste,61.91,56.84,64.92,42.58,67.42,36.5,506,645,743,0.5,0.51,0.49,185.53,306.87,512.94
