cod,cod2,nome,UF,plan,legis,saude,meioamb,polgen,pop,ida,sexo,idade,escolaridade,partido,regiao,ESPVIDA1991,MORT1991,ESPVIDA2000,MORT12000,ESPVIDA2010,MORT12010,IDH1991,IDH2000,IDH2010,GINI1991,GINI2000,GINI2010,Renda1991,Renda2000,Renda2010
96,230050,ALCANTARAS,CE,-1,-5,7,-4,-8,11171,-11,Masculino,55,superior incpt.,PSB,Nordeste,57.38,100.11,62.8,60.81,70.07,26.3,575,705,785,0.47,0.54,0.46,88.52,136.44,243.73
97,250053,ALCANTIL,PB,-1,-9,1,-4,-12,5398,-25,Masculino,32,médio cpt.,PMDB,Nordeste,66.58,61.9,62.47,51.53,70.91,24.7,575,705,785,0.42,0.47,0.48,120.11,136.38,245.01
98,500025,ALCINOPOLIS,MS,-1,-5,3,4,-8,4883,-7,Masculino,62,médio cpt.,PMDB,Centro-Oeste,68.32,35.75,71.47,21.55,76.46,15.3,574,705,785,0.61,0.46,0.54,470.09,591.69,764.03
99,290080,ALCOBACA,BA,14,6,5,-4,-19,23176,2,Masculino,36,superior cpt.,PV,Nordeste,63.44,74.73,62.86,50.02,71.28,23.6,574,705,784,0.62,0.54,0.53,139.33,234.96,357.99
100,210030,ALDEIAS ALTAS,MA,14,-9,7,-7,-8,25177,-3,Masculino,53,superior cpt.,PMDB,Nordeste,57.91,81.1,60.01,61.5,68.22,35.3,574,705,784,0.46,0.54,0.59,94.82,112.18,179.92
101,430030,ALECRIM,RS,1,2,1,-1,-6,7010,-3,Masculino,50,superior incpt.,PMDB,Sul,71.41,23.51,71.6,19.6,76.13,11.3,574,705,784,0.54,0.5,0.49,195.15,287.84,561.62
102,320020,ALEGRE,ES,10,10,9,-4,-12,32267,13,Masculino,75,superior cpt.,PMDB,Sudeste,67.38,34.65,72.02,18.8,75.35,13.6,574,705,784,0.6,0.57,0.52,286.49,426.17,655.72
103,430040,ALEGRETE,RS,4,10,3,4,-6,79054,15,Masculino,61,Pós-graduação,PMDB,Sul,71.41,28.32,71.17,20.4,75.93,11.5,573,704,784,0.61,0.59,0.52,459.15,533.5,705.29
104,220027,ALEGRETE DO PIAUI,PI,-2,-5,7,-5,-12,5211,-17,Masculino,36,médio cpt.,PTB,Nordeste,64.73,85.41,64.26,44.89,69.94,28,573,705,784,0.53,0.55,0.5,112.15,210.13,268.12
105,430045,ALEGRIA,RS,-2,6,1,2,-6,4244,1,Masculino,46,fundamental cpt.,DEM,Sul,69.87,23.2,72.18,18.5,74.07,14,572,704,784,0.57,0.59,0.53,210.31,299.59,692.76
