Posicao,name,IDHM2000,IDHMRenda2000,IDHMLongevidade2000,IDHMEducacao2000
1,Sao Caetano do Sul,0.820,0.855,0.870,0.740
2,Aguas de Sao Pedro,0.791,0.867,0.870,0.657
3,Santos,0.785,0.835,0.810,0.714
4,Balneario Camboriu,0.777,0.848,0.829,0.668
5,Niteroi,0.771,0.851,0.788,0.684
6,Florianopolis,0.766,0.828,0.823,0.660
7,Vitoria,0.759,0.820,0.762,0.700
8,Ilha Solteira,0.752,0.733,0.852,0.680
9,Saltinho,0.751,0.748,0.852,0.665
10,Curitiba,0.750,0.809,0.796,0.655
11,Vinhedo,0.749,0.810,0.828,0.626
12,Presidente Prudente,0.746,0.768,0.806,0.670
13,Sao Jose do Rio Preto,0.745,0.777,0.813,0.655
14,Aracatuba,0.744,0.775,0.796,0.668
14,Porto Alegre,0.744,0.830,0.811,0.612
14,Jundiai,0.744,0.790,0.822,0.633
17,Araraquara,0.742,0.754,0.810,0.670
18,Joacaba,0.741,0.757,0.825,0.651
18,Valinhos,0.741,0.793,0.811,0.633
18,Selbach,0.741,0.800,0.832,0.611
21,Maringa,0.740,0.762,0.803,0.663
21,Sao Bernardo do Campo,0.740,0.778,0.799,0.651
21,Jaragua do Sul,0.740,0.743,0.836,0.652
24,Sao Jose dos Campos,0.739,0.765,0.807,0.655
25,Santo Andre,0.738,0.781,0.791,0.650
26,Bauru,0.736,0.774,0.798,0.645
26,Sao Carlos,0.736,0.759,0.801,0.656
28,Americana,0.735,0.765,0.815,0.637
28,Campinas,0.735,0.808,0.801,0.614
30,Taubate,0.734,0.761,0.813,0.639
30,Rio Claro,0.734,0.763,0.813,0.637
32,Ribeirao Preto,0.733,0.787,0.791,0.632
32,Sao Paulo,0.733,0.807,0.796,0.614
34,Nova Araca,0.732,0.779,0.832,0.605
35,Pedrinhas Paulista,0.730,0.713,0.832,0.656
36,Assis,0.728,0.739,0.806,0.648
36,Fernandopolis,0.728,0.724,0.838,0.637
38,Blumenau,0.727,0.761,0.826,0.611
39,Belo Horizonte,0.726,0.792,0.784,0.617
40,Brasilia,0.725,0.805,0.814,0.582
40,Marilia,0.725,0.746,0.802,0.638
40,Horizontina,0.725,0.695,0.850,0.645
43,Carlos Barbosa,0.724,0.756,0.820,0.612
44,Votuporanga,0.723,0.744,0.815,0.624
44,Lins,0.723,0.746,0.816,0.620
46,Sao Joao da Boa Vista,0.722,0.741,0.833,0.610
46,Paulinia,0.722,0.776,0.804,0.603
48,Santa Rita do Passa Quatro,0.721,0.765,0.809,0.606
48,Adamantina,0.721,0.718,0.811,0.644
48,Tubarao,0.721,0.731,0.843,0.607
48,Sorocaba,0.721,0.757,0.806,0.615
52,Brusque,0.720,0.744,0.854,0.588
53,Pompeia,0.719,0.699,0.833,0.639
54,Guaratingueta,0.718,0.739,0.796,0.628
54,Ribeirao Pires,0.718,0.726,0.813,0.626
54,Sao Jose,0.718,0.748,0.835,0.593
54,Mogi Mirim,0.718,0.745,0.810,0.614
54,Quatro Pontes,0.718,0.689,0.773,0.694
54,Botucatu,0.718,0.748,0.797,0.620
60,Dracena,0.717,0.724,0.836,0.609
60,Pato Branco,0.717,0.727,0.803,0.631
60,Andradina,0.717,0.720,0.805,0.635
63,Rio de Janeiro,0.716,0.803,0.754,0.607
63,Londrina,0.716,0.753,0.796,0.612
63,Pocos de Caldas,0.716,0.753,0.850,0.574
63,Amparo,0.716,0.754,0.814,0.598
67,Jaguariuna,0.715,0.738,0.834,0.594
67,Santa Maria,0.715,0.748,0.828,0.591
67,Pirassununga,0.715,0.738,0.817,0.607
67,Lajeado,0.715,0.741,0.832,0.592
67,Goiania,0.715,0.776,0.796,0.591
72,Entre Rios do Oeste,0.714,0.724,0.794,0.634
73,Tupi Paulista,0.713,0.701,0.817,0.632
73,Santana de Parnaiba,0.713,0.848,0.805,0.530
73,Cerquilho,0.713,0.745,0.813,0.599
76,Garibaldi,0.712,0.760,0.820,0.579
76,Bento Goncalves,0.712,0.762,0.833,0.569
76,Schroeder,0.712,0.747,0.790,0.611
79,Joinville,0.711,0.739,0.869,0.560
80,Barretos,0.710,0.736,0.804,0.604
80,Piracicaba,0.710,0.759,0.810,0.581
80,Concordia,0.710,0.729,0.837,0.587
80,Araras,0.710,0.728,0.832,0.591
84,Bilac,0.709,0.700,0.842,0.605
84,Mirassol,0.709,0.710,0.826,0.609
84,Vila Velha,0.709,0.755,0.784,0.603
87,Pomerode,0.708,0.733,0.834,0.581
87,Iomere,0.708,0.724,0.823,0.595
89,Cordeiropolis,0.706,0.725,0.849,0.571
89,Osasco,0.706,0.736,0.806,0.592
89,Santa Fe do Sul,0.706,0.721,0.809,0.603
89,Barra Bonita,0.706,0.725,0.807,0.602
93,Caxias do Sul,0.705,0.771,0.817,0.556
93,Itapema,0.705,0.771,0.819,0.555
93,Nova Odessa,0.705,0.712,0.826,0.596
93,Sao Miguel do Oeste,0.705,0.695,0.851,0.593
93,Osvaldo Cruz,0.705,0.701,0.789,0.633
93,Marechal Candido Rondon,0.705,0.711,0.804,0.612
93,Tremembe,0.705,0.733,0.820,0.582
93,Catanduva,0.705,0.731,0.799,0.601
93,Jau,0.705,0.738,0.803,0.592
93,Barueri,0.705,0.775,0.796,0.567
93,Itatiba,0.705,0.749,0.816,0.574
93,Balsamo,0.705,0.752,0.833,0.560
105,Monte Aprazivel,0.704,0.706,0.806,0.614
105,Serra Negra,0.704,0.762,0.815,0.561
