Posicao,name,IDHM2000,IDHMRenda2000,IDHMLongevidade2000,IDHMEducacao2000
105,Indaiatuba,0.704,0.757,0.804,0.573
105,Maripa,0.704,0.690,0.822,0.614
105,Palotina,0.704,0.720,0.818,0.593
105,Cruzeiro,0.704,0.699,0.808,0.618
111,Birigui,0.703,0.726,0.791,0.605
111,Juiz de Fora,0.703,0.746,0.784,0.594
111,Monte Alto,0.703,0.718,0.821,0.590
111,Criciuma,0.703,0.741,0.800,0.586
111,Massaranduba,0.703,0.707,0.853,0.576
116,Uberlandia,0.702,0.734,0.802,0.587
116,Varginha,0.702,0.731,0.817,0.580
116,Veranopolis,0.702,0.753,0.831,0.554
119,Mogi das Cruzes,0.701,0.734,0.796,0.589
119,Orlandia,0.701,0.714,0.823,0.587
119,Passo Fundo,0.701,0.741,0.803,0.580
119,Nhandeara,0.701,0.698,0.807,0.612
119,Mogi Guacu,0.701,0.719,0.814,0.588
119,Presidente Venceslau,0.701,0.725,0.809,0.588
119,Ituverava,0.701,0.724,0.809,0.587
119,Sao Jose do Rio Pardo,0.701,0.710,0.821,0.592
127,Descalvado,0.700,0.721,0.819,0.580
127,Lacerdopolis,0.700,0.760,0.842,0.535
127,Ivatuba,0.700,0.685,0.765,0.655
127,Jacarei,0.700,0.720,0.798,0.597
127,Jales,0.700,0.707,0.819,0.593
127,Encantado,0.700,0.719,0.852,0.561
127,Poloni,0.700,0.695,0.817,0.604
127,Limeira,0.700,0.726,0.797,0.593
135,Poa,0.699,0.697,0.785,0.624
135,Jaboticabal,0.699,0.734,0.808,0.577
135,Sao Lourenco,0.699,0.739,0.836,0.552
135,Lorena,0.699,0.708,0.816,0.591
135,Casa Branca,0.699,0.715,0.823,0.581
140,Bariri,0.698,0.711,0.846,0.565
140,Gramado,0.698,0.737,0.842,0.548
140,Tiete,0.698,0.748,0.816,0.557
140,Rio do Sul,0.698,0.733,0.795,0.583
140,Urussanga,0.698,0.713,0.858,0.557
145,Itu,0.697,0.748,0.802,0.564
145,Taiuva,0.697,0.700,0.817,0.592
145,Nova Petropolis,0.697,0.740,0.852,0.536
145,Ivoti,0.697,0.730,0.840,0.552
145,Lencois Paulista,0.697,0.716,0.821,0.577
145,Luzerna,0.697,0.713,0.852,0.557
151,Santiago,0.696,0.693,0.835,0.583
151,Ourinhos,0.696,0.712,0.815,0.580
151,Erechim,0.696,0.720,0.820,0.570
154,Nova Brescia,0.695,0.770,0.832,0.523
154,Timoteo,0.695,0.691,0.811,0.598
154,Batatais,0.695,0.723,0.829,0.559
154,Bebedouro,0.695,0.712,0.818,0.576
154,Cocal do Sul,0.695,0.682,0.822,0.600
154,Aguas de Lindoia,0.695,0.741,0.842,0.539
154,Sao Marcos,0.695,0.731,0.835,0.551
161,Dois Lajeados,0.694,0.736,0.821,0.552
161,Fernando de Noronha,0.694,0.792,0.829,0.509
161,Toledo,0.694,0.697,0.798,0.600
161,Pindamonhangaba,0.694,0.710,0.809,0.583
161,Cacapava,0.694,0.724,0.817,0.565
161,Ilha Comprida,0.694,0.705,0.790,0.600
167,Salto,0.693,0.714,0.813,0.573
167,Neves Paulista,0.693,0.700,0.799,0.596
167,Cotia,0.693,0.754,0.798,0.554
167,Santo Antonio do Planalto,0.693,0.642,0.858,0.605
167,Esteio,0.693,0.725,0.821,0.560
172,Paranavai,0.692,0.698,0.803,0.590
172,Uberaba,0.692,0.738,0.816,0.550
172,Nao-Me-Toque,0.692,0.716,0.817,0.566
172,Cascavel,0.692,0.718,0.803,0.574
172,Cuiaba,0.692,0.756,0.761,0.577
172,Aguas da Prata,0.692,0.714,0.807,0.575
172,Sertaozinho,0.692,0.737,0.816,0.552
179,Itajuba,0.691,0.717,0.785,0.587
179,Santa Cruz da Conceicao,0.691,0.714,0.844,0.547
179,Regente Feijo,0.691,0.690,0.797,0.601
179,Farroupilha,0.691,0.740,0.820,0.543
179,Tupa,0.691,0.717,0.818,0.563
184,Sao Roque,0.690,0.748,0.821,0.535
184,Lobato,0.690,0.676,0.768,0.632
184,Cruzalia,0.690,0.677,0.776,0.624
184,Arroio do Meio,0.690,0.724,0.819,0.555
184,Piquete,0.690,0.685,0.798,0.600
184,Timbo,0.690,0.735,0.808,0.554
184,Imigrante,0.690,0.712,0.818,0.565
184,Sao Domingos do Sul,0.690,0.695,0.830,0.570
184,Pouso Alegre,0.690,0.734,0.803,0.558
193,Vista Alegre do Prata,0.689,0.690,0.842,0.564
193,Aparecida,0.689,0.703,0.797,0.583
193,Saldanha Marinho,0.689,0.718,0.831,0.549
193,Cornelio Procopio,0.689,0.700,0.776,0.603
193,Taboao da Serra,0.689,0.724,0.810,0.557
193,Nova Prata,0.689,0.732,0.814,0.550
193,Sao Simao,0.689,0.703,0.816,0.569
193,Sao Vicente,0.689,0.711,0.797,0.576
201,Franca,0.688,0.721,0.807,0.560
201,Holambra,0.688,0.764,0.831,0.512
201,Casca,0.688,0.735,0.812,0.545
201,Porto Ferreira,0.688,0.710,0.773,0.594
201,Itajai,0.688,0.733,0.787,0.565
201,Santa Barbara D'Oeste,0.688,0.706,0.816,0.566
201,Bady Bassitt,0.688,0.700,0.770,0.603
201,Nova Padua,0.688,0.778,0.842,0.498
201,Votorantim,0.688,0.695,0.794,0.590
201,Panambi,0.688,0.700,0.831,0.559
201,Rosana,0.688,0.694,0.794,0.590
212,Caieiras,0.687,0.706,0.811,0.567
212,Braganca Paulista,0.687,0.738,0.796,0.552
212,Matao,0.687,0.701,0.798,0.580
212,Itapira,0.687,0.722,0.808,0.556
212,Braco do Norte,0.687,0.751,0.816,0.528
212,Guararapes,0.687,0.680,0.774,0.617
212,Iracemapolis,0.687,0.737,0.803,0.548
219,Divinopolis,0.686,0.706,0.827,0.554
219,Praia Grande,0.686,0.732,0.801,0.551
219,Urupes,0.686,0.684,0.794,0.595
219,Sao Joaquim da Barra,0.686,0.713,0.803,0.564
219,Sao Joao do Polesine,0.686,0.709,0.767,0.593
219,Olimpia,0.686,0.718,0.801,0.561
219,Tres Passos,0.686,0.671,0.846,0.569
219,Ouro Branco,0.686,0.685,0.784,0.601
219,Penapolis,0.686,0.721,0.806,0.556
228,Garca,0.685,0.695,0.783,0.590
228,Lindoia,0.685,0.715,0.819,0.549
228,Santo Angelo,0.685,0.707,0.814,0.558
228,Caraguatatuba,0.685,0.709,0.810,0.560
228,Santa Rosa,0.685,0.696,0.839,0.551
228,Analandia,0.685,0.700,0.808,0.568
228,Itauna,0.685,0.699,0.828,0.555
228,Maravilha,0.685,0.689,0.819,0.570
228,Guaramirim,0.685,0.687,0.822,0.569
237,Nova Lima,0.684,0.746,0.791,0.543
237,Santo Anastacio,0.684,0.671,0.803,0.593
237,Ipatinga,0.684,0.697,0.787,0.583
237,Oscar Bressane,0.684,0.678,0.765,0.617
237,Sertao,0.684,0.676,0.830,0.571
242,Santana da Ponte Pensa,0.683,0.661,0.832,0.580
242,Antonio Prado,0.683,0.744,0.768,0.558
242,Serranopolis do Iguacu,0.683,0.677,0.816,0.577
242,Ijui,0.683,0.709,0.819,0.548
242,Avare,0.683,0.727,0.813,0.538
242,Videira,0.683,0.706,0.835,0.540
242,Francisco Beltrao,0.683,0.696,0.796,0.576
242,Frederico Westphalen,0.683,0.689,0.813,0.569
242,Piratininga,0.683,0.716,0.806,0.553
242,Araxa,0.683,0.711,0.771,0.582
252,Chapeco,0.682,0.713,0.807,0.551
252,Volta Redonda,0.682,0.717,0.763,0.580
252,Santa Cruz do Sul,0.682,0.732,0.820,0.529
252,Aluminio,0.682,0.693,0.758,0.603
252,Mairipora,0.682,0.751,0.801,0.527
257,Jose Bonifacio,0.681,0.711,0.803,0.553
257,Nova Londrina,0.681,0.672,0.803,0.585
257,Torres,0.681,0.702,0.846,0.532
257,Espirito Santo do Pinhal,0.681,0.716,0.830,0.531
261,Umuarama,0.680,0.698,0.803,0.562
261,Rancharia,0.680,0.670,0.782,0.600
261,Westfalia,0.680,0.758,0.824,0.504
264,Mirandopolis,0.679,0.680,0.771,0.597
264,Novo Horizonte,0.679,0.691,0.827,0.548
264,Guapiacu,0.679,0.710,0.834,0.529
264,Sao Bento do Sul,0.679,0.703,0.843,0.529
264,Maracai,0.679,0.651,0.784,0.613
264,Cruz Alta,0.679,0.714,0.810,0.541
270,Mococa,0.678,0.694,0.805,0.559
270,Serafina Correa,0.678,0.728,0.805,0.531
270,Marau,0.678,0.715,0.805,0.541
270,Campo Limpo Paulista,0.678,0.711,0.805,0.544
270,Assis Chateaubriand,0.678,0.715,0.803,0.544
270,Santo Amaro da Imperatriz,0.678,0.687,0.830,0.547
270,Santa Helena,0.678,0.669,0.789,0.591
270,Rio Negro,0.678,0.673,0.804,0.577
270,Parai,0.678,0.731,0.820,0.521
270,Indiana,0.678,0.673,0.807,0.573
270,Lavras,0.678,0.715,0.790,0.551
270,Guarulhos,0.678,0.717,0.787,0.553
270,Nova Europa,0.678,0.680,0.814,0.563
270,Carazinho,0.678,0.701,0.764,0.583
270,Indaial,0.678,0.713,0.831,0.525
285,Sao Pedro,0.677,0.717,0.812,0.532
285,Rubineia,0.677,0.663,0.765,0.612
285,Estrela D'Oeste,0.677,0.670,0.807,0.573
285,Imbe,0.677,0.715,0.788,0.550
285,Guabiruba,0.677,0.709,0.849,0.515
285,Bocaina,0.677,0.695,0.833,0.536
285,Sao Joao de Iracema,0.677,0.690,0.760,0.591
285,Vicosa,0.677,0.707,0.785,0.559
285,Ibiaca,0.677,0.752,0.860,0.480
285,Auriflama,0.677,0.705,0.752,0.584
285,Nova Roma do Sul,0.677,0.703,0.827,0.533
285,Sarandi,0.677,0.687,0.821,0.549
297,Dois Irmaos,0.676,0.712,0.830,0.522
297,Cachoeira Paulista,0.676,0.682,0.813,0.557
297,Nicolau Vergueiro,0.676,0.650,0.830,0.573
297,Ponta Grossa,0.676,0.701,0.803,0.548
297,Estrela,0.676,0.707,0.824,0.531
302,Alfenas,0.675,0.720,0.809,0.527
302,Monte Alegre do Sul,0.675,0.710,0.836,0.518
302,Campo Mourao,0.675,0.682,0.776,0.582
302,Guaira,0.675,0.696,0.800,0.552
302,Dumont,0.675,0.718,0.790,0.543
302,Atibaia,0.675,0.756,0.804,0.506
302,Patos de Minas,0.675,0.694,0.816,0.542
302,Rodeio,0.675,0.692,0.818,0.543
310,Flores da Cunha,0.674,0.762,0.842,0.477
310,Pirangi,0.674,0.717,0.820,0.520
310,Estancia Velha,0.674,0.706,0.852,0.510
310,Santa Cruz da Esperanca,0.674,0.674,0.788,0.576
310,Lages,0.674,0.710,0.806,0.534
310,Nova Bassano,0.674,0.745,0.810,0.508
310,Xanxere,0.674,0.683,0.808,0.555
310,Guabiju,0.674,0.679,0.825,0.547
310,Ibiruba,0.674,0.733,0.799,0.523
310,Potirendaba,0.674,0.694,0.811,0.543
320,Campo Grande,0.673,0.736,0.757,0.548
320,Araguari,0.673,0.703,0.815,0.533
320,Santa Salete,0.673,0.627,0.847,0.575
320,Sao Joao Del Rei,0.673,0.679,0.826,0.544
320,Vanini,0.673,0.658,0.766,0.606
320,Ipiranga do Sul,0.673,0.687,0.862,0.514
320,Bicas,0.673,0.710,0.784,0.548
320,Magda,0.673,0.672,0.785,0.578
328,Joao Monlevade,0.672,0.657,0.827,0.558
328,Sertanopolis,0.672,0.706,0.763,0.563
328,Capivari de Baixo,0.672,0.651,0.817,0.570
328,Luis Antonio,0.672,0.691,0.802,0.548
328,Boituva,0.672,0.709,0.801,0.534
328,Iacanga,0.672,0.674,0.826,0.544
328,Presidente Getulio,0.672,0.693,0.828,0.530
328,Cachoeirinha,0.672,0.701,0.820,0.529
328,Tatui,0.672,0.710,0.810,0.528
328,Santa Cruz do Rio Pardo,0.672,0.714,0.801,0.530
338,Sebastianopolis do Sul,0.671,0.631,0.802,0.596
338,Novo Hamburgo,0.671,0.734,0.823,0.499
338,Sao Carlos,0.671,0.749,0.815,0.494
338,Palmital,0.671,0.739,0.772,0.530
338,Sao Valentim do Sul,0.671,0.711,0.840,0.505
338,Presidente Bernardes,0.671,0.666,0.776,0.584
338,Osorio,0.671,0.709,0.831,0.513
338,Pedrinopolis,0.671,0.673,0.800,0.561
346,Aruja,0.670,0.715,0.796,0.528
346,Itanhandu,0.670,0.693,0.797,0.544
346,Itapiranga,0.670,0.682,0.828,0.533
346,Bom Principio,0.670,0.696,0.806,0.535
346,Florai,0.670,0.656,0.816,0.562
346,Gaspar,0.670,0.722,0.813,0.513
346,Guapore,0.670,0.721,0.807,0.516
346,Turiuba,0.670,0.649,0.784,0.591
346,Arroio Trinta,0.670,0.662,0.851,0.535
346,Pedro Leopoldo,0.670,0.679,0.817,0.543
356,Arcos,0.669,0.672,0.825,0.541
356,Pirajui,0.669,0.675,0.838,0.529
356,Campo Bom,0.669,0.725,0.818,0.504
356,Orindiuva,0.669,0.687,0.773,0.564
356,Boa Vista do Burica,0.669,0.681,0.802,0.548
356,Pongai,0.669,0.694,0.792,0.545
356,Agudos,0.669,0.674,0.777,0.573
356,Sao Jorge do Ivai,0.669,0.678,0.768,0.574
356,Ipeuna,0.669,0.710,0.834,0.506
356,Santa Lucia,0.669,0.683,0.801,0.547
356,Valparaiso,0.669,0.685,0.753,0.580
356,Brauna,0.669,0.664,0.789,0.571
356,Nova Santa Rosa,0.669,0.660,0.782,0.581
356,Iturama,0.669,0.711,0.799,0.528
356,Sideropolis,0.669,0.704,0.785,0.541
356,Apucarana,0.669,0.685,0.803,0.545
356,Arapongas,0.669,0.693,0.773,0.558
356,Tijucas,0.669,0.736,0.796,0.510
374,Montenegro,0.668,0.724,0.839,0.491
374,Cravinhos,0.668,0.717,0.803,0.517
374,Treze Tilias,0.668,0.703,0.814,0.521
374,Aguas de Santa Barbara,0.668,0.697,0.831,0.515
374,Vista Alegre do Alto,0.668,0.737,0.787,0.514
374,Pirapozinho,0.668,0.690,0.778,0.556
374,Ouroeste,0.668,0.661,0.786,0.575
374,Murutinga do Sul,0.668,0.650,0.791,0.579
374,Tanabi,0.668,0.691,0.773,0.558
374,Sertaneja,0.668,0.664,0.774,0.581
384,Piraju,0.667,0.704,0.762,0.552
384,Tupassi,0.667,0.676,0.762,0.576
384,Jandira,0.667,0.691,0.797,0.538
384,Santo Antonio do Palma,0.667,0.699,0.844,0.503
384,Sao Jose da Barra,0.667,0.669,0.817,0.544
384,Torrinha,0.667,0.693,0.802,0.534
384,Adolfo,0.667,0.644,0.802,0.574
384,Pedreira,0.667,0.722,0.836,0.492
384,Lajeado Grande,0.667,0.674,0.838,0.525
384,Oriente,0.667,0.667,0.778,0.572
394,Macaubal,0.666,0.674,0.791,0.555
394,Santo Expedito,0.666,0.631,0.788,0.593
394,Ararangua,0.666,0.687,0.808,0.533
394,Salto Veloso,0.666,0.708,0.820,0.508
394,Barra Funda,0.666,0.631,0.794,0.590
394,Ibitinga,0.666,0.706,0.795,0.527
394,Igarapava,0.666,0.684,0.802,0.538
394,Nova Alianca,0.666,0.672,0.802,0.548
394,Sao Pedro do Butia,0.666,0.642,0.793,0.580
394,Mendonca,0.666,0.690,0.784,0.547
394,Porto Uniao,0.666,0.689,0.796,0.539
394,Conselheiro Lafaiete,0.666,0.669,0.771,0.573
394,Cafelandia,0.666,0.669,0.742,0.596
394,Armazem,0.666,0.679,0.808,0.539
408,Brodowski,0.665,0.701,0.818,0.512
408,Itirapina,0.665,0.706,0.783,0.533
408,Bom Despacho,0.665,0.706,0.786,0.529
408,Presidente Epitacio,0.665,0.689,0.761,0.560
408,Getulio Vargas,0.665,0.671,0.800,0.547
408,Campinas do Sul,0.665,0.678,0.796,0.545
408,Cosmopolis,0.665,0.699,0.807,0.521
408,Canoas,0.665,0.719,0.818,0.500
408,Vera Cruz,0.665,0.678,0.754,0.574
408,Salvador do Sul,0.665,0.699,0.837,0.503
408,Lucelia,0.665,0.669,0.782,0.563
408,Medianeira,0.665,0.679,0.804,0.538
408,Louveira,0.665,0.712,0.819,0.505
408,Macae,0.665,0.737,0.751,0.531
408,Alvares Florence,0.665,0.663,0.770,0.576
408,Mandaguari,0.665,0.655,0.799,0.563
408,Mato Castelhano,0.665,0.655,0.776,0.579
408,Colorado,0.665,0.743,0.818,0.484
426,Brotas,0.664,0.715,0.761,0.539
426,Planalto Alegre,0.664,0.676,0.819,0.529
426,Taquaritinga,0.664,0.695,0.785,0.537
426,Natal,0.664,0.712,0.752,0.547
426,Pereira Barreto,0.664,0.669,0.771,0.568
426,Sao Ludgero,0.664,0.713,0.792,0.519
426,Lagoa dos Tres Cantos,0.664,0.686,0.841,0.508
426,Teutonia,0.664,0.697,0.821,0.512
426,Inubia Paulista,0.664,0.629,0.790,0.590
426,Floreal,0.664,0.680,0.791,0.545
426,Sorriso,0.664,0.760,0.805,0.478
426,Rio das Pedras,0.664,0.695,0.786,0.536
426,Cerro Largo,0.664,0.661,0.818,0.542
426,Arroio do Sal,0.664,0.699,0.825,0.507
426,Maua,0.664,0.682,0.775,0.555
426,Diadema,0.664,0.693,0.774,0.547
426,Barbacena,0.664,0.683,0.791,0.542
426,Uniao da Serra,0.664,0.703,0.841,0.495
426,Victor Graeff,0.664,0.701,0.755,0.552
445,Colina,0.663,0.674,0.802,0.539
445,Sao Sebastiao,0.663,0.722,0.796,0.508
445,Guaracai,0.663,0.663,0.743,0.592
445,Foz do Iguacu,0.663,0.706,0.816,0.507
445,Uniao da Vitoria,0.663,0.684,0.758,0.562
445,Pato Bragado,0.663,0.685,0.768,0.554
445,Barra do Jacare,0.663,0.630,0.733,0.631
445,Harmonia,0.663,0.704,0.831,0.498
445,Uruguaiana,0.663,0.688,0.811,0.523
445,Pinhalzinho,0.663,0.673,0.839,0.515
445,Pederneiras,0.663,0.671,0.793,0.548
445,Seara,0.663,0.692,0.858,0.490
445,Paraguacu Paulista,0.663,0.678,0.754,0.570
445,Sao Joao Batista,0.663,0.690,0.808,0.523
445,Sant'Ana do Livramento,0.663,0.696,0.792,0.529
445,Nova Luzitania,0.663,0.645,0.752,0.602
461,Turvo,0.662,0.716,0.843,0.481
461,Itupeva,0.662,0.736,0.805,0.490
461,Arealva,0.662,0.679,0.797,0.536
461,Monte Azul Paulista,0.662,0.707,0.812,0.505
461,Alto Alegre,0.662,0.641,0.836,0.541
461,Luz,0.662,0.729,0.772,0.515
461,Ibirarema,0.662,0.690,0.774,0.543
461,Indiapora,0.662,0.649,0.776,0.575
461,Sao Sebastiao do Cai,0.662,0.718,0.837,0.483
461,Estacao,0.662,0.663,0.784,0.558
461,Itapetininga,0.662,0.705,0.768,0.535
461,Suzano,0.662,0.689,0.757,0.557
461,Gaurama,0.662,0.675,0.841,0.511
461,Catalao,0.662,0.694,0.807,0.519
461,Vila Maria,0.662,0.705,0.830,0.495
476,Alvares Machado,0.661,0.669,0.789,0.546
476,Tucunduva,0.661,0.662,0.793,0.549
476,Bombinhas,0.661,0.698,0.798,0.519
476,Cambe,0.661,0.673,0.798,0.538
476,Gravatai,0.661,0.688,0.839,0.500
476,Montes Claros,0.661,0.660,0.788,0.555
476,Camargo,0.661,0.690,0.791,0.530
476,Sao Domingos,0.661,0.700,0.789,0.524
476,Cachoeira do Sul,0.661,0.686,0.832,0.505
476,Caete,0.661,0.669,0.778,0.555
476,Laranjal Paulista,0.661,0.718,0.767,0.525
476,Antonio Carlos,0.661,0.692,0.858,0.487
488,Pelotas,0.660,0.715,0.796,0.506
488,Resende,0.660,0.723,0.750,0.529
488,Tapejara,0.660,0.683,0.800,0.526
488,Sananduva,0.660,0.707,0.793,0.512
488,Tapera,0.660,0.698,0.781,0.527
488,Recife,0.660,0.736,0.727,0.538
488,Pacaembu,0.660,0.655,0.782,0.561
488,Jardinopolis,0.660,0.708,0.772,0.525
488,Pareci Novo,0.660,0.686,0.841,0.499
488,Jandaia do Sul,0.660,0.683,0.753,0.558
488,Buritama,0.660,0.689,0.749,0.556
488,Sete Lagoas,0.660,0.681,0.759,0.556
488,Ita,0.660,0.690,0.825,0.505
501,Nova Veneza,0.659,0.704,0.800,0.509
501,Nova Erechim,0.659,0.698,0.828,0.495
501,Bage,0.659,0.692,0.790,0.524
501,Sales Oliveira,0.659,0.700,0.777,0.527
501,Cataguases,0.659,0.666,0.805,0.533
501,Feliz,0.659,0.702,0.810,0.504
501,Iguaracu,0.659,0.645,0.765,0.579
501,General Salgado,0.659,0.677,0.753,0.562
501,Miraselva,0.659,0.641,0.816,0.548
501,Vargem Grande Paulista,0.659,0.706,0.805,0.503
501,Laurentino,0.659,0.717,0.790,0.506
501,Rolandia,0.659,0.705,0.723,0.562
501,Nova Palma,0.659,0.683,0.832,0.503
501,Santo Antonio do Aracangua,0.659,0.633,0.771,0.587
501,Lindoia do Sul,0.659,0.729,0.769,0.510
516,Altinopolis,0.658,0.734,0.809,0.479
516,Patrocinio Paulista,0.658,0.673,0.802,0.529
516,Imbituba,0.658,0.665,0.810,0.530
516,Sao Gabriel do Oeste,0.658,0.748,0.775,0.492
516,Conchas,0.658,0.726,0.775,0.506
516,Joao Neiva,0.658,0.647,0.831,0.529
516,Ilhabela,0.658,0.706,0.807,0.499
516,Tabapua,0.658,0.664,0.790,0.543
516,Aracoiaba da Serra,0.658,0.697,0.803,0.510
516,Capivari do Sul,0.658,0.745,0.807,0.474
516,Missal,0.658,0.658,0.786,0.550
516,Lucas do Rio Verde,0.658,0.730,0.805,0.485
516,Itambe,0.658,0.657,0.803,0.539
516,Dois Vizinhos,0.658,0.671,0.787,0.540
516,Sao Francisco do Sul,0.658,0.710,0.808,0.496
516,Sao Luis,0.658,0.665,0.737,0.582
516,Guararema,0.658,0.719,0.791,0.500
516,Sumare,0.658,0.691,0.802,0.514
516,Dourado,0.658,0.670,0.769,0.552
516,Artur Nogueira,0.658,0.703,0.802,0.505
516,Americo Brasiliense,0.658,0.659,0.803,0.538
516,Fortaleza dos Valos,0.658,0.754,0.803,0.471
516,Mairinque,0.658,0.688,0.774,0.535
539,Floresta,0.657,0.655,0.736,0.587
539,Cedral,0.657,0.685,0.857,0.484
539,Colatina,0.657,0.682,0.762,0.546
539,Santa Branca,0.657,0.680,0.771,0.542
539,Pinhais,0.657,0.691,0.773,0.530
539,Lutecia,0.657,0.635,0.769,0.582
539,Santa Albertina,0.657,0.703,0.782,0.517
539,Trombudo Central,0.657,0.676,0.813,0.517
539,Quinze de Novembro,0.657,0.666,0.810,0.526
